frequency,raw
20.00,-13.81
20.20,-13.58
20.40,-13.35
20.61,-13.12
20.81,-12.89
21.02,-12.66
21.23,-12.43
21.44,-12.21
21.66,-12.00
21.87,-11.80
22.09,-11.61
22.31,-11.41
22.54,-11.21
22.76,-11.00
22.99,-10.79
23.22,-10.56
23.45,-10.34
23.69,-10.12
23.92,-9.91
24.16,-9.70
24.40,-9.51
24.65,-9.31
24.89,-9.12
25.14,-8.93
25.39,-8.74
25.65,-8.55
25.91,-8.36
26.16,-8.17
26.43,-7.98
26.69,-7.80
26.96,-7.63
27.23,-7.45
27.50,-7.26
27.77,-7.06
28.05,-6.86
28.33,-6.64
28.62,-6.41
28.90,-6.19
29.19,-5.97
29.48,-5.76
29.78,-5.55
30.08,-5.34
30.38,-5.13
30.68,-4.92
30.99,-4.71
31.30,-4.51
31.61,-4.31
31.93,-4.12
32.24,-3.95
32.57,-3.78
32.89,-3.62
33.22,-3.47
33.55,-3.32
33.89,-3.18
34.23,-3.03
34.57,-2.89
34.92,-2.73
35.27,-2.57
35.62,-2.41
35.97,-2.25
36.33,-2.09
36.70,-1.93
37.06,-1.77
37.43,-1.61
37.81,-1.45
38.19,-1.29
38.57,-1.12
38.95,-0.96
39.34,-0.79
39.74,-0.63
40.14,-0.48
40.54,-0.32
40.94,-0.18
41.35,-0.03
41.76,0.10
42.18,0.22
42.60,0.33
43.03,0.42
43.46,0.50
43.90,0.57
44.33,0.63
44.78,0.67
45.23,0.71
45.68,0.75
46.13,0.79
46.60,0.84
47.06,0.87
47.53,0.89
48.01,0.88
48.49,0.87
48.97,0.86
49.46,0.84
49.96,0.77
50.46,0.65
50.96,0.50
51.47,0.31
51.99,0.10
52.51,-0.10
53.03,-0.30
53.56,-0.47
54.10,-0.61
54.64,-0.69
55.18,-0.71
55.74,-0.61
56.29,-0.41
56.86,-0.15
57.42,0.18
58.00,0.54
58.58,0.89
59.16,1.22
59.76,1.51
60.35,1.74
60.96,1.92
61.57,2.04
62.18,2.12
62.80,2.18
63.43,2.26
64.07,2.35
64.71,2.49
65.35,2.65
66.01,2.84
66.67,3.05
67.33,3.26
68.01,3.48
68.69,3.68
69.37,3.88
70.07,4.06
70.77,4.23
71.48,4.39
72.19,4.54
72.91,4.67
73.64,4.80
74.38,4.92
75.12,5.02
75.87,5.11
76.63,5.18
77.40,5.25
78.17,5.31
78.95,5.37
79.74,5.41
80.54,5.45
81.35,5.48
82.16,5.50
82.98,5.51
83.81,5.52
84.65,5.51
85.50,5.50
86.35,5.48
87.22,5.46
88.09,5.43
88.97,5.41
89.86,5.39
90.76,5.38
91.66,5.38
92.58,5.38
93.51,5.39
94.44,5.40
95.39,5.41
96.34,5.42
97.30,5.43
98.28,5.43
99.26,5.44
100.25,5.44
101.25,5.43
102.27,5.42
103.29,5.41
104.32,5.39
105.37,5.36
106.42,5.33
107.48,5.30
108.56,5.25
109.64,5.19
110.74,5.12
111.85,5.04
112.97,4.96
114.10,4.89
115.24,4.82
116.39,4.77
117.55,4.73
118.73,4.71
119.92,4.70
121.12,4.69
122.33,4.70
123.55,4.71
124.79,4.71
126.03,4.72
127.29,4.73
128.57,4.73
129.85,4.73
131.15,4.73
132.46,4.73
133.79,4.72
135.12,4.72
136.48,4.73
137.84,4.75
139.22,4.77
140.61,4.78
142.02,4.80
143.44,4.82
144.87,4.84
146.32,4.85
147.78,4.86
149.26,4.88
150.75,4.89
152.26,4.90
153.78,4.92
155.32,4.94
156.88,4.96
158.44,4.97
160.03,4.97
161.63,4.95
163.24,4.91
164.88,4.86
166.53,4.80
168.19,4.75
169.87,4.71
171.57,4.72
173.29,4.75
175.02,4.80
176.77,4.88
178.54,4.96
180.32,5.04
182.13,5.11
183.95,5.20
185.79,5.28
187.65,5.37
189.52,5.47
191.42,5.59
193.33,5.71
195.27,5.85
197.22,5.99
199.19,6.12
201.18,6.24
203.19,6.35
205.23,6.42
207.28,6.48
209.35,6.52
211.44,6.53
213.56,6.53
215.69,6.50
217.85,6.47
220.03,6.42
222.23,6.35
224.45,6.28
226.70,6.19
228.96,6.08
231.25,5.97
233.57,5.84
235.90,5.71
238.26,5.56
240.64,5.40
243.05,5.24
245.48,5.06
247.93,4.88
250.41,4.68
252.92,4.48
255.45,4.28
258.00,4.08
