frequency,raw
20.00,-2.04
20.20,-2.06
20.40,-2.09
20.61,-2.12
20.81,-2.15
21.02,-2.17
21.23,-2.20
21.44,-2.23
21.66,-2.25
21.87,-2.28
22.09,-2.31
22.31,-2.33
22.54,-2.36
22.76,-2.39
22.99,-2.41
23.22,-2.42
23.45,-2.42
23.69,-2.42
23.92,-2.40
24.16,-2.38
24.40,-2.36
24.65,-2.34
24.89,-2.33
25.14,-2.32
25.39,-2.32
25.65,-2.33
25.91,-2.35
26.16,-2.37
26.43,-2.39
26.69,-2.41
26.96,-2.43
27.23,-2.44
27.50,-2.46
27.77,-2.47
28.05,-2.48
28.33,-2.49
28.62,-2.50
28.90,-2.51
29.19,-2.54
29.48,-2.56
29.78,-2.60
30.08,-2.64
30.38,-2.68
30.68,-2.71
30.99,-2.73
31.30,-2.74
31.61,-2.73
31.93,-2.72
32.24,-2.70
32.57,-2.69
32.89,-2.68
33.22,-2.67
33.55,-2.67
33.89,-2.68
34.23,-2.69
34.57,-2.71
34.92,-2.72
35.27,-2.74
35.62,-2.74
35.97,-2.74
36.33,-2.73
36.70,-2.72
37.06,-2.72
37.43,-2.73
37.81,-2.76
38.19,-2.79
38.57,-2.82
38.95,-2.84
39.34,-2.86
39.74,-2.86
40.14,-2.86
40.54,-2.85
40.94,-2.84
41.35,-2.82
41.76,-2.81
42.18,-2.80
42.60,-2.80
43.03,-2.80
43.46,-2.81
43.90,-2.82
44.33,-2.84
44.78,-2.85
45.23,-2.86
45.68,-2.88
46.13,-2.89
46.60,-2.90
47.06,-2.91
47.53,-2.93
48.01,-2.94
48.49,-2.94
48.97,-2.95
49.46,-2.95
49.96,-2.95
50.46,-2.94
50.96,-2.94
51.47,-2.94
51.99,-2.94
52.51,-2.93
53.03,-2.93
53.56,-2.93
54.10,-2.93
54.64,-2.93
55.18,-2.93
55.74,-2.95
56.29,-2.96
56.86,-2.98
57.42,-2.99
58.00,-3.00
58.58,-2.99
59.16,-2.99
59.76,-2.99
60.35,-3.00
60.96,-3.01
61.57,-3.01
62.18,-3.02
62.80,-3.02
63.43,-3.02
64.07,-3.02
64.71,-3.02
65.35,-3.03
66.01,-3.04
66.67,-3.04
67.33,-3.05
68.01,-3.06
68.69,-3.06
69.37,-3.06
70.07,-3.05
70.77,-3.05
71.48,-3.05
72.19,-3.06
72.91,-3.06
73.64,-3.07
74.38,-3.08
75.12,-3.08
75.87,-3.07
76.63,-3.06
77.40,-3.05
78.17,-3.04
78.95,-3.03
79.74,-3.03
80.54,-3.03
81.35,-3.04
82.16,-3.04
82.98,-3.06
83.81,-3.07
84.65,-3.10
85.50,-3.12
86.35,-3.14
87.22,-3.15
88.09,-3.15
88.97,-3.15
89.86,-3.14
90.76,-3.12
91.66,-3.10
92.58,-3.08
93.51,-3.05
94.44,-3.04
95.39,-3.03
96.34,-3.03
97.30,-3.04
98.28,-3.06
99.26,-3.07
100.25,-3.08
101.25,-3.08
102.27,-3.08
103.29,-3.08
104.32,-3.08
105.37,-3.08
106.42,-3.07
107.48,-3.07
108.56,-3.06
109.64,-3.04
110.74,-3.01
111.85,-2.98
112.97,-2.94
114.10,-2.90
115.24,-2.87
116.39,-2.84
117.55,-2.81
118.73,-2.80
119.92,-2.78
121.12,-2.77
122.33,-2.75
123.55,-2.74
124.79,-2.72
126.03,-2.70
127.29,-2.68
128.57,-2.66
129.85,-2.63
131.15,-2.60
132.46,-2.57
133.79,-2.55
135.12,-2.53
136.48,-2.51
