frequency,raw
20.00,7.44
20.20,7.47
20.40,7.50
20.61,7.54
20.81,7.58
21.02,7.60
21.23,7.62
21.44,7.62
21.66,7.59
21.87,7.56
22.09,7.53
22.31,7.50
22.54,7.49
22.76,7.49
22.99,7.52
23.22,7.55
23.45,7.60
23.69,7.64
23.92,7.67
24.16,7.70
24.40,7.71
24.65,7.71
24.89,7.71
25.14,7.72
25.39,7.73
25.65,7.75
25.91,7.78
26.16,7.81
26.43,7.84
26.69,7.86
26.96,7.88
27.23,7.89
27.50,7.90
27.77,7.92
28.05,7.94
28.33,7.96
28.62,7.99
28.90,8.02
29.19,8.05
29.48,8.08
29.78,8.10
30.08,8.13
30.38,8.16
30.68,8.19
30.99,8.22
31.30,8.25
31.61,8.27
31.93,8.29
32.24,8.30
32.57,8.31
32.89,8.33
33.22,8.34
33.55,8.36
33.89,8.39
34.23,8.42
34.57,8.45
34.92,8.47
35.27,8.50
35.62,8.52
35.97,8.54
36.33,8.55
36.70,8.57
37.06,8.58
37.43,8.59
37.81,8.61
38.19,8.63
38.57,8.64
38.95,8.65
39.34,8.66
39.74,8.67
40.14,8.67
40.54,8.67
40.94,8.67
41.35,8.67
41.76,8.67
42.18,8.67
42.60,8.66
43.03,8.66
43.46,8.66
43.90,8.66
44.33,8.66
44.78,8.65
45.23,8.65
45.68,8.64
46.13,8.64
46.60,8.63
47.06,8.62
47.53,8.61
48.01,8.60
48.49,8.59
48.97,8.57
49.46,8.56
49.96,8.53
50.46,8.51
50.96,8.49
51.47,8.47
51.99,8.46
52.51,8.45
53.03,8.43
53.56,8.42
54.10,8.40
54.64,8.38
55.18,8.36
55.74,8.34
56.29,8.33
56.86,8.31
57.42,8.29
58.00,8.27
58.58,8.24
59.16,8.22
59.76,8.19
60.35,8.17
60.96,8.15
61.57,8.13
62.18,8.11
62.80,8.10
63.43,8.08
64.07,8.07
64.71,8.05
65.35,8.02
66.01,8.00
66.67,7.97
67.33,7.94
68.01,7.92
68.69,7.89
69.37,7.86
70.07,7.84
70.77,7.81
71.48,7.78
72.19,7.76
72.91,7.73
73.64,7.70
74.38,7.67
75.12,7.63
75.87,7.60
76.63,7.56
77.40,7.53
78.17,7.49
78.95,7.46
79.74,7.42
80.54,7.38
81.35,7.34
82.16,7.30
82.98,7.25
83.81,7.21
84.65,7.16
85.50,7.12
86.35,7.08
87.22,7.03
88.09,6.99
88.97,6.94
89.86,6.88
90.76,6.83
91.66,6.77
92.58,6.71
93.51,6.65
94.44,6.58
95.39,6.52
96.34,6.46
97.30,6.40
98.28,6.34
99.26,6.28
100.25,6.21
101.25,6.12
102.27,6.04
103.29,5.95
104.32,5.87
105.37,5.80
106.42,5.73
107.48,5.67
108.56,5.61
109.64,5.54
110.74,5.47
111.85,5.40
112.97,5.31
114.10,5.23
115.24,5.15
116.39,5.06
117.55,4.98
118.73,4.89
119.92,4.79
121.12,4.70
122.33,4.60
123.55,4.49
124.79,4.39
126.03,4.28
127.29,4.16
128.57,4.05
129.85,3.93
131.15,3.82
132.46,3.70
133.79,3.57
135.12,3.45
136.48,3.32
137.84,3.18
139.22,3.05
140.61,2.92
142.02,2.80
143.44,2.67
144.87,2.56
146.32,2.45
147.78,2.33
149.26,2.22
150.75,2.08
152.26,1.94
153.78,1.79
155.32,1.64
156.88,1.50
158.44,1.36
160.03,1.23
161.63,1.10
163.24,0.97
164.88,0.84
166.53,0.71
168.19,0.58
169.87,0.46
171.57,0.34
173.29,0.23
175.02,0.12
176.77,0.02
178.54,-0.08
180.32,-0.16
182.13,-0.24
183.95,-0.31
185.79,-0.39
187.65,-0.45
189.52,-0.52
191.42,-0.58
193.33,-0.63
195.27,-0.67
197.22,-0.70
199.19,-0.73
201.18,-0.75
203.19,-0.76
205.23,-0.76
207.28,-0.76
209.35,-0.74
211.44,-0.73
213.56,-0.71
215.69,-0.68
217.85,-0.65
220.03,-0.63
222.23,-0.59
224.45,-0.56
226.70,-0.52
228.96,-0.48
231.25,-0.43
233.57,-0.38
235.90,-0.32
238.26,-0.27
240.64,-0.22
243.05,-0.17
245.48,-0.12
247.93,-0.07
250.41,-0.01
252.92,0.06
255.45,0.14
258.00,0.22
260.58,0.29
263.19,0.36
265.82,0.42
268.48,0.48
271.16,0.54
273.87,0.60
276.61,0.66
279.38,0.71
282.17,0.76
284.99,0.81
287.84,0.86
290.72,0.91
293.63,0.96
296.57,0.99
299.53,1.03
302.53,1.06
305.55,1.09
308.61,1.12
311.69,1.15
314.81,1.17
317.96,1.19
321.14,1.21
324.35,1.24
327.59,1.26
330.87,1.28
334.18,1.30
337.52,1.30
340.90,1.31
344.30,1.32
347.75,1.33
351.23,1.34
354.74,1.35
358.28,1.35
361.87,1.35
365.49,1.35
369.14,1.35
372.83,1.35
376.56,1.35
380.33,1.35
384.13,1.34
387.97,1.34
391.85,1.35
395.77,1.35
399.73,1.36
403.72,1.37
407.76,1.38
411.84,1.40
415.96,1.41
420.12,1.43
