frequency,raw
20.00,12.86
20.20,12.82
20.40,12.77
20.61,12.73
20.81,12.70
21.02,12.67
21.23,12.64
21.44,12.62
21.66,12.60
21.87,12.57
22.09,12.54
22.31,12.51
22.54,12.48
22.76,12.44
22.99,12.41
23.22,12.38
23.45,12.34
23.69,12.31
23.92,12.29
24.16,12.26
24.40,12.23
24.65,12.20
24.89,12.17
25.14,12.14
25.39,12.12
25.65,12.09
25.91,12.07
26.16,12.06
26.43,12.04
26.69,12.02
26.96,12.00
27.23,11.98
27.50,11.96
27.77,11.94
28.05,11.92
28.33,11.90
28.62,11.89
28.90,11.88
29.19,11.87
29.48,11.86
29.78,11.85
30.08,11.84
30.38,11.82
30.68,11.81
30.99,11.79
31.30,11.78
31.61,11.76
31.93,11.75
32.24,11.73
32.57,11.71
32.89,11.68
33.22,11.65
33.55,11.63
33.89,11.60
34.23,11.57
34.57,11.53
34.92,11.50
35.27,11.47
35.62,11.44
35.97,11.41
36.33,11.38
36.70,11.34
37.06,11.30
37.43,11.25
37.81,11.21
38.19,11.16
38.57,11.12
38.95,11.06
39.34,11.01
39.74,10.95
40.14,10.89
40.54,10.82
40.94,10.75
41.35,10.68
41.76,10.61
42.18,10.53
42.60,10.45
43.03,10.38
43.46,10.30
43.90,10.23
44.33,10.15
44.78,10.08
45.23,10.01
45.68,9.93
46.13,9.86
46.60,9.79
47.06,9.71
47.53,9.63
48.01,9.55
48.49,9.47
48.97,9.41
49.46,9.36
49.96,9.31
50.46,9.22
50.96,9.11
51.47,8.97
51.99,8.82
52.51,8.69
53.03,8.57
53.56,8.46
54.10,8.35
54.64,8.25
55.18,8.15
55.74,8.05
56.29,7.96
56.86,7.87
57.42,7.78
58.00,7.69
58.58,7.60
59.16,7.51
59.76,7.41
60.35,7.31
60.96,7.21
61.57,7.10
62.18,7.00
62.80,6.91
63.43,6.81
64.07,6.72
64.71,6.63
65.35,6.53
66.01,6.44
66.67,6.36
67.33,6.28
68.01,6.19
68.69,6.12
69.37,6.03
70.07,5.95
70.77,5.86
71.48,5.77
72.19,5.68
72.91,5.59
73.64,5.51
74.38,5.42
75.12,5.34
75.87,5.25
76.63,5.17
77.40,5.09
78.17,5.02
78.95,4.94
79.74,4.86
80.54,4.78
81.35,4.70
82.16,4.61
82.98,4.52
83.81,4.43
84.65,4.34
85.50,4.25
86.35,4.16
