frequency,raw
20.00,5.71
20.20,5.81
20.40,5.89
20.61,5.94
20.81,5.93
21.02,5.90
21.23,5.83
21.44,5.77
21.66,5.72
21.87,5.69
22.09,5.74
22.31,5.83
22.54,5.97
22.76,6.14
22.99,6.33
23.22,6.50
23.45,6.66
23.69,6.79
23.92,6.89
24.16,6.96
24.40,7.00
24.65,7.00
24.89,6.98
25.14,6.93
25.39,6.87
25.65,6.83
25.91,6.83
26.16,6.88
26.43,6.99
26.69,7.14
26.96,7.29
27.23,7.40
27.50,7.44
27.77,7.41
28.05,7.33
28.33,7.23
28.62,7.18
28.90,7.19
29.19,7.28
29.48,7.41
29.78,7.51
30.08,7.58
30.38,7.57
30.68,7.49
30.99,7.41
31.30,7.38
31.61,7.42
31.93,7.52
32.24,7.63
32.57,7.74
32.89,7.81
33.22,7.85
33.55,7.89
33.89,7.92
34.23,7.94
34.57,7.96
34.92,7.96
35.27,7.95
35.62,7.94
35.97,7.94
36.33,7.97
36.70,8.00
37.06,8.03
37.43,8.04
37.81,8.04
38.19,8.04
38.57,8.05
38.95,8.07
39.34,8.09
39.74,8.12
40.14,8.14
40.54,8.15
40.94,8.15
41.35,8.15
41.76,8.15
42.18,8.16
42.60,8.18
43.03,8.21
43.46,8.23
43.90,8.24
44.33,8.22
44.78,8.21
45.23,8.20
45.68,8.20
46.13,8.20
46.60,8.18
47.06,8.18
47.53,8.19
48.01,8.22
48.49,8.23
48.97,8.20
49.46,8.13
49.96,8.08
50.46,8.08
50.96,8.08
51.47,8.07
51.99,8.03
52.51,8.00
53.03,7.99
53.56,7.99
54.10,7.97
54.64,7.91
55.18,7.85
55.74,7.83
56.29,7.82
56.86,7.80
57.42,7.74
58.00,7.68
58.58,7.64
59.16,7.61
59.76,7.56
60.35,7.51
60.96,7.45
61.57,7.42
62.18,7.39
62.80,7.33
63.43,7.28
64.07,7.22
64.71,7.17
65.35,7.11
66.01,7.05
66.67,7.00
67.33,6.93
68.01,6.84
68.69,6.76
69.37,6.68
70.07,6.60
70.77,6.53
71.48,6.49
72.19,6.45
72.91,6.36
73.64,6.23
74.38,6.13
75.12,6.07
75.87,5.99
76.63,5.92
77.40,5.84
78.17,5.78
78.95,5.71
79.74,5.60
80.54,5.52
81.35,5.44
82.16,5.32
82.98,5.21
83.81,5.12
84.65,5.03
85.50,4.91
86.35,4.80
87.22,4.77
88.09,4.74
88.97,4.73
89.86,4.72
90.76,4.68
91.66,4.62
92.58,4.56
93.51,4.47
94.44,4.35
95.39,4.26
96.34,4.21
97.30,4.10
98.28,4.25
99.26,4.19
100.25,3.92
101.25,3.98
102.27,3.90
103.29,3.81
104.32,3.79
105.37,3.65
106.42,3.46
107.48,3.20
108.56,3.22
109.64,3.23
110.74,3.23
111.85,3.22
112.97,3.42
114.10,3.56
115.24,3.47
116.39,3.36
117.55,3.27
118.73,3.30
119.92,3.37
121.12,3.41
122.33,3.41
123.55,3.45
124.79,3.45
126.03,3.40
127.29,3.39
128.57,3.40
129.85,3.39
131.15,3.38
132.46,3.28
133.79,3.17
135.12,3.09
136.48,3.01
137.84,2.92
139.22,2.88
140.61,2.84
142.02,2.76
143.44,2.70
144.87,2.68
146.32,2.60
147.78,2.51
149.26,2.38
150.75,2.29
152.26,2.25
153.78,2.15
155.32,2.04
156.88,1.89
158.44,1.75
160.03,1.62
161.63,1.46
163.24,1.31
164.88,1.18
166.53,1.02
168.19,0.87
169.87,0.73
171.57,0.49
173.29,0.29
175.02,0.14
176.77,-0.03
178.54,-0.21
180.32,-0.38
182.13,-0.54
183.95,-0.70
185.79,-0.86
187.65,-1.02
189.52,-1.16
191.42,-1.29
193.33,-1.42
195.27,-1.54
197.22,-1.60
199.19,-1.61
201.18,-1.63
203.19,-1.64
205.23,-1.61
207.28,-1.56
209.35,-1.50
211.44,-1.42
