frequency,raw
20.00,9.82
20.20,9.96
20.40,10.08
20.61,10.18
20.81,10.24
21.02,10.26
21.23,10.25
21.44,10.19
21.66,10.08
21.87,9.97
22.09,9.85
22.31,9.73
22.54,9.62
22.76,9.54
22.99,9.49
23.22,9.46
23.45,9.45
23.69,9.45
23.92,9.45
24.16,9.46
24.40,9.47
24.65,9.49
24.89,9.52
25.14,9.55
25.39,9.59
25.65,9.63
25.91,9.66
26.16,9.70
26.43,9.72
26.69,9.75
26.96,9.77
27.23,9.79
27.50,9.82
27.77,9.85
28.05,9.88
28.33,9.92
28.62,9.95
28.90,9.98
29.19,10.01
29.48,10.03
29.78,10.05
30.08,10.08
30.38,10.10
30.68,10.12
30.99,10.15
31.30,10.18
31.61,10.20
31.93,10.23
32.24,10.25
32.57,10.26
32.89,10.28
33.22,10.29
33.55,10.29
33.89,10.30
34.23,10.31
34.57,10.33
34.92,10.35
35.27,10.37
35.62,10.39
35.97,10.41
36.33,10.44
36.70,10.46
37.06,10.48
37.43,10.50
37.81,10.52
38.19,10.54
38.57,10.56
38.95,10.59
39.34,10.61
39.74,10.63
40.14,10.65
40.54,10.67
40.94,10.69
41.35,10.70
41.76,10.72
42.18,10.72
42.60,10.73
43.03,10.74
43.46,10.76
43.90,10.77
44.33,10.78
44.78,10.80
45.23,10.81
45.68,10.83
46.13,10.84
46.60,10.86
47.06,10.88
47.53,10.90
48.01,10.93
48.49,10.95
48.97,10.96
49.46,10.96
49.96,10.94
50.46,10.93
50.96,10.93
51.47,10.94
51.99,10.96
52.51,10.98
53.03,10.99
53.56,11.00
54.10,11.01
54.64,11.02
55.18,11.02
55.74,11.03
56.29,11.03
56.86,11.04
57.42,11.04
58.00,11.04
58.58,11.04
59.16,11.04
59.76,11.04
60.35,11.04
60.96,11.04
61.57,11.05
62.18,11.05
62.80,11.05
63.43,11.05
64.07,11.05
64.71,11.04
65.35,11.04
66.01,11.03
66.67,11.02
67.33,11.02
68.01,11.01
68.69,11.01
69.37,11.00
70.07,10.99
70.77,10.99
71.48,10.98
72.19,10.97
72.91,10.96
73.64,10.95
74.38,10.94
75.12,10.93
75.87,10.92
76.63,10.90
77.40,10.89
78.17,10.88
78.95,10.87
79.74,10.86
80.54,10.84
81.35,10.83
82.16,10.81
82.98,10.79
83.81,10.77
84.65,10.75
85.50,10.73
86.35,10.71
87.22,10.70
88.09,10.68
88.97,10.66
89.86,10.64
90.76,10.62
91.66,10.59
92.58,10.57
93.51,10.54
94.44,10.52
95.39,10.50
96.34,10.48
97.30,10.47
98.28,10.45
99.26,10.42
100.25,10.39
101.25,10.36
102.27,10.32
103.29,10.28
104.32,10.25
105.37,10.21
106.42,10.16
107.48,10.12
108.56,10.07
109.64,10.02
110.74,9.98
111.85,9.93
112.97,9.90
114.10,9.87
115.24,9.85
116.39,9.85
117.55,9.85
118.73,9.85
119.92,9.84
121.12,9.83
122.33,9.81
123.55,9.78
124.79,9.74
126.03,9.71
127.29,9.67
128.57,9.64
129.85,9.60
131.15,9.57
132.46,9.53
133.79,9.49
135.12,9.45
136.48,9.41
137.84,9.37
139.22,9.33
140.61,9.29
142.02,9.25
143.44,9.21
144.87,9.16
146.32,9.12
147.78,9.07
149.26,9.02
150.75,8.97
152.26,8.92
153.78,8.87
155.32,8.82
156.88,8.77
158.44,8.72
160.03,8.67
161.63,8.62
163.24,8.57
164.88,8.52
166.53,8.46
168.19,8.40
169.87,8.34
171.57,8.27
173.29,8.21
175.02,8.15
176.77,8.08
178.54,8.02
180.32,7.95
182.13,7.88
183.95,7.81
185.79,7.74
187.65,7.66
189.52,7.59
191.42,7.51
193.33,7.43
195.27,7.35
197.22,7.26
199.19,7.19
201.18,7.11
203.19,7.03
205.23,6.96
207.28,6.88
209.35,6.80
211.44,6.72
213.56,6.64
215.69,6.56
217.85,6.47
220.03,6.38
222.23,6.29
224.45,6.20
226.70,6.11
228.96,6.02
231.25,5.93
233.57,5.83
235.90,5.74
238.26,5.63
240.64,5.52
243.05,5.42
245.48,5.31
247.93,5.19
250.41,5.08
252.92,4.96
255.45,4.83
258.00,4.71
260.58,4.59
263.19,4.48
265.82,4.37
268.48,4.25
271.16,4.14
273.87,4.03
276.61,3.91
279.38,3.79
282.17,3.67
284.99,3.55
287.84,3.44
290.72,3.32
293.63,3.21
296.57,3.09
299.53,2.98
302.53,2.86
305.55,2.76
308.61,2.65
311.69,2.55
314.81,2.46
317.96,2.38
321.14,2.29
324.35,2.21
327.59,2.14
330.87,2.07
334.18,2.00
337.52,1.93
340.90,1.87
344.30,1.81
347.75,1.75
351.23,1.69
354.74,1.64
358.28,1.60
361.87,1.56
365.49,1.52
369.14,1.49
372.83,1.45
376.56,1.42
380.33,1.39
384.13,1.36
387.97,1.34
391.85,1.31
395.77,1.29
399.73,1.27
403.72,1.24
407.76,1.21
411.84,1.19
415.96,1.16
420.12,1.13
424.32,1.10
428.56,1.08
432.85,1.05
437.18,1.03
441.55,1.01
445.96,0.98
450.42,0.96
454.93,0.93
459.48,0.90
464.07,0.86
468.71,0.82
473.40,0.77
478.13,0.73
482.91,0.68
487.74,0.64
492.62,0.59
497.55,0.55
502.52,0.52
507.55,0.48
512.62,0.44
517.75,0.41
522.93,0.38
528.16,0.35
533.44,0.32
538.77,0.30
544.16,0.27
549.60,0.25
555.10,0.24
560.65,0.23
566.25,0.22
571.92,0.23
577.64,0.23
583.41,0.24
589.25,0.26
595.14,0.27
601.09,0.28
607.10,0.28
613.17,0.27
619.30,0.24
625.50,0.20
631.75,0.14
638.07,0.05
644.45,-0.05
650.89,-0.18
657.40,-0.34
663.98,-0.51
670.62,-0.68
677.32,-0.86
684.10,-1.01
690.94,-1.15
697.85,-1.26
704.83,-1.34
711.87,-1.40
718.99,-1.42
726.18,-1.43
733.44,-1.42
740.78,-1.39
748.19,-1.36
755.67,-1.31
763.23,-1.27
770.86,-1.22
778.57,-1.17
786.35,-1.13
794.22,-1.09
802.16,-1.05
810.18,-1.01
818.28,-0.97
826.46,-0.93
834.73,-0.90
843.08,-0.86
851.51,-0.82
860.02,-0.78
868.62,-0.74
877.31,-0.70
886.08,-0.66
894.94,-0.62
903.89,-0.57
912.93,-0.52
922.06,-0.47
931.28,-0.42
940.59,-0.37
950.00,-0.31
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.25
1049.39,0.32
1059.88,0.39
1070.48,0.46
1081.19,0.53
1092.00,0.60
1102.92,0.66
1113.95,0.73
1125.09,0.80
1136.34,0.86
1147.70,0.92
1159.18,0.98
1170.77,1.04
1182.48,1.10
1194.30,1.15
1206.25,1.21
1218.31,1.26
1230.49,1.31
1242.80,1.35
1255.22,1.40
1267.78,1.44
1280.45,1.48
1293.26,1.51
1306.19,1.55
1319.25,1.58
1332.45,1.61
1345.77,1.64
1359.23,1.67
1372.82,1.69
1386.55,1.72
1400.41,1.74
1414.42,1.76
1428.56,1.79
1442.85,1.81
1457.28,1.84
1471.85,1.86
1486.57,1.89
1501.43,1.91
1516.45,1.94
1531.61,1.97
1546.93,1.99
1562.40,2.02
1578.02,2.04
1593.80,2.06
1609.74,2.08
1625.84,2.10
1642.10,2.12
1658.52,2.14
1675.10,2.16
1691.85,2.18
1708.77,2.20
1725.86,2.23
1743.12,2.25
1760.55,2.27
1778.15,2.30
1795.94,2.32
1813.90,2.35
1832.03,2.37
1850.36,2.39
1868.86,2.42
1887.55,2.45
1906.42,2.48
1925.49,2.51
1944.74,2.54
1964.19,2.57
1983.83,2.59
2003.67,2.62
2023.71,2.65
2043.94,2.67
2064.38,2.70
2085.03,2.72
2105.88,2.75
2126.94,2.77
2148.20,2.80
2169.69,2.82
2191.38,2.85
2213.30,2.87
2235.43,2.90
2257.78,2.93
2280.36,2.97
2303.17,3.01
2326.20,3.07
2349.46,3.14
2372.95,3.21
2396.68,3.30
2420.65,3.39
2444.86,3.49
2469.31,3.60
2494.00,3.71
2518.94,3.82
2544.13,3.94
2569.57,4.04
2595.27,4.14
2621.22,4.24
2647.43,4.34
2673.90,4.43
2700.64,4.52
2727.65,4.62
2754.93,4.72
2782.48,4.83
2810.30,4.94
2838.40,5.06
2866.79,5.18
2895.46,5.31
2924.41,5.45
2953.65,5.59
2983.19,5.74
3013.02,5.90
3043.15,6.05
3073.58,6.21
3104.32,6.37
3135.36,6.54
3166.72,6.70
3198.38,6.86
3230.37,7.02
3262.67,7.18
3295.30,7.34
3328.25,7.49
3361.53,7.63
3395.15,7.77
3429.10,7.89
3463.39,8.01
3498.03,8.11
3533.01,8.21
3568.34,8.29
3604.02,8.37
3640.06,8.42
3676.46,8.46
3713.22,8.48
3750.36,8.48
3787.86,8.47
3825.74,8.45
3864.00,8.41
3902.64,8.37
3941.66,8.33
3981.08,8.27
4020.89,8.20
4061.10,8.13
4101.71,8.05
4142.73,7.97
4184.15,7.89
4226.00,7.80
4268.26,7.71
4310.94,7.62
4354.05,7.54
4397.59,7.46
4441.56,7.38
4485.98,7.31
4530.84,7.25
4576.15,7.21
4621.91,7.17
4668.13,7.15
4714.81,7.14
4761.96,7.15
4809.58,7.18
4857.67,7.22
4906.25,7.29
4955.31,7.38
5004.87,7.48
5054.91,7.61
5105.46,7.75
5156.52,7.89
5208.08,8.06
5260.16,8.22
5312.77,8.39
5365.89,8.55
5419.55,8.71
5473.75,8.86
5528.49,9.01
5583.77,9.14
5639.61,9.25
5696.00,9.35
5752.96,9.44
5810.49,9.51
5868.60,9.56
5927.28,9.60
5986.56,9.62
6046.42,9.63
6106.89,9.62
6167.96,9.61
6229.64,9.59
6291.93,9.56
6354.85,9.54
6418.40,9.53
6482.58,9.51
6547.41,9.51
6612.88,9.51
6679.01,9.53
6745.80,9.56
6813.26,9.61
6881.39,9.69
6950.21,9.79
7019.71,9.92
7089.91,10.07
7160.81,10.27
7232.41,10.50
7304.74,10.76
7377.79,11.05
7451.56,11.37
7526.08,11.71
7601.34,12.05
7677.35,12.37
7754.13,12.68
7831.67,12.89
7909.98,13.04
7989.08,13.08
8068.98,12.94
8149.67,12.69
8231.16,12.30
8313.47,11.74
8396.61,11.10
8480.57,10.33
8565.38,9.48
8651.03,8.59
8737.54,7.67
8824.92,6.74
8913.17,5.83
9002.30,4.93
9092.32,4.06
9183.25,3.24
9275.08,2.45
9367.83,1.71
9461.51,1.02
9556.12,0.38
9651.68,-0.23
9748.20,-0.80
9845.68,-1.32
9944.14,-1.81
10043.58,-2.27
10144.02,-2.70
10245.46,-3.10
10347.91,-3.49
10451.39,-3.85
10555.91,-4.18
10661.46,-4.49
10768.08,-4.78
10875.76,-5.03
10984.52,-5.24
11094.36,-5.43
11205.31,-5.59
11317.36,-5.69
11430.53,-5.77
11544.84,-5.80
11660.29,-5.79
11776.89,-5.74
11894.66,-5.61
12013.60,-5.46
12133.74,-5.25
12255.08,-4.94
12377.63,-4.58
12501.41,-4.13
12626.42,-3.55
12752.68,-2.84
12880.21,-1.92
13009.01,-0.90
13139.10,0.12
13270.49,1.34
13403.20,2.60
13537.23,3.77
13672.60,4.75
13809.33,5.54
13947.42,5.79
14086.90,5.55
14227.77,5.00
14370.04,4.16
14513.74,2.98
14658.88,1.60
14805.47,0.24
14953.52,-1.10
15103.06,-2.27
15254.09,-3.36
15406.63,-4.19
15560.70,-4.93
15716.30,-5.52
15873.47,-5.94
16032.20,-6.27
16192.52,-6.44
16354.45,-6.46
16517.99,-6.39
16683.17,-6.12
16850.01,-5.75
17018.51,-5.29
17188.69,-4.77
17360.58,-4.30
17534.18,-3.92
17709.53,-3.78
17886.62,-3.98
18065.49,-4.46
18246.14,-5.27
18428.60,-6.51
18612.89,-7.93
18799.02,-9.51
18987.01,-11.20
19176.88,-13.01
19368.65,-14.94
19562.33,-16.95
19757.96,-18.99
19955.54,-20.51
