frequency,raw
20.00,5.46
20.20,5.34
20.40,5.23
20.61,5.13
20.81,5.09
21.02,5.08
21.23,5.11
21.44,5.15
21.66,5.17
21.87,5.17
22.09,5.08
22.31,4.93
22.54,4.74
22.76,4.51
22.99,4.27
23.22,4.07
23.45,3.95
23.69,3.92
23.92,3.97
24.16,4.07
24.40,4.17
24.65,4.25
24.89,4.28
25.14,4.26
25.39,4.21
25.65,4.15
25.91,4.10
26.16,4.07
26.43,4.09
26.69,4.14
26.96,4.20
27.23,4.25
27.50,4.26
27.77,4.24
28.05,4.20
28.33,4.14
28.62,4.08
28.90,4.02
29.19,3.99
29.48,3.98
29.78,3.98
30.08,3.98
30.38,3.98
30.68,3.97
30.99,3.94
31.30,3.91
31.61,3.87
31.93,3.82
32.24,3.78
32.57,3.74
32.89,3.71
33.22,3.70
33.55,3.69
33.89,3.69
34.23,3.71
34.57,3.73
34.92,3.76
35.27,3.78
35.62,3.79
35.97,3.78
36.33,3.77
36.70,3.75
37.06,3.74
37.43,3.73
37.81,3.72
38.19,3.71
38.57,3.69
38.95,3.67
39.34,3.65
39.74,3.63
40.14,3.60
40.54,3.58
40.94,3.56
41.35,3.55
41.76,3.54
42.18,3.55
42.60,3.55
43.03,3.55
43.46,3.55
43.90,3.55
44.33,3.54
44.78,3.54
45.23,3.54
45.68,3.54
46.13,3.54
46.60,3.53
47.06,3.52
47.53,3.50
48.01,3.47
48.49,3.43
48.97,3.39
49.46,3.36
49.96,3.34
50.46,3.34
50.96,3.34
51.47,3.34
51.99,3.35
52.51,3.34
53.03,3.34
53.56,3.33
54.10,3.31
54.64,3.30
55.18,3.28
55.74,3.26
56.29,3.24
56.86,3.23
57.42,3.21
58.00,3.19
58.58,3.18
59.16,3.16
59.76,3.15
60.35,3.14
60.96,3.13
61.57,3.13
62.18,3.12
62.80,3.11
63.43,3.10
64.07,3.09
64.71,3.07
65.35,3.05
66.01,3.02
66.67,2.99
67.33,2.96
68.01,2.93
68.69,2.90
69.37,2.87
70.07,2.84
70.77,2.82
71.48,2.79
72.19,2.76
72.91,2.74
73.64,2.72
74.38,2.69
75.12,2.67
75.87,2.64
76.63,2.61
77.40,2.59
78.17,2.56
78.95,2.54
79.74,2.52
80.54,2.50
81.35,2.47
82.16,2.44
82.98,2.41
83.81,2.38
84.65,2.34
85.50,2.31
86.35,2.28
87.22,2.24
88.09,2.21
88.97,2.17
89.86,2.13
90.76,2.10
91.66,2.07
92.58,2.04
93.51,2.01
94.44,1.98
95.39,1.96
96.34,1.93
97.30,1.91
98.28,1.88
99.26,1.85
100.25,1.81
101.25,1.76
102.27,1.72
103.29,1.67
104.32,1.62
105.37,1.56
106.42,1.50
107.48,1.42
108.56,1.34
109.64,1.25
110.74,1.16
111.85,1.06
112.97,0.98
114.10,0.92
115.24,0.88
116.39,0.88
117.55,0.88
118.73,0.89
119.92,0.91
121.12,0.92
122.33,0.93
123.55,0.94
124.79,0.93
126.03,0.92
127.29,0.89
128.57,0.85
129.85,0.79
131.15,0.74
132.46,0.66
133.79,0.58
135.12,0.49
136.48,0.41
137.84,0.34
139.22,0.29
140.61,0.26
142.02,0.24
143.44,0.22
144.87,0.21
146.32,0.20
147.78,0.19
