frequency,raw
20.00,8.30
20.20,8.33
20.40,8.34
20.61,8.35
20.81,8.34
21.02,8.32
21.23,8.31
21.44,8.29
21.66,8.28
21.87,8.28
22.09,8.28
22.31,8.29
22.54,8.31
22.76,8.33
22.99,8.35
23.22,8.37
23.45,8.38
23.69,8.39
23.92,8.38
24.16,8.37
24.40,8.34
24.65,8.32
24.89,8.29
25.14,8.27
25.39,8.26
25.65,8.26
25.91,8.27
26.16,8.29
26.43,8.30
26.69,8.30
26.96,8.30
27.23,8.28
27.50,8.26
27.77,8.22
28.05,8.20
28.33,8.18
28.62,8.17
28.90,8.17
29.19,8.18
29.48,8.19
29.78,8.19
30.08,8.18
30.38,8.15
30.68,8.11
30.99,8.07
31.30,8.03
31.61,8.00
31.93,7.99
32.24,7.98
32.57,7.98
32.89,7.97
33.22,7.96
33.55,7.95
33.89,7.93
34.23,7.92
34.57,7.91
34.92,7.90
35.27,7.87
35.62,7.85
35.97,7.83
36.33,7.80
36.70,7.78
37.06,7.76
37.43,7.75
37.81,7.73
38.19,7.71
38.57,7.68
38.95,7.65
39.34,7.63
39.74,7.61
40.14,7.59
40.54,7.57
40.94,7.54
41.35,7.51
41.76,7.47
42.18,7.45
42.60,7.42
43.03,7.40
43.46,7.36
43.90,7.33
44.33,7.30
44.78,7.29
45.23,7.28
45.68,7.25
46.13,7.20
46.60,7.16
47.06,7.15
47.53,7.15
48.01,7.12
48.49,7.09
48.97,7.07
49.46,7.08
49.96,7.11
50.46,7.05
50.96,6.97
51.47,6.86
51.99,6.83
52.51,6.80
53.03,6.78
53.56,6.69
54.10,6.64
54.64,6.61
55.18,6.59
55.74,6.54
56.29,6.49
56.86,6.45
57.42,6.43
58.00,6.40
58.58,6.35
59.16,6.30
59.76,6.27
60.35,6.23
60.96,6.20
61.57,6.15
62.18,6.12
62.80,6.07
63.43,6.02
64.07,5.96
64.71,5.93
65.35,5.89
66.01,5.84
66.67,5.79
67.33,5.74
68.01,5.71
68.69,5.66
69.37,5.61
70.07,5.57
70.77,5.52
71.48,5.47
72.19,5.43
72.91,5.39
73.64,5.33
74.38,5.28
75.12,5.23
75.87,5.18
76.63,5.13
77.40,5.08
78.17,5.03
78.95,4.98
79.74,4.92
80.54,4.86
81.35,4.80
82.16,4.76
82.98,4.71
83.81,4.66
84.65,4.59
85.50,4.53
86.35,4.47
87.22,4.41
88.09,4.35
88.97,4.29
89.86,4.23
90.76,4.17
91.66,4.11
92.58,4.05
93.51,3.98
94.44,3.91
95.39,3.84
96.34,3.77
97.30,3.70
98.28,3.63
99.26,3.56
100.25,3.48
101.25,3.41
102.27,3.33
103.29,3.25
104.32,3.17
105.37,3.08
106.42,3.00
107.48,2.91
108.56,2.84
109.64,2.73
110.74,2.60
111.85,2.51
112.97,2.44
114.10,2.39
115.24,2.40
116.39,2.39
117.55,2.41
118.73,2.46
119.92,2.50
121.12,2.54
122.33,2.56
123.55,2.55
124.79,2.54
126.03,2.44
127.29,2.44
128.57,2.44
129.85,2.36
131.15,2.28
132.46,2.23
133.79,2.17
135.12,2.18
136.48,2.20
137.84,2.23
139.22,2.24
140.61,2.24
142.02,2.23
143.44,2.22
144.87,2.24
146.32,2.19
147.78,2.14
149.26,2.10
150.75,2.04
152.26,1.96
153.78,1.90
155.32,1.83
156.88,1.77
158.44,1.71
160.03,1.65
161.63,1.61
163.24,1.56
164.88,1.51
166.53,1.47
168.19,1.43
169.87,1.37
171.57,1.33
173.29,1.29
175.02,1.24
176.77,1.22
178.54,1.18
180.32,1.14
182.13,1.07
183.95,1.08
185.79,1.03
187.65,0.90
189.52,0.95
191.42,0.91
193.33,0.86
195.27,0.83
197.22,0.77
199.19,0.76
201.18,0.74
203.19,0.71
205.23,0.72
207.28,0.70
209.35,0.65
211.44,0.60
213.56,0.57
215.69,0.54
217.85,0.50
220.03,0.48
222.23,0.46
224.45,0.44
226.70,0.40
228.96,0.39
231.25,0.36
233.57,0.34
235.90,0.33
238.26,0.31
240.64,0.30
243.05,0.28
245.48,0.26
247.93,0.24
250.41,0.21
252.92,0.21
255.45,0.19
258.00,0.17
260.58,0.17
263.19,0.16
265.82,0.15
268.48,0.15
271.16,0.12
273.87,0.11
276.61,0.11
279.38,0.10
282.17,0.09
284.99,0.08
287.84,0.07
290.72,0.06
293.63,0.06
296.57,0.05
299.53,0.04
302.53,0.04
305.55,0.04
308.61,0.03
311.69,0.01
314.81,0.00
317.96,0.00
321.14,0.00
324.35,-0.01
327.59,-0.02
330.87,-0.03
334.18,-0.03
337.52,-0.03
340.90,-0.03
344.30,-0.01
347.75,-0.01
351.23,0.01
354.74,0.05
358.28,0.08
361.87,0.10
365.49,0.12
369.14,0.12
372.83,0.12
376.56,0.12
380.33,0.12
384.13,0.12
387.97,0.12
391.85,0.11
395.77,0.11
399.73,0.11
403.72,0.10
407.76,0.10
411.84,0.11
415.96,0.10
420.12,0.09
424.32,0.10
428.56,0.10
432.85,0.10
437.18,0.10
441.55,0.10
445.96,0.11
450.42,0.13
454.93,0.10
459.48,0.11
464.07,0.12
468.71,0.12
473.40,0.11
478.13,0.10
482.91,0.09
487.74,0.10
492.62,0.09
497.55,0.09
502.52,0.08
507.55,0.06
512.62,0.07
517.75,0.07
522.93,0.06
528.16,0.05
533.44,0.04
538.77,0.04
544.16,0.03
549.60,0.02
