frequency,raw
20.00,8.47
20.20,8.45
20.40,8.42
20.61,8.38
20.81,8.35
21.02,8.33
21.23,8.31
21.44,8.31
21.66,8.31
21.87,8.32
22.09,8.32
22.31,8.31
22.54,8.31
22.76,8.30
22.99,8.29
23.22,8.30
23.45,8.31
23.69,8.33
23.92,8.35
24.16,8.38
24.40,8.39
24.65,8.40
24.89,8.39
25.14,8.38
25.39,8.36
25.65,8.34
25.91,8.32
26.16,8.32
26.43,8.32
26.69,8.33
26.96,8.34
27.23,8.34
27.50,8.33
27.77,8.31
28.05,8.29
28.33,8.28
28.62,8.26
28.90,8.25
29.19,8.25
29.48,8.24
29.78,8.23
30.08,8.22
30.38,8.21
30.68,8.19
30.99,8.18
31.30,8.16
31.61,8.13
31.93,8.11
32.24,8.08
32.57,8.06
32.89,8.04
33.22,8.02
33.55,8.01
33.89,8.00
34.23,7.98
34.57,7.95
34.92,7.93
35.27,7.90
35.62,7.88
35.97,7.86
36.33,7.84
36.70,7.82
37.06,7.81
37.43,7.79
37.81,7.78
38.19,7.76
38.57,7.74
38.95,7.72
39.34,7.69
39.74,7.66
40.14,7.64
40.54,7.62
40.94,7.60
41.35,7.57
41.76,7.55
42.18,7.52
42.60,7.49
43.03,7.46
43.46,7.43
43.90,7.40
44.33,7.37
44.78,7.33
45.23,7.30
45.68,7.28
46.13,7.25
46.60,7.22
47.06,7.18
47.53,7.14
48.01,7.11
48.49,7.09
48.97,7.06
49.46,7.01
49.96,6.94
50.46,6.89
50.96,6.86
51.47,6.86
51.99,6.83
52.51,6.79
53.03,6.74
53.56,6.72
54.10,6.70
54.64,6.68
55.18,6.64
55.74,6.60
56.29,6.56
56.86,6.53
57.42,6.49
58.00,6.44
58.58,6.40
59.16,6.36
59.76,6.31
60.35,6.27
60.96,6.24
61.57,6.21
62.18,6.17
62.80,6.11
63.43,6.06
64.07,6.02
64.71,5.99
65.35,5.94
66.01,5.89
66.67,5.84
67.33,5.79
68.01,5.73
68.69,5.69
69.37,5.65
70.07,5.60
70.77,5.56
71.48,5.52
72.19,5.47
72.91,5.40
73.64,5.35
74.38,5.30
75.12,5.25
75.87,5.20
76.63,5.16
77.40,5.12
78.17,5.06
78.95,5.01
79.74,4.94
80.54,4.89
81.35,4.84
82.16,4.78
82.98,4.72
83.81,4.66
84.65,4.59
85.50,4.54
86.35,4.49
87.22,4.41
88.09,4.35
88.97,4.30
89.86,4.26
90.76,4.21
91.66,4.14
92.58,4.06
93.51,3.99
94.44,3.93
95.39,3.87
96.34,3.80
97.30,3.70
98.28,3.65
99.26,3.59
100.25,3.52
101.25,3.42
102.27,3.34
103.29,3.27
104.32,3.19
105.37,3.07
106.42,2.98
107.48,2.91
108.56,2.79
109.64,2.70
110.74,2.63
111.85,2.58
112.97,2.51
114.10,2.46
115.24,2.51
116.39,2.56
117.55,2.61
118.73,2.67
119.92,2.72
121.12,2.75
122.33,2.73
123.55,2.70
124.79,2.59
126.03,2.55
127.29,2.43
128.57,2.32
129.85,2.27
131.15,2.23
132.46,2.18
133.79,2.13
135.12,2.08
136.48,2.06
137.84,2.07
139.22,2.07
140.61,2.06
142.02,2.06
143.44,2.07
144.87,2.09
146.32,2.06
147.78,2.03
149.26,2.02
150.75,2.00
152.26,1.98
153.78,1.92
155.32,1.86
156.88,1.82
158.44,1.77
160.03,1.71
161.63,1.67
163.24,1.62
164.88,1.57
166.53,1.52
168.19,1.48
169.87,1.43
171.57,1.39
173.29,1.34
175.02,1.30
176.77,1.25
178.54,1.21
180.32,1.16
182.13,1.11
183.95,1.09
185.79,1.07
187.65,1.03
189.52,0.99
191.42,0.95
193.33,0.91
195.27,0.89
197.22,0.86
199.19,0.82
201.18,0.78
203.19,0.74
205.23,0.70
207.28,0.68
209.35,0.66
211.44,0.63
213.56,0.61
215.69,0.58
217.85,0.55
220.03,0.52
222.23,0.50
224.45,0.48
226.70,0.46
228.96,0.42
231.25,0.40
233.57,0.38
235.90,0.35
238.26,0.34
240.64,0.33
243.05,0.31
245.48,0.29
247.93,0.29
250.41,0.29
252.92,0.25
255.45,0.23
258.00,0.21
260.58,0.20
263.19,0.18
265.82,0.17
268.48,0.15
271.16,0.15
273.87,0.13
276.61,0.12
279.38,0.12
282.17,0.11
284.99,0.09
287.84,0.09
290.72,0.08
293.63,0.07
296.57,0.06
299.53,0.05
302.53,0.04
305.55,0.04
308.61,0.03
311.69,0.03
314.81,0.01
317.96,0.01
321.14,-0.00
324.35,-0.01
327.59,-0.02
330.87,-0.02
334.18,-0.00
337.52,0.02
340.90,0.04
344.30,0.05
347.75,0.07
351.23,0.10
354.74,0.12
358.28,0.13
361.87,0.14
365.49,0.14
369.14,0.14
372.83,0.14
376.56,0.13
380.33,0.12
384.13,0.12
387.97,0.11
391.85,0.11
395.77,0.11
399.73,0.10
403.72,0.10
407.76,0.09
411.84,0.10
415.96,0.09
420.12,0.08
424.32,0.07
428.56,0.07
432.85,0.07
437.18,0.07
441.55,0.07
445.96,0.06
450.42,0.05
454.93,0.08
459.48,0.08
464.07,0.09
468.71,0.10
473.40,0.10
478.13,0.10
482.91,0.10
487.74,0.10
492.62,0.10
497.55,0.10
502.52,0.09
507.55,0.09
512.62,0.08
517.75,0.08
522.93,0.07
528.16,0.07
533.44,0.06
538.77,0.05
544.16,0.04
549.60,0.04
555.10,0.03
560.65,0.01
566.25,0.01
571.92,-0.00
577.64,-0.02
583.41,-0.03
589.25,-0.04
595.14,-0.04
601.09,-0.05
607.10,-0.07
613.17,-0.08
619.30,-0.09
625.50,-0.11
631.75,-0.12
638.07,-0.13
644.45,-0.14
650.89,-0.15
657.40,-0.16
663.98,-0.16
670.62,-0.17
677.32,-0.19
684.10,-0.20
690.94,-0.21
697.85,-0.22
704.83,-0.23
711.87,-0.25
718.99,-0.27
726.18,-0.27
733.44,-0.27
740.78,-0.29
748.19,-0.33
755.67,-0.32
763.23,-0.30
770.86,-0.31
778.57,-0.32
786.35,-0.33
794.22,-0.34
802.16,-0.34
810.18,-0.34
818.28,-0.34
826.46,-0.35
834.73,-0.34
843.08,-0.35
851.51,-0.35
860.02,-0.34
868.62,-0.33
877.31,-0.33
886.08,-0.32
894.94,-0.30
903.89,-0.28
912.93,-0.26
922.06,-0.24
931.28,-0.22
940.59,-0.20
950.00,-0.13
959.50,-0.14
969.09,-0.11
978.78,-0.07
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.07
1028.71,0.11
1039.00,0.16
1049.39,0.20
1059.88,0.24
1070.48,0.29
1081.19,0.34
1092.00,0.39
1102.92,0.43
1113.95,0.48
1125.09,0.53
1136.34,0.57
1147.70,0.63
1159.18,0.67
1170.77,0.72
1182.48,0.76
1194.30,0.80
1206.25,0.83
1218.31,0.89
1230.49,0.93
1242.80,0.97
1255.22,1.02
1267.78,1.07
1280.45,1.11
1293.26,1.17
1306.19,1.23
1319.25,1.27
1332.45,1.34
1345.77,1.40
1359.23,1.45
1372.82,1.50
1386.55,1.55
1400.41,1.61
1414.42,1.66
1428.56,1.71
1442.85,1.76
1457.28,1.81
1471.85,1.84
1486.57,1.89
1501.43,1.95
1516.45,2.01
1531.61,2.07
1546.93,2.14
1562.40,2.18
1578.02,2.23
1593.80,2.29
1609.74,2.35
1625.84,2.41
1642.10,2.46
1658.52,2.53
1675.10,2.62
1691.85,2.68
1708.77,2.76
1725.86,2.83
1743.12,2.93
1760.55,3.00
1778.15,3.06
1795.94,3.13
1813.90,3.23
1832.03,3.31
1850.36,3.36
1868.86,3.47
1887.55,3.56
1906.42,3.65
1925.49,3.73
1944.74,3.81
1964.19,3.92
1983.83,4.01
2003.67,4.10
2023.71,4.19
2043.94,4.29
2064.38,4.38
2085.03,4.48
2105.88,4.58
2126.94,4.67
2148.20,4.77
2169.69,4.87
2191.38,4.96
2213.30,5.06
2235.43,5.16
2257.78,5.26
2280.36,5.36
2303.17,5.46
2326.20,5.56
2349.46,5.66
2372.95,5.76
2396.68,5.86
2420.65,5.96
2444.86,6.05
2469.31,6.15
2494.00,6.24
2518.94,6.33
2544.13,6.42
2569.57,6.50
2595.27,6.58
2621.22,6.66
2647.43,6.74
2673.90,6.81
2700.64,6.89
2727.65,6.97
2754.93,7.04
2782.48,7.12
2810.30,7.19
2838.40,7.25
2866.79,7.31
2895.46,7.35
2924.41,7.39
2953.65,7.43
2983.19,7.46
3013.02,7.49
3043.15,7.50
3073.58,7.50
3104.32,7.49
3135.36,7.48
3166.72,7.46
3198.38,7.42
3230.37,7.39
3262.67,7.35
3295.30,7.31
3328.25,7.26
3361.53,7.21
3395.15,7.16
3429.10,7.09
3463.39,7.03
3498.03,6.96
3533.01,6.90
3568.34,6.82
3604.02,6.73
3640.06,6.66
3676.46,6.58
3713.22,6.49
3750.36,6.41
3787.86,6.32
3825.74,6.23
3864.00,6.14
3902.64,6.06
3941.66,5.99
3981.08,5.91
4020.89,5.83
4061.10,5.75
4101.71,5.67
4142.73,5.59
4184.15,5.52
4226.00,5.46
4268.26,5.40
4310.94,5.33
4354.05,5.28
4397.59,5.22
4441.56,5.18
4485.98,5.12
4530.84,5.08
4576.15,5.04
4621.91,5.00
4668.13,4.96
4714.81,4.93
4761.96,4.91
4809.58,4.88
4857.67,4.86
4906.25,4.82
4955.31,4.78
5004.87,4.73
5054.91,4.68
5105.46,4.63
5156.52,4.57
5208.08,4.52
5260.16,4.47
5312.77,4.41
5365.89,4.36
5419.55,4.33
5473.75,4.30
5528.49,4.26
5583.77,4.24
5639.61,4.21
5696.00,4.18
5752.96,4.14
5810.49,4.10
5868.60,4.06
5927.28,4.00
5986.56,3.93
6046.42,3.82
6106.89,3.67
6167.96,3.49
6229.64,3.30
6291.93,3.08
6354.85,2.87
6418.40,2.67
6482.58,2.50
6547.41,2.37
6612.88,2.27
6679.01,2.24
6745.80,2.23
6813.26,2.25
6881.39,2.32
6950.21,2.41
7019.71,2.51
7089.91,2.63
7160.81,2.78
7232.41,2.95
7304.74,3.12
7377.79,3.33
7451.56,3.64
7526.08,3.94
7601.34,4.20
7677.35,4.40
7754.13,4.59
7831.67,4.73
7909.98,4.83
7989.08,4.87
8068.98,4.78
8149.67,4.59
8231.16,4.25
8313.47,3.85
8396.61,3.38
8480.57,2.72
8565.38,1.97
8651.03,1.90
8737.54,3.10
8824.92,3.15
8913.17,2.32
9002.30,1.24
9092.32,0.56
9183.25,-0.02
9275.08,-0.51
9367.83,-0.89
9461.51,-1.17
9556.12,-1.39
9651.68,-1.57
9748.20,-1.71
9845.68,-1.71
9944.14,-1.72
10043.58,-1.66
10144.02,-1.53
10245.46,-1.34
10347.91,-1.21
10451.39,-1.17
10555.91,-1.14
10661.46,-1.13
10768.08,-1.15
10875.76,-1.24
10984.52,-1.44
11094.36,-1.69
11205.31,-1.98
11317.36,-2.34
11430.53,-2.72
11544.84,-3.14
11660.29,-3.60
11776.89,-4.04
11894.66,-4.44
12013.60,-4.84
12133.74,-5.23
12255.08,-5.54
12377.63,-5.78
12501.41,-6.04
12626.42,-6.28
12752.68,-6.45
12880.21,-6.55
13009.01,-6.60
13139.10,-6.66
13270.49,-6.64
13403.20,-6.55
13537.23,-6.32
13672.60,-6.01
13809.33,-5.61
13947.42,-5.17
14086.90,-4.65
14227.77,-4.07
14370.04,-3.38
14513.74,-2.56
14658.88,-1.69
14805.47,-0.76
14953.52,0.26
15103.06,1.35
15254.09,2.46
15406.63,3.55
15560.70,4.49
15716.30,5.21
15873.47,5.23
16032.20,4.94
16192.52,4.14
16354.45,2.94
16517.99,1.49
16683.17,-0.13
16850.01,-1.69
17018.51,-3.12
17188.69,-3.96
17360.58,-4.40
17534.18,-4.56
17709.53,-4.54
17886.62,-4.54
18065.49,-4.57
18246.14,-4.63
18428.60,-4.90
18612.89,-5.19
18799.02,-5.51
18987.01,-5.86
19176.88,-6.23
19368.65,-6.78
19562.33,-7.64
19757.96,-8.97
19955.54,-10.29
