frequency,raw
20.00,6.13
20.20,6.15
20.40,6.18
20.61,6.19
20.81,6.19
21.02,6.18
21.23,6.16
21.44,6.12
21.66,6.08
21.87,6.04
22.09,6.01
22.31,5.99
22.54,5.98
22.76,5.98
22.99,5.99
23.22,5.98
23.45,5.98
23.69,5.96
23.92,5.93
24.16,5.90
24.40,5.88
24.65,5.86
24.89,5.86
25.14,5.87
25.39,5.88
25.65,5.88
25.91,5.87
26.16,5.85
26.43,5.81
26.69,5.78
26.96,5.76
27.23,5.76
27.50,5.80
27.77,5.84
28.05,5.87
28.33,5.89
28.62,5.89
28.90,5.87
29.19,5.85
29.48,5.83
29.78,5.83
30.08,5.83
30.38,5.82
30.68,5.79
30.99,5.74
31.30,5.71
31.61,5.71
31.93,5.77
32.24,5.85
32.57,5.93
32.89,5.95
33.22,5.88
33.55,5.75
33.89,5.57
34.23,5.45
34.57,5.39
34.92,5.44
35.27,5.51
35.62,5.57
35.97,5.58
36.33,5.55
36.70,5.52
37.06,5.50
37.43,5.49
37.81,5.47
38.19,5.44
38.57,5.40
38.95,5.38
39.34,5.38
39.74,5.38
40.14,5.38
40.54,5.36
40.94,5.32
41.35,5.27
41.76,5.22
42.18,5.18
42.60,5.14
43.03,5.11
43.46,5.08
43.90,5.05
44.33,5.02
44.78,4.99
45.23,4.96
45.68,4.93
46.13,4.90
46.60,4.87
47.06,4.84
47.53,4.81
48.01,4.77
48.49,4.71
48.97,4.67
49.46,4.65
49.96,4.67
50.46,4.66
50.96,4.63
51.47,4.57
51.99,4.51
52.51,4.47
53.03,4.44
53.56,4.39
54.10,4.34
54.64,4.30
55.18,4.27
55.74,4.24
56.29,4.20
56.86,4.16
57.42,4.13
58.00,4.09
58.58,4.05
59.16,4.01
59.76,3.97
60.35,3.93
60.96,3.88
61.57,3.84
62.18,3.80
62.80,3.77
63.43,3.73
64.07,3.68
64.71,3.65
65.35,3.61
66.01,3.59
66.67,3.52
67.33,3.45
68.01,3.39
68.69,3.37
69.37,3.33
70.07,3.29
70.77,3.24
71.48,3.19
72.19,3.15
72.91,3.12
73.64,3.06
74.38,3.01
75.12,2.96
75.87,2.91
76.63,2.86
77.40,2.80
78.17,2.76
78.95,2.72
79.74,2.65
80.54,2.61
81.35,2.57
82.16,2.50
82.98,2.45
83.81,2.41
84.65,2.35
85.50,2.29
86.35,2.22
87.22,2.17
88.09,2.14
88.97,2.10
89.86,2.04
90.76,1.97
91.66,1.90
92.58,1.86
93.51,1.82
94.44,1.77
95.39,1.70
96.34,1.63
97.30,1.57
98.28,1.50
99.26,1.44
100.25,1.39
101.25,1.34
102.27,1.30
103.29,1.25
104.32,1.17
105.37,1.09
