frequency,raw
20.00,18.21
20.20,17.85
20.40,17.38
20.61,16.82
20.81,16.26
21.02,15.77
21.23,15.33
21.44,14.87
21.66,14.29
21.87,13.65
22.09,12.90
22.31,12.15
22.54,11.64
22.76,11.39
22.99,11.43
23.22,11.62
23.45,11.82
23.69,11.98
23.92,12.08
24.16,12.10
24.40,12.06
24.65,11.99
24.89,11.96
25.14,12.00
25.39,12.07
25.65,12.19
25.91,12.30
26.16,12.40
26.43,12.45
26.69,12.45
26.96,12.43
27.23,12.39
27.50,12.36
27.77,12.33
28.05,12.30
28.33,12.26
28.62,12.20
28.90,12.12
29.19,12.01
29.48,11.90
29.78,11.78
30.08,11.67
30.38,11.56
30.68,11.46
30.99,11.37
31.30,11.28
31.61,11.21
31.93,11.16
32.24,11.13
32.57,11.10
32.89,11.08
33.22,11.07
33.55,11.07
33.89,11.06
34.23,11.06
34.57,11.06
34.92,11.05
35.27,11.03
35.62,11.00
35.97,10.96
36.33,10.91
36.70,10.85
37.06,10.78
37.43,10.71
37.81,10.63
38.19,10.56
38.57,10.48
38.95,10.40
39.34,10.32
39.74,10.25
40.14,10.19
40.54,10.14
40.94,10.10
41.35,10.06
41.76,10.03
42.18,10.00
42.60,9.97
43.03,9.94
43.46,9.91
43.90,9.87
44.33,9.83
44.78,9.78
45.23,9.73
45.68,9.67
46.13,9.60
46.60,9.54
47.06,9.47
47.53,9.40
48.01,9.33
48.49,9.26
48.97,9.20
49.46,9.16
49.96,9.13
50.46,9.12
50.96,9.11
51.47,9.09
51.99,9.07
52.51,9.04
53.03,9.00
53.56,8.95
54.10,8.90
54.64,8.85
55.18,8.80
55.74,8.76
56.29,8.72
56.86,8.68
57.42,8.63
58.00,8.58
58.58,8.53
59.16,8.48
59.76,8.43
60.35,8.38
60.96,8.33
61.57,8.29
62.18,8.25
62.80,8.19
63.43,8.12
64.07,8.04
64.71,7.94
65.35,7.83
66.01,7.71
66.67,7.58
67.33,7.45
68.01,7.31
68.69,7.17
69.37,7.02
70.07,6.86
70.77,6.71
71.48,6.59
72.19,6.49
72.91,6.44
73.64,6.47
74.38,6.57
75.12,6.73
75.87,6.93
76.63,7.13
77.40,7.31
78.17,7.45
78.95,7.57
79.74,7.65
80.54,7.73
81.35,7.78
82.16,7.82
82.98,7.85
83.81,7.87
84.65,7.87
85.50,7.86
86.35,7.84
87.22,7.82
88.09,7.78
