frequency,raw
20.00,5.07
20.20,5.11
20.40,5.16
20.61,5.19
20.81,5.23
21.02,5.25
21.23,5.27
21.44,5.29
21.66,5.29
21.87,5.29
22.09,5.30
22.31,5.30
22.54,5.31
22.76,5.32
22.99,5.33
23.22,5.35
23.45,5.37
23.69,5.39
23.92,5.41
24.16,5.43
24.40,5.44
24.65,5.45
24.89,5.47
25.14,5.48
25.39,5.49
25.65,5.50
25.91,5.51
26.16,5.52
26.43,5.52
26.69,5.53
26.96,5.54
27.23,5.55
27.50,5.56
27.77,5.57
28.05,5.58
28.33,5.58
28.62,5.59
28.90,5.59
29.19,5.60
29.48,5.61
29.78,5.62
30.08,5.63
30.38,5.63
30.68,5.63
30.99,5.63
31.30,5.63
31.61,5.63
31.93,5.63
32.24,5.64
32.57,5.64
32.89,5.64
33.22,5.63
33.55,5.63
33.89,5.62
34.23,5.62
34.57,5.62
34.92,5.61
35.27,5.60
35.62,5.59
35.97,5.58
36.33,5.57
36.70,5.57
37.06,5.56
37.43,5.55
37.81,5.54
38.19,5.52
38.57,5.51
38.95,5.49
39.34,5.48
39.74,5.47
40.14,5.45
40.54,5.43
40.94,5.40
41.35,5.38
41.76,5.37
42.18,5.36
42.60,5.35
43.03,5.34
43.46,5.33
43.90,5.32
44.33,5.30
44.78,5.29
45.23,5.27
45.68,5.24
46.13,5.22
46.60,5.19
47.06,5.17
47.53,5.15
48.01,5.12
48.49,5.08
48.97,5.05
49.46,5.01
49.96,4.99
50.46,4.97
50.96,4.94
51.47,4.90
51.99,4.86
52.51,4.83
53.03,4.80
53.56,4.77
54.10,4.74
54.64,4.71
55.18,4.69
55.74,4.66
56.29,4.63
56.86,4.60
57.42,4.57
58.00,4.54
58.58,4.49
59.16,4.45
59.76,4.42
60.35,4.39
60.96,4.36
61.57,4.31
62.18,4.26
62.80,4.23
63.43,4.19
64.07,4.16
64.71,4.11
65.35,4.06
66.01,4.02
66.67,3.98
67.33,3.93
68.01,3.88
68.69,3.83
69.37,3.77
70.07,3.72
70.77,3.68
71.48,3.64
72.19,3.60
72.91,3.55
73.64,3.50
74.38,3.44
75.12,3.39
75.87,3.35
76.63,3.29
77.40,3.24
78.17,3.18
78.95,3.11
79.74,3.04
80.54,2.98
81.35,2.92
82.16,2.85
82.98,2.78
83.81,2.72
84.65,2.63
85.50,2.55
86.35,2.47
87.22,2.38
88.09,2.28
88.97,2.17
89.86,2.06
90.76,1.96
91.66,1.88
92.58,1.83
93.51,1.82
94.44,1.85
95.39,1.88
96.34,1.92
97.30,1.95
98.28,1.97
99.26,1.98
100.25,1.98
101.25,1.92
102.27,1.88
103.29,1.85
104.32,1.82
105.37,1.78
106.42,1.73
107.48,1.69
108.56,1.64
109.64,1.59
110.74,1.56
111.85,1.50
112.97,1.44
114.10,1.40
115.24,1.37
116.39,1.30
117.55,1.25
118.73,1.20
119.92,1.14
121.12,1.08
122.33,1.03
123.55,1.00
124.79,0.96
126.03,0.91
127.29,0.86
128.57,0.81
129.85,0.77
131.15,0.73
132.46,0.68
133.79,0.63
135.12,0.58
136.48,0.54
137.84,0.49
139.22,0.45
140.61,0.41
142.02,0.37
143.44,0.33
144.87,0.28
146.32,0.23
147.78,0.18
149.26,0.14
150.75,0.10
152.26,0.08
153.78,0.04
155.32,-0.00
156.88,-0.04
158.44,-0.08
160.03,-0.12
161.63,-0.15
163.24,-0.17
164.88,-0.21
166.53,-0.24
168.19,-0.27
169.87,-0.30
171.57,-0.31
173.29,-0.33
175.02,-0.35
176.77,-0.37
178.54,-0.39
180.32,-0.41
182.13,-0.42
183.95,-0.45
185.79,-0.47
187.65,-0.49
189.52,-0.51
191.42,-0.53
193.33,-0.55
195.27,-0.57
197.22,-0.60
