frequency,raw
20.00,3.42
20.20,3.56
20.40,3.70
20.61,3.84
20.81,3.97
21.02,4.10
21.23,4.23
21.44,4.35
21.66,4.47
21.87,4.59
22.09,4.71
22.31,4.83
22.54,4.94
22.76,5.06
22.99,5.18
23.22,5.30
23.45,5.42
23.69,5.54
23.92,5.66
24.16,5.78
24.40,5.89
24.65,6.00
24.89,6.10
25.14,6.20
25.39,6.31
25.65,6.41
25.91,6.51
26.16,6.61
26.43,6.70
26.69,6.80
26.96,6.89
27.23,6.98
27.50,7.07
27.77,7.16
28.05,7.25
28.33,7.33
28.62,7.41
28.90,7.50
29.19,7.58
29.48,7.65
29.78,7.73
30.08,7.80
30.38,7.88
30.68,7.95
30.99,8.01
31.30,8.08
31.61,8.14
31.93,8.20
32.24,8.26
32.57,8.32
32.89,8.38
33.22,8.44
33.55,8.49
33.89,8.54
34.23,8.59
34.57,8.64
34.92,8.69
35.27,8.73
35.62,8.77
35.97,8.81
36.33,8.85
36.70,8.89
37.06,8.93
37.43,8.96
37.81,8.99
38.19,9.03
38.57,9.05
38.95,9.08
39.34,9.11
39.74,9.14
40.14,9.16
40.54,9.18
40.94,9.21
41.35,9.23
41.76,9.25
42.18,9.26
42.60,9.27
43.03,9.29
43.46,9.29
43.90,9.30
44.33,9.31
44.78,9.31
45.23,9.32
45.68,9.32
46.13,9.32
46.60,9.32
47.06,9.32
47.53,9.31
48.01,9.31
48.49,9.30
48.97,9.29
49.46,9.27
49.96,9.25
50.46,9.24
50.96,9.24
51.47,9.24
51.99,9.24
52.51,9.23
53.03,9.22
53.56,9.21
54.10,9.20
54.64,9.19
55.18,9.17
55.74,9.15
56.29,9.13
56.86,9.11
57.42,9.09
58.00,9.06
58.58,9.04
59.16,9.02
59.76,8.99
60.35,8.97
60.96,8.94
61.57,8.91
62.18,8.88
62.80,8.85
63.43,8.82
64.07,8.79
64.71,8.76
65.35,8.73
66.01,8.70
66.67,8.66
67.33,8.63
68.01,8.59
68.69,8.56
69.37,8.52
70.07,8.49
70.77,8.45
71.48,8.41
72.19,8.38
72.91,8.34
73.64,8.30
74.38,8.26
75.12,8.22
75.87,8.18
76.63,8.14
77.40,8.10
78.17,8.05
78.95,8.01
79.74,7.97
80.54,7.92
81.35,7.88
82.16,7.83
82.98,7.79
83.81,7.74
84.65,7.69
85.50,7.64
86.35,7.59
87.22,7.55
88.09,7.50
88.97,7.45
89.86,7.40
90.76,7.35
91.66,7.30
92.58,7.24
93.51,7.19
94.44,7.13
95.39,7.08
96.34,7.02
97.30,6.97
98.28,6.91
99.26,6.85
100.25,6.79
101.25,6.73
102.27,6.67
103.29,6.61
104.32,6.55
105.37,6.48
106.42,6.42
107.48,6.35
108.56,6.28
109.64,6.21
110.74,6.14
111.85,6.07
112.97,6.00
114.10,5.92
115.24,5.85
116.39,5.77
117.55,5.69
118.73,5.61
119.92,5.53
121.12,5.44
122.33,5.36
123.55,5.27
124.79,5.18
126.03,5.09
127.29,5.00
128.57,4.90
129.85,4.81
131.15,4.71
132.46,4.61
133.79,4.51
135.12,4.40
136.48,4.30
137.84,4.19
139.22,4.08
140.61,3.97
142.02,3.85
143.44,3.73
144.87,3.61
146.32,3.49
147.78,3.37
149.26,3.24
150.75,3.11
152.26,2.97
153.78,2.83
155.32,2.68
156.88,2.53
158.44,2.38
160.03,2.23
161.63,2.07
163.24,1.91
164.88,1.75
166.53,1.58
168.19,1.42
169.87,1.27
171.57,1.11
173.29,0.96
175.02,0.82
176.77,0.69
178.54,0.57
180.32,0.45
182.13,0.33
183.95,0.22
185.79,0.09
187.65,-0.03
189.52,-0.15
191.42,-0.28
193.33,-0.40
195.27,-0.52
197.22,-0.65
199.19,-0.76
201.18,-0.88
203.19,-0.99
205.23,-1.09
207.28,-1.19
209.35,-1.28
211.44,-1.37
213.56,-1.45
215.69,-1.53
217.85,-1.61
220.03,-1.67
222.23,-1.73
224.45,-1.78
226.70,-1.82
228.96,-1.84
231.25,-1.86
233.57,-1.86
235.90,-1.85
238.26,-1.83
240.64,-1.81
243.05,-1.79
245.48,-1.76
247.93,-1.73
250.41,-1.69
252.92,-1.64
255.45,-1.59
258.00,-1.54
260.58,-1.48
263.19,-1.42
265.82,-1.37
268.48,-1.31
271.16,-1.24
273.87,-1.18
276.61,-1.12
279.38,-1.05
282.17,-0.98
284.99,-0.91
287.84,-0.84
290.72,-0.77
293.63,-0.70
296.57,-0.62
299.53,-0.55
302.53,-0.48
305.55,-0.40
308.61,-0.33
311.69,-0.26
314.81,-0.19
317.96,-0.11
321.14,-0.04
324.35,0.03
327.59,0.10
330.87,0.17
334.18,0.24
337.52,0.30
340.90,0.37
344.30,0.44
347.75,0.50
351.23,0.57
354.74,0.63
358.28,0.69
361.87,0.75
365.49,0.81
369.14,0.87
372.83,0.92
376.56,0.98
380.33,1.04
384.13,1.09
387.97,1.14
391.85,1.20
395.77,1.25
399.73,1.30
403.72,1.36
407.76,1.41
411.84,1.46
415.96,1.50
420.12,1.55
424.32,1.60
428.56,1.64
432.85,1.69
437.18,1.73
441.55,1.77
445.96,1.81
450.42,1.84
454.93,1.87
459.48,1.89
464.07,1.92
468.71,1.93
473.40,1.95
478.13,1.96
482.91,1.97
487.74,1.98
492.62,1.99
497.55,1.99
502.52,2.00
507.55,2.00
512.62,2.00
517.75,1.99
522.93,1.98
528.16,1.98
533.44,1.96
538.77,1.95
544.16,1.93
549.60,1.91
555.10,1.89
560.65,1.87
566.25,1.84
571.92,1.81
577.64,1.78
583.41,1.75
589.25,1.71
595.14,1.66
601.09,1.62
607.10,1.57
613.17,1.52
619.30,1.47
625.50,1.42
631.75,1.36
638.07,1.31
644.45,1.25
650.89,1.19
657.40,1.12
663.98,1.06
670.62,0.99
677.32,0.92
684.10,0.85
690.94,0.78
697.85,0.71
704.83,0.64
711.87,0.56
718.99,0.49
726.18,0.42
733.44,0.35
740.78,0.27
748.19,0.20
755.67,0.13
763.23,0.06
770.86,-0.01
778.57,-0.07
786.35,-0.14
794.22,-0.19
802.16,-0.25
810.18,-0.30
818.28,-0.35
826.46,-0.39
834.73,-0.43
843.08,-0.46
851.51,-0.49
860.02,-0.51
868.62,-0.52
877.31,-0.53
886.08,-0.53
894.94,-0.53
903.89,-0.52
912.93,-0.50
922.06,-0.47
931.28,-0.43
940.59,-0.39
950.00,-0.35
959.50,-0.29
969.09,-0.23
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.35
1049.39,0.45
1059.88,0.55
1070.48,0.65
1081.19,0.76
1092.00,0.86
1102.92,0.97
1113.95,1.08
1125.09,1.18
1136.34,1.29
1147.70,1.39
1159.18,1.50
1170.77,1.60
1182.48,1.69
1194.30,1.79
1206.25,1.88
1218.31,1.97
1230.49,2.05
1242.80,2.13
1255.22,2.21
1267.78,2.28
1280.45,2.34
1293.26,2.41
1306.19,2.47
1319.25,2.53
1332.45,2.58
1345.77,2.63
1359.23,2.68
1372.82,2.72
1386.55,2.77
1400.41,2.81
1414.42,2.85
1428.56,2.88
1442.85,2.92
1457.28,2.96
1471.85,2.99
1486.57,3.02
1501.43,3.06
1516.45,3.09
1531.61,3.13
1546.93,3.16
1562.40,3.20
1578.02,3.24
1593.80,3.28
1609.74,3.32
1625.84,3.37
1642.10,3.41
1658.52,3.46
1675.10,3.51
1691.85,3.57
1708.77,3.63
1725.86,3.69
1743.12,3.75
1760.55,3.82
1778.15,3.89
1795.94,3.96
1813.90,4.04
1832.03,4.13
1850.36,4.22
1868.86,4.31
1887.55,4.42
1906.42,4.52
1925.49,4.64
1944.74,4.75
1964.19,4.87
1983.83,5.00
2003.67,5.12
2023.71,5.24
2043.94,5.37
2064.38,5.49
2085.03,5.62
2105.88,5.75
2126.94,5.88
2148.20,6.02
2169.69,6.16
2191.38,6.29
2213.30,6.44
2235.43,6.58
2257.78,6.73
2280.36,6.87
2303.17,7.02
2326.20,7.17
2349.46,7.32
2372.95,7.48
2396.68,7.63
2420.65,7.78
2444.86,7.94
2469.31,8.09
2494.00,8.24
2518.94,8.39
2544.13,8.54
2569.57,8.69
2595.27,8.83
2621.22,8.97
2647.43,9.11
2673.90,9.24
2700.64,9.37
2727.65,9.49
2754.93,9.61
2782.48,9.72
2810.30,9.82
2838.40,9.91
2866.79,10.00
2895.46,10.07
2924.41,10.13
2953.65,10.19
2983.19,10.23
3013.02,10.26
3043.15,10.28
3073.58,10.29
3104.32,10.30
3135.36,10.30
3166.72,10.29
3198.38,10.28
3230.37,10.26
3262.67,10.24
3295.30,10.21
3328.25,10.16
3361.53,10.11
3395.15,10.05
3429.10,9.97
3463.39,9.89
3498.03,9.80
3533.01,9.70
3568.34,9.59
3604.02,9.49
3640.06,9.37
3676.46,9.26
3713.22,9.15
3750.36,9.05
3787.86,8.95
3825.74,8.86
3864.00,8.78
3902.64,8.71
3941.66,8.64
3981.08,8.58
4020.89,8.53
4061.10,8.47
4101.71,8.42
4142.73,8.37
4184.15,8.33
4226.00,8.29
4268.26,8.25
4310.94,8.22
4354.05,8.20
4397.59,8.19
4441.56,8.18
4485.98,8.18
4530.84,8.20
4576.15,8.22
4621.91,8.24
4668.13,8.28
4714.81,8.33
4761.96,8.38
4809.58,8.44
4857.67,8.50
4906.25,8.57
4955.31,8.64
5004.87,8.72
5054.91,8.78
5105.46,8.84
5156.52,8.89
5208.08,8.92
5260.16,8.92
5312.77,8.90
5365.89,8.85
5419.55,8.77
5473.75,8.65
5528.49,8.50
5583.77,8.31
5639.61,8.09
5696.00,7.85
5752.96,7.58
5810.49,7.31
5868.60,7.02
5927.28,6.73
5986.56,6.44
6046.42,6.16
6106.89,5.89
6167.96,5.63
6229.64,5.39
6291.93,5.17
6354.85,4.98
6418.40,4.80
6482.58,4.64
6547.41,4.52
6612.88,4.42
6679.01,4.36
6745.80,4.34
6813.26,4.35
6881.39,4.41
6950.21,4.52
7019.71,4.67
7089.91,4.88
7160.81,5.17
7232.41,5.50
7304.74,5.89
7377.79,6.35
7451.56,6.84
7526.08,7.34
7601.34,7.83
7677.35,8.22
7754.13,8.57
7831.67,8.68
7909.98,8.66
7989.08,8.43
8068.98,7.93
8149.67,7.27
8231.16,6.44
8313.47,5.45
8396.61,4.39
8480.57,3.24
8565.38,2.08
8651.03,0.92
8737.54,-0.23
8824.92,-1.33
8913.17,-2.36
9002.30,-3.37
9092.32,-4.30
9183.25,-5.17
9275.08,-6.01
9367.83,-6.79
9461.51,-7.53
9556.12,-8.23
9651.68,-8.89
9748.20,-9.52
9845.68,-10.10
9944.14,-10.66
10043.58,-11.20
10144.02,-11.71
10245.46,-12.19
10347.91,-12.67
10451.39,-13.13
10555.91,-13.57
10661.46,-14.01
10768.08,-14.43
10875.76,-14.83
10984.52,-15.20
11094.36,-15.54
11205.31,-15.85
11317.36,-16.12
11430.53,-16.37
11544.84,-16.58
11660.29,-16.76
11776.89,-16.93
11894.66,-17.05
12013.60,-17.16
12133.74,-17.25
12255.08,-17.30
12377.63,-17.33
12501.41,-17.33
12626.42,-17.29
12752.68,-17.21
12880.21,-17.07
13009.01,-16.89
13139.10,-16.71
13270.49,-16.42
13403.20,-16.08
13537.23,-15.61
13672.60,-15.05
13809.33,-14.38
13947.42,-13.49
14086.90,-12.37
14227.77,-11.13
14370.04,-9.78
14513.74,-8.35
14658.88,-7.04
14805.47,-5.94
14953.52,-5.20
15103.06,-5.07
15254.09,-5.23
15406.63,-6.22
15560.70,-7.42
15716.30,-8.94
15873.47,-10.60
16032.20,-12.29
16192.52,-13.92
16354.45,-15.41
16517.99,-16.82
16683.17,-18.03
16850.01,-19.13
17018.51,-20.15
17188.69,-21.04
17360.58,-21.88
