frequency,raw
20.00,7.39
20.20,7.64
20.40,7.88
20.61,8.09
20.81,8.27
21.02,8.43
21.23,8.57
21.44,8.67
21.66,8.74
21.87,8.80
22.09,8.82
22.31,8.82
22.54,8.81
22.76,8.79
22.99,8.77
23.22,8.73
23.45,8.70
23.69,8.67
23.92,8.63
24.16,8.59
24.40,8.54
24.65,8.49
24.89,8.45
25.14,8.41
25.39,8.37
25.65,8.35
25.91,8.32
26.16,8.30
26.43,8.27
26.69,8.23
26.96,8.18
27.23,8.13
27.50,8.09
27.77,8.06
28.05,8.03
28.33,8.00
28.62,7.96
28.90,7.90
29.19,7.81
29.48,7.71
29.78,7.62
30.08,7.54
30.38,7.50
30.68,7.51
30.99,7.54
31.30,7.58
31.61,7.61
31.93,7.61
32.24,7.59
32.57,7.54
32.89,7.48
33.22,7.43
33.55,7.40
33.89,7.39
34.23,7.40
34.57,7.42
34.92,7.44
35.27,7.46
35.62,7.46
35.97,7.45
36.33,7.41
36.70,7.38
37.06,7.35
37.43,7.34
37.81,7.34
38.19,7.34
38.57,7.34
38.95,7.34
39.34,7.33
39.74,7.32
40.14,7.31
40.54,7.28
40.94,7.26
41.35,7.23
41.76,7.20
42.18,7.18
42.60,7.17
43.03,7.17
43.46,7.18
43.90,7.19
44.33,7.21
44.78,7.22
45.23,7.23
45.68,7.24
46.13,7.25
46.60,7.26
47.06,7.26
47.53,7.25
48.01,7.24
48.49,7.22
48.97,7.19
49.46,7.14
49.96,7.09
50.46,7.05
50.96,7.01
51.47,6.98
51.99,6.95
52.51,6.93
53.03,6.90
53.56,6.88
54.10,6.86
54.64,6.84
55.18,6.82
55.74,6.81
56.29,6.80
56.86,6.78
57.42,6.75
58.00,6.73
58.58,6.70
59.16,6.67
59.76,6.64
60.35,6.60
60.96,6.56
61.57,6.51
62.18,6.45
62.80,6.39
63.43,6.32
64.07,6.25
64.71,6.17
65.35,6.10
66.01,6.04
66.67,5.98
67.33,5.94
68.01,5.89
68.69,5.85
69.37,5.81
70.07,5.76
70.77,5.71
71.48,5.66
72.19,5.60
72.91,5.53
73.64,5.46
74.38,5.38
75.12,5.30
75.87,5.23
76.63,5.15
77.40,5.08
78.17,5.01
78.95,4.94
79.74,4.87
80.54,4.79
81.35,4.72
82.16,4.64
82.98,4.55
83.81,4.46
84.65,4.37
85.50,4.28
86.35,4.19
87.22,4.11
88.09,4.03
88.97,3.95
89.86,3.87
90.76,3.79
91.66,3.70
92.58,3.62
93.51,3.53
94.44,3.43
95.39,3.34
96.34,3.25
97.30,3.17
98.28,3.10
99.26,3.03
100.25,2.96
101.25,2.88
102.27,2.79
103.29,2.70
104.32,2.60
105.37,2.51
106.42,2.42
107.48,2.34
108.56,2.26
109.64,2.18
110.74,2.11
111.85,2.03
