frequency,raw
20.00,6.55
20.20,6.59
20.40,6.63
20.61,6.66
20.81,6.68
21.02,6.69
21.23,6.70
21.44,6.72
21.66,6.74
21.87,6.76
22.09,6.79
22.31,6.81
22.54,6.82
22.76,6.80
22.99,6.76
23.22,6.67
23.45,6.57
23.69,6.48
23.92,6.41
24.16,6.41
24.40,6.47
24.65,6.59
24.89,6.74
25.14,6.87
25.39,6.98
25.65,7.01
25.91,7.00
26.16,6.95
26.43,6.88
26.69,6.82
26.96,6.78
27.23,6.78
27.50,6.81
27.77,6.84
28.05,6.85
28.33,6.84
28.62,6.82
28.90,6.79
29.19,6.79
29.48,6.79
29.78,6.81
30.08,6.83
30.38,6.84
30.68,6.83
30.99,6.80
31.30,6.78
31.61,6.78
31.93,6.79
32.24,6.81
32.57,6.83
32.89,6.83
33.22,6.82
33.55,6.80
33.89,6.78
34.23,6.76
34.57,6.76
34.92,6.76
35.27,6.76
35.62,6.76
35.97,6.75
36.33,6.74
36.70,6.73
37.06,6.71
37.43,6.71
37.81,6.70
38.19,6.69
38.57,6.68
38.95,6.67
39.34,6.66
39.74,6.66
40.14,6.67
40.54,6.67
40.94,6.66
41.35,6.64
41.76,6.62
42.18,6.61
42.60,6.61
43.03,6.60
43.46,6.59
43.90,6.58
44.33,6.56
44.78,6.54
45.23,6.51
45.68,6.50
46.13,6.48
46.60,6.47
47.06,6.46
47.53,6.45
48.01,6.42
48.49,6.39
48.97,6.37
49.46,6.36
49.96,6.36
50.46,6.35
50.96,6.34
51.47,6.33
51.99,6.31
52.51,6.28
53.03,6.26
53.56,6.25
54.10,6.23
54.64,6.21
55.18,6.19
55.74,6.17
56.29,6.15
56.86,6.14
57.42,6.12
58.00,6.10
58.58,6.08
59.16,6.07
59.76,6.04
60.35,6.02
60.96,6.00
61.57,5.98
62.18,5.95
62.80,5.90
63.43,5.88
64.07,5.87
64.71,5.85
65.35,5.83
66.01,5.80
66.67,5.77
67.33,5.73
68.01,5.69
68.69,5.68
69.37,5.66
70.07,5.64
70.77,5.61
71.48,5.58
72.19,5.56
72.91,5.52
73.64,5.48
74.38,5.45
75.12,5.42
75.87,5.39
76.63,5.37
77.40,5.36
78.17,5.32
78.95,5.28
79.74,5.26
80.54,5.22
81.35,5.18
82.16,5.15
82.98,5.12
83.81,5.07
84.65,5.05
85.50,5.02
86.35,4.98
87.22,4.95
88.09,4.91
88.97,4.88
89.86,4.84
90.76,4.81
91.66,4.77
92.58,4.74
93.51,4.71
94.44,4.67
95.39,4.63
96.34,4.58
97.30,4.55
98.28,4.52
99.26,4.48
100.25,4.43
