frequency,raw
20.00,6.07
20.20,6.14
20.40,6.20
20.61,6.24
20.81,6.25
21.02,6.26
21.23,6.25
21.44,6.24
21.66,6.23
21.87,6.22
22.09,6.22
22.31,6.24
22.54,6.26
22.76,6.28
22.99,6.32
23.22,6.36
23.45,6.40
23.69,6.45
23.92,6.50
24.16,6.55
24.40,6.60
24.65,6.65
24.89,6.68
25.14,6.70
25.39,6.72
25.65,6.72
25.91,6.73
26.16,6.74
26.43,6.77
26.69,6.80
26.96,6.83
27.23,6.87
27.50,6.91
27.77,6.94
28.05,6.97
28.33,6.99
28.62,7.01
28.90,7.02
29.19,7.04
29.48,7.06
29.78,7.08
30.08,7.11
30.38,7.14
30.68,7.16
30.99,7.18
31.30,7.20
31.61,7.22
31.93,7.24
32.24,7.27
32.57,7.31
32.89,7.35
33.22,7.39
33.55,7.41
33.89,7.41
34.23,7.40
34.57,7.39
34.92,7.39
35.27,7.41
35.62,7.44
35.97,7.48
36.33,7.51
36.70,7.53
37.06,7.53
37.43,7.54
37.81,7.56
38.19,7.58
38.57,7.60
38.95,7.61
39.34,7.62
39.74,7.61
40.14,7.60
40.54,7.60
40.94,7.61
41.35,7.63
41.76,7.65
42.18,7.65
42.60,7.64
43.03,7.64
43.46,7.64
43.90,7.65
44.33,7.65
44.78,7.65
45.23,7.64
45.68,7.65
46.13,7.66
46.60,7.67
47.06,7.67
47.53,7.67
48.01,7.68
48.49,7.67
48.97,7.65
49.46,7.62
49.96,7.60
50.46,7.62
50.96,7.63
51.47,7.65
51.99,7.65
52.51,7.64
53.03,7.63
53.56,7.65
54.10,7.66
54.64,7.66
55.18,7.65
55.74,7.65
56.29,7.66
56.86,7.66
57.42,7.65
58.00,7.64
58.58,7.63
59.16,7.61
59.76,7.59
60.35,7.58
60.96,7.58
61.57,7.57
62.18,7.55
62.80,7.54
63.43,7.55
64.07,7.57
64.71,7.53
65.35,7.49
66.01,7.46
66.67,7.48
67.33,7.48
68.01,7.47
68.69,7.44
69.37,7.42
70.07,7.41
70.77,7.38
71.48,7.37
72.19,7.35
72.91,7.32
73.64,7.28
74.38,7.27
75.12,7.27
75.87,7.25
76.63,7.23
77.40,7.20
78.17,7.17
78.95,7.14
79.74,7.13
80.54,7.11
81.35,7.08
82.16,7.05
82.98,7.02
83.81,7.00
