frequency,raw
20.00,3.45
20.20,3.58
20.40,3.70
20.61,3.81
20.81,3.89
21.02,3.95
21.23,3.98
21.44,3.97
21.66,3.93
21.87,3.89
22.09,3.87
22.31,3.87
22.54,3.93
22.76,4.03
22.99,4.18
23.22,4.36
23.45,4.53
23.69,4.69
23.92,4.83
24.16,4.93
24.40,4.99
24.65,5.03
24.89,5.05
25.14,5.07
25.39,5.09
25.65,5.12
25.91,5.14
26.16,5.17
26.43,5.19
26.69,5.20
26.96,5.21
27.23,5.21
27.50,5.20
27.77,5.19
28.05,5.17
28.33,5.16
28.62,5.15
28.90,5.13
29.19,5.11
29.48,5.09
29.78,5.07
30.08,5.04
30.38,5.02
30.68,5.00
30.99,4.98
31.30,4.96
31.61,4.93
31.93,4.90
32.24,4.87
32.57,4.84
32.89,4.81
33.22,4.78
33.55,4.76
33.89,4.74
34.23,4.72
34.57,4.71
34.92,4.70
35.27,4.68
35.62,4.67
35.97,4.66
36.33,4.65
36.70,4.64
37.06,4.63
37.43,4.62
37.81,4.60
38.19,4.58
38.57,4.56
38.95,4.54
39.34,4.52
39.74,4.50
40.14,4.48
40.54,4.45
40.94,4.43
41.35,4.41
41.76,4.39
42.18,4.37
42.60,4.35
43.03,4.33
43.46,4.31
43.90,4.29
44.33,4.27
44.78,4.26
45.23,4.24
45.68,4.22
46.13,4.20
46.60,4.18
47.06,4.16
47.53,4.15
48.01,4.13
48.49,4.10
48.97,4.08
49.46,4.06
49.96,4.04
50.46,4.01
50.96,3.98
51.47,3.95
51.99,3.93
52.51,3.92
53.03,3.92
53.56,3.92
54.10,3.92
54.64,3.92
55.18,3.94
55.74,3.94
56.29,3.94
56.86,3.92
57.42,3.91
58.00,3.89
58.58,3.88
59.16,3.86
59.76,3.83
60.35,3.81
60.96,3.78
61.57,3.76
62.18,3.74
62.80,3.72
63.43,3.69
64.07,3.66
64.71,3.64
65.35,3.62
66.01,3.60
66.67,3.57
67.33,3.55
68.01,3.52
68.69,3.49
69.37,3.47
70.07,3.44
70.77,3.42
71.48,3.39
72.19,3.36
72.91,3.33
73.64,3.30
74.38,3.27
75.12,3.24
75.87,3.21
76.63,3.18
77.40,3.15
78.17,3.12
78.95,3.09
79.74,3.05
80.54,3.02
81.35,2.98
82.16,2.94
82.98,2.91
83.81,2.87
84.65,2.83
85.50,2.79
86.35,2.75
87.22,2.71
88.09,2.67
88.97,2.63
89.86,2.59
90.76,2.56
91.66,2.53
92.58,2.50
93.51,2.47
94.44,2.44
95.39,2.40
96.34,2.37
97.30,2.34
98.28,2.30
99.26,2.26
100.25,2.22
101.25,2.18
102.27,2.14
103.29,2.10
104.32,2.05
105.37,2.01
106.42,1.96
107.48,1.92
108.56,1.88
109.64,1.84
110.74,1.79
111.85,1.75
112.97,1.70
114.10,1.65
115.24,1.60
116.39,1.56
117.55,1.51
118.73,1.46
119.92,1.42
121.12,1.37
122.33,1.32
123.55,1.27
124.79,1.22
126.03,1.18
127.29,1.13
128.57,1.08
129.85,1.03
131.15,0.98
132.46,0.93
133.79,0.87
135.12,0.82
136.48,0.77
137.84,0.72
139.22,0.67
140.61,0.62
142.02,0.57
143.44,0.52
