frequency,raw
20.00,5.33
20.20,5.37
20.40,5.42
20.61,5.47
20.81,5.52
21.02,5.56
21.23,5.59
21.44,5.62
21.66,5.64
21.87,5.66
22.09,5.70
22.31,5.74
22.54,5.80
22.76,5.86
22.99,5.93
23.22,6.00
23.45,6.06
23.69,6.12
23.92,6.17
24.16,6.22
24.40,6.26
24.65,6.30
24.89,6.35
25.14,6.39
25.39,6.44
25.65,6.49
25.91,6.54
26.16,6.59
26.43,6.63
26.69,6.68
26.96,6.72
27.23,6.76
27.50,6.81
27.77,6.85
28.05,6.89
28.33,6.92
28.62,6.95
28.90,6.96
29.19,6.99
29.48,7.01
29.78,7.05
30.08,7.10
30.38,7.16
30.68,7.23
30.99,7.29
31.30,7.34
31.61,7.38
31.93,7.40
32.24,7.42
32.57,7.44
32.89,7.46
33.22,7.48
33.55,7.52
33.89,7.56
34.23,7.59
34.57,7.62
34.92,7.64
35.27,7.64
35.62,7.64
35.97,7.63
36.33,7.63
36.70,7.62
37.06,7.61
37.43,7.60
37.81,7.57
38.19,7.55
38.57,7.53
38.95,7.51
39.34,7.49
39.74,7.48
40.14,7.49
40.54,7.49
40.94,7.50
41.35,7.51
41.76,7.52
42.18,7.52
42.60,7.52
43.03,7.52
43.46,7.51
43.90,7.50
44.33,7.48
44.78,7.47
45.23,7.45
45.68,7.42
46.13,7.40
46.60,7.37
47.06,7.35
47.53,7.32
48.01,7.28
48.49,7.23
48.97,7.19
49.46,7.15
49.96,7.12
50.46,7.10
50.96,7.09
51.47,7.08
51.99,7.07
52.51,7.06
53.03,7.04
53.56,7.02
54.10,6.98
54.64,6.94
55.18,6.90
55.74,6.85
56.29,6.80
56.86,6.74
57.42,6.67
58.00,6.60
58.58,6.55
59.16,6.50
59.76,6.47
60.35,6.44
60.96,6.40
61.57,6.36
62.18,6.32
62.80,6.28
63.43,6.23
64.07,6.19
64.71,6.14
65.35,6.09
66.01,6.04
66.67,5.99
67.33,5.93
68.01,5.87
68.69,5.82
69.37,5.76
70.07,5.70
70.77,5.63
71.48,5.56
72.19,5.49
72.91,5.41
73.64,5.34
74.38,5.29
75.12,5.24
75.87,5.17
76.63,5.10
77.40,5.03
78.17,4.93
78.95,4.84
79.74,4.73
80.54,4.64
81.35,4.57
82.16,4.51
82.98,4.45
83.81,4.40
84.65,4.36
85.50,4.30
86.35,4.23
87.22,4.13
88.09,4.04
88.97,3.97
89.86,3.90
90.76,3.81
91.66,3.72
92.58,3.64
93.51,3.59
94.44,3.54
95.39,3.48
96.34,3.39
97.30,3.29
98.28,3.22
99.26,3.17
100.25,3.14
101.25,3.12
102.27,3.10
103.29,3.10
104.32,3.13
105.37,3.19
106.42,3.25
107.48,3.31
108.56,3.34
109.64,3.35
110.74,3.34
111.85,3.30
112.97,3.26
114.10,3.21
115.24,3.15
116.39,3.09
117.55,3.02
118.73,2.93
119.92,2.83
121.12,2.72
122.33,2.63
123.55,2.55
124.79,2.47
126.03,2.42
127.29,2.38
128.57,2.34
129.85,2.30
131.15,2.26
132.46,2.22
133.79,2.16
135.12,2.10
136.48,2.04
137.84,1.97
139.22,1.89
140.61,1.80
142.02,1.71
143.44,1.63
144.87,1.55
146.32,1.51
147.78,1.47
149.26,1.43
150.75,1.38
152.26,1.33
153.78,1.28
155.32,1.22
156.88,1.17
158.44,1.12
160.03,1.08
161.63,1.04
163.24,1.00
164.88,0.96
166.53,0.92
168.19,0.88
169.87,0.83
171.57,0.79
173.29,0.74
175.02,0.70
176.77,0.66
178.54,0.62
180.32,0.58
182.13,0.54
183.95,0.51
185.79,0.47
187.65,0.44
189.52,0.41
191.42,0.37
193.33,0.33
195.27,0.29
197.22,0.25
199.19,0.20
201.18,0.16
203.19,0.11
205.23,0.07
207.28,0.02
209.35,-0.02
211.44,-0.06
213.56,-0.10
215.69,-0.13
217.85,-0.17
220.03,-0.20
222.23,-0.23
224.45,-0.25
226.70,-0.27
228.96,-0.29
231.25,-0.30
233.57,-0.30
235.90,-0.30
238.26,-0.29
240.64,-0.28
243.05,-0.27
245.48,-0.28
247.93,-0.29
250.41,-0.30
252.92,-0.31
255.45,-0.33
258.00,-0.35
260.58,-0.36
263.19,-0.38
265.82,-0.39
268.48,-0.40
271.16,-0.41
273.87,-0.43
276.61,-0.44
279.38,-0.45
282.17,-0.47
284.99,-0.48
287.84,-0.49
290.72,-0.50
293.63,-0.51
296.57,-0.53
299.53,-0.55
302.53,-0.56
305.55,-0.58
308.61,-0.60
311.69,-0.61
314.81,-0.63
317.96,-0.63
321.14,-0.64
324.35,-0.64
327.59,-0.65
330.87,-0.66
334.18,-0.67
337.52,-0.69
340.90,-0.71
344.30,-0.72
347.75,-0.72
351.23,-0.71
354.74,-0.71
358.28,-0.70
361.87,-0.70
365.49,-0.70
369.14,-0.71
372.83,-0.72
376.56,-0.73
