frequency,raw
20.00,10.54
20.20,10.55
20.40,10.56
20.61,10.57
20.81,10.58
21.02,10.58
21.23,10.58
21.44,10.58
21.66,10.57
21.87,10.57
22.09,10.56
22.31,10.56
22.54,10.55
22.76,10.54
22.99,10.54
23.22,10.52
23.45,10.51
23.69,10.49
23.92,10.46
24.16,10.44
24.40,10.41
24.65,10.39
24.89,10.37
25.14,10.36
25.39,10.34
25.65,10.34
25.91,10.33
26.16,10.33
26.43,10.34
26.69,10.34
26.96,10.33
27.23,10.33
27.50,10.33
27.77,10.33
28.05,10.34
28.33,10.34
28.62,10.35
28.90,10.35
29.19,10.35
29.48,10.34
29.78,10.34
30.08,10.33
30.38,10.32
30.68,10.31
30.99,10.30
31.30,10.28
31.61,10.27
31.93,10.25
32.24,10.23
32.57,10.21
32.89,10.19
33.22,10.18
33.55,10.16
33.89,10.14
34.23,10.13
34.57,10.12
34.92,10.10
35.27,10.09
35.62,10.07
35.97,10.06
36.33,10.04
36.70,10.03
37.06,10.03
37.43,10.02
37.81,10.00
38.19,9.99
38.57,9.98
38.95,9.96
39.34,9.93
39.74,9.90
40.14,9.88
40.54,9.86
40.94,9.84
41.35,9.82
41.76,9.78
42.18,9.74
42.60,9.71
43.03,9.72
43.46,9.76
43.90,9.79
44.33,9.79
44.78,9.73
45.23,9.67
45.68,9.63
46.13,9.62
46.60,9.62
47.06,9.60
47.53,9.57
48.01,9.55
48.49,9.53
48.97,9.51
49.46,9.48
49.96,9.44
50.46,9.43
50.96,9.42
51.47,9.40
51.99,9.36
52.51,9.32
53.03,9.28
53.56,9.26
54.10,9.22
54.64,9.19
55.18,9.17
55.74,9.16
56.29,9.14
56.86,9.11
57.42,9.11
58.00,9.11
58.58,9.12
59.16,9.11
59.76,9.07
60.35,9.04
60.96,9.00
61.57,8.96
62.18,8.90
62.80,8.87
63.43,8.84
64.07,8.82
64.71,8.76
65.35,8.69
66.01,8.64
66.67,8.63
67.33,8.61
68.01,8.57
68.69,8.53
69.37,8.50
70.07,8.48
70.77,8.46
71.48,8.43
72.19,8.40
72.91,8.37
73.64,8.34
74.38,8.30
75.12,8.26
75.87,8.22
