frequency,raw
20.00,8.24
20.20,8.25
20.40,8.25
20.61,8.25
20.81,8.25
21.02,8.25
21.23,8.25
21.44,8.24
21.66,8.23
21.87,8.21
22.09,8.20
22.31,8.18
22.54,8.15
22.76,8.13
22.99,8.11
23.22,8.08
23.45,8.06
23.69,8.03
23.92,8.01
24.16,7.98
24.40,7.96
24.65,7.93
24.89,7.91
25.14,7.88
25.39,7.86
25.65,7.84
25.91,7.83
26.16,7.81
26.43,7.80
26.69,7.79
26.96,7.79
27.23,7.78
27.50,7.77
27.77,7.77
28.05,7.76
28.33,7.75
28.62,7.75
28.90,7.74
29.19,7.72
29.48,7.71
29.78,7.69
30.08,7.68
30.38,7.66
30.68,7.63
30.99,7.61
31.30,7.59
31.61,7.57
31.93,7.54
32.24,7.51
32.57,7.48
32.89,7.46
33.22,7.43
33.55,7.41
33.89,7.38
34.23,7.36
34.57,7.34
34.92,7.32
35.27,7.30
35.62,7.28
35.97,7.26
36.33,7.24
36.70,7.22
37.06,7.20
37.43,7.18
37.81,7.15
38.19,7.13
38.57,7.11
38.95,7.08
39.34,7.05
39.74,7.02
40.14,7.00
40.54,6.97
40.94,6.95
41.35,6.92
41.76,6.90
42.18,6.87
42.60,6.84
43.03,6.81
43.46,6.78
43.90,6.75
44.33,6.73
44.78,6.71
45.23,6.68
45.68,6.65
46.13,6.62
46.60,6.58
47.06,6.54
47.53,6.51
48.01,6.49
48.49,6.46
48.97,6.42
49.46,6.39
49.96,6.35
50.46,6.33
50.96,6.31
51.47,6.29
51.99,6.25
52.51,6.22
53.03,6.19
53.56,6.16
54.10,6.13
54.64,6.09
55.18,6.06
55.74,6.02
56.29,5.98
56.86,5.94
57.42,5.91
58.00,5.89
58.58,5.85
59.16,5.82
59.76,5.78
60.35,5.75
60.96,5.72
61.57,5.67
62.18,5.61
62.80,5.58
63.43,5.55
64.07,5.52
64.71,5.47
65.35,5.43
66.01,5.40
66.67,5.36
67.33,5.33
68.01,5.29
68.69,5.25
69.37,5.22
70.07,5.19
70.77,5.15
71.48,5.11
72.19,5.07
72.91,5.03
73.64,4.98
74.38,4.94
75.12,4.90
75.87,4.87
76.63,4.82
77.40,4.78
78.17,4.74
78.95,4.69
79.74,4.65
80.54,4.61
81.35,4.57
82.16,4.53
82.98,4.49
83.81,4.44
84.65,4.40
85.50,4.36
86.35,4.32
87.22,4.28
88.09,4.23
88.97,4.19
89.86,4.14
90.76,4.10
91.66,4.05
92.58,4.01
93.51,3.96
94.44,3.91
95.39,3.87
96.34,3.83
97.30,3.77
98.28,3.73
99.26,3.70
100.25,3.67
101.25,3.61
102.27,3.55
103.29,3.50
104.32,3.48
105.37,3.41
106.42,3.36
107.48,3.34
108.56,3.28
109.64,3.24
110.74,3.21
111.85,3.17
112.97,3.13
114.10,3.09
115.24,3.05
116.39,2.98
117.55,2.93
118.73,2.88
119.92,2.84
121.12,2.79
122.33,2.75
123.55,2.72
124.79,2.67
126.03,2.59
127.29,2.55
128.57,2.52
129.85,2.47
131.15,2.42
132.46,2.38
133.79,2.32
135.12,2.29
136.48,2.26
137.84,2.20
139.22,2.15
140.61,2.11
142.02,2.06
143.44,2.02
144.87,1.97
146.32,1.94
147.78,1.90
149.26,1.83
150.75,1.78
152.26,1.76
153.78,1.70
155.32,1.65
156.88,1.60
158.44,1.54
160.03,1.49
161.63,1.48
163.24,1.48
164.88,1.48
166.53,1.39
168.19,1.30
169.87,1.24
171.57,1.19
173.29,1.16
175.02,1.14
176.77,1.12
178.54,1.09
180.32,1.03
182.13,0.98
183.95,0.94
185.79,0.91
187.65,0.89
189.52,0.82
191.42,0.78
193.33,0.74
195.27,0.70
197.22,0.66
199.19,0.65
201.18,0.58
203.19,0.48
205.23,0.49
207.28,0.43
209.35,0.36
211.44,0.42
213.56,0.28
215.69,0.24
217.85,0.24
220.03,0.21
222.23,0.17
224.45,0.12
226.70,0.08
228.96,0.03
231.25,-0.02
233.57,-0.03
235.90,-0.01
238.26,-0.05
240.64,-0.09
243.05,-0.11
245.48,-0.18
247.93,-0.24
250.41,-0.29
252.92,-0.32
255.45,-0.34
258.00,-0.36
260.58,-0.32
263.19,-0.36
265.82,-0.49
268.48,-0.59
271.16,-0.62
273.87,-0.62
276.61,-0.61
279.38,-0.58
282.17,-0.62
284.99,-0.67
287.84,-0.74
290.72,-0.78
293.63,-0.77
296.57,-0.77
299.53,-0.80
302.53,-0.85
305.55,-0.89
308.61,-0.86
311.69,-0.79
314.81,-0.76
317.96,-0.83
321.14,-0.86
324.35,-0.82
327.59,-0.87
330.87,-0.91
334.18,-0.90
337.52,-0.87
340.90,-0.86
344.30,-0.94
347.75,-0.91
351.23,-0.85
354.74,-0.81
358.28,-0.84
361.87,-0.84
365.49,-0.81
369.14,-0.84
372.83,-0.86
376.56,-0.85
380.33,-0.81
384.13,-0.78
387.97,-0.78
391.85,-0.79
395.77,-0.80
399.73,-0.77
403.72,-0.75
407.76,-0.73
411.84,-0.72
415.96,-0.72
420.12,-0.72
424.32,-0.70
428.56,-0.69
432.85,-0.68
437.18,-0.66
441.55,-0.65
445.96,-0.64
450.42,-0.63
454.93,-0.63
459.48,-0.62
464.07,-0.60
468.71,-0.59
473.40,-0.58
478.13,-0.57
482.91,-0.56
487.74,-0.55
492.62,-0.54
497.55,-0.53
502.52,-0.52
507.55,-0.51
512.62,-0.50
517.75,-0.49
522.93,-0.48
528.16,-0.47
533.44,-0.46
538.77,-0.45
544.16,-0.44
549.60,-0.44
555.10,-0.43
560.65,-0.43
566.25,-0.42
571.92,-0.42
577.64,-0.41
583.41,-0.41
589.25,-0.40
595.14,-0.40
601.09,-0.39
607.10,-0.39
613.17,-0.38
619.30,-0.36
625.50,-0.36
631.75,-0.38
638.07,-0.42
644.45,-0.43
650.89,-0.44
657.40,-0.44
663.98,-0.44
670.62,-0.45
677.32,-0.46
684.10,-0.46
690.94,-0.47
697.85,-0.47
704.83,-0.48
711.87,-0.49
718.99,-0.49
726.18,-0.51
733.44,-0.55
740.78,-0.59
748.19,-0.56
755.67,-0.51
763.23,-0.45
770.86,-0.45
778.57,-0.45
786.35,-0.45
794.22,-0.45
802.16,-0.45
810.18,-0.44
818.28,-0.44
826.46,-0.43
834.73,-0.44
843.08,-0.45
851.51,-0.45
860.02,-0.43
868.62,-0.42
877.31,-0.40
886.08,-0.38
894.94,-0.36
903.89,-0.34
912.93,-0.32
922.06,-0.29
931.28,-0.26
940.59,-0.23
950.00,-0.19
959.50,-0.17
969.09,-0.13
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.08
1028.71,0.13
1039.00,0.18
1049.39,0.23
1059.88,0.27
1070.48,0.33
1081.19,0.38
1092.00,0.43
1102.92,0.48
1113.95,0.54
1125.09,0.59
1136.34,0.64
1147.70,0.69
1159.18,0.75
1170.77,0.80
1182.48,0.85
1194.30,0.91
1206.25,0.96
1218.31,1.01
1230.49,1.06
1242.80,1.11
1255.22,1.15
1267.78,1.20
1280.45,1.25
1293.26,1.29
1306.19,1.34
1319.25,1.39
1332.45,1.44
1345.77,1.48
1359.23,1.53
1372.82,1.57
1386.55,1.62
1400.41,1.67
1414.42,1.73
1428.56,1.78
1442.85,1.83
1457.28,1.89
1471.85,1.94
1486.57,2.00
1501.43,2.06
1516.45,2.11
1531.61,2.18
1546.93,2.25
1562.40,2.32
1578.02,2.39
1593.80,2.46
1609.74,2.54
1625.84,2.62
1642.10,2.70
1658.52,2.79
1675.10,2.88
1691.85,2.97
1708.77,3.07
1725.86,3.17
1743.12,3.28
1760.55,3.39
1778.15,3.50
1795.94,3.62
1813.90,3.74
1832.03,3.87
1850.36,4.00
1868.86,4.14
1887.55,4.28
1906.42,4.43
1925.49,4.59
1944.74,4.74
1964.19,4.90
1983.83,5.07
2003.67,5.24
2023.71,5.41
2043.94,5.58
2064.38,5.76
2085.03,5.94
2105.88,6.13
2126.94,6.31
2148.20,6.50
2169.69,6.68
2191.38,6.86
2213.30,7.03
2235.43,7.20
2257.78,7.36
2280.36,7.52
2303.17,7.67
2326.20,7.81
2349.46,7.93
2372.95,8.04
2396.68,8.14
2420.65,8.22
2444.86,8.29
2469.31,8.35
2494.00,8.39
2518.94,8.42
2544.13,8.44
2569.57,8.45
2595.27,8.44
2621.22,8.43
2647.43,8.42
2673.90,8.39
2700.64,8.35
2727.65,8.31
2754.93,8.26
2782.48,8.21
2810.30,8.15
2838.40,8.08
2866.79,8.02
2895.46,7.94
2924.41,7.89
2953.65,7.84
2983.19,7.80
3013.02,7.77
3043.15,7.75
3073.58,7.74
3104.32,7.73
3135.36,7.71
3166.72,7.69
3198.38,7.66
3230.37,7.60
3262.67,7.55
3295.30,7.48
3328.25,7.42
3361.53,7.34
3395.15,7.27
3429.10,7.20
3463.39,7.14
3498.03,7.08
3533.01,7.04
3568.34,7.00
3604.02,6.98
3640.06,6.98
3676.46,6.99
3713.22,7.02
3750.36,7.07
3787.86,7.15
3825.74,7.23
3864.00,7.33
3902.64,7.47
3941.66,7.61
3981.08,7.77
4020.89,7.95
4061.10,8.14
4101.71,8.33
4142.73,8.52
4184.15,8.70
4226.00,8.83
4268.26,8.92
4310.94,8.97
4354.05,8.89
4397.59,8.70
4441.56,8.46
4485.98,8.06
4530.84,7.58
4576.15,7.02
4621.91,6.41
4668.13,5.76
4714.81,5.09
4761.96,4.41
4809.58,3.73
4857.67,3.07
4906.25,2.42
4955.31,1.80
5004.87,1.19
5054.91,0.62
5105.46,0.07
5156.52,-0.46
5208.08,-0.95
5260.16,-1.41
5312.77,-1.85
5365.89,-2.27
5419.55,-2.66
5473.75,-3.01
5528.49,-3.34
5583.77,-3.64
5639.61,-3.90
5696.00,-4.16
5752.96,-4.34
5810.49,-4.51
5868.60,-4.67
5927.28,-4.81
5986.56,-4.92
6046.42,-4.98
6106.89,-5.02
6167.96,-5.03
6229.64,-5.02
6291.93,-4.97
6354.85,-4.88
6418.40,-4.78
6482.58,-4.64
6547.41,-4.47
6612.88,-4.27
6679.01,-4.03
6745.80,-3.77
6813.26,-3.49
6881.39,-3.16
6950.21,-2.81
7019.71,-2.44
7089.91,-2.06
7160.81,-1.55
7232.41,-1.02
7304.74,-0.51
7377.79,-0.03
7451.56,0.40
7526.08,0.75
7601.34,0.99
7677.35,1.02
7754.13,0.98
7831.67,0.67
7909.98,0.29
7989.08,-0.19
8068.98,-0.72
8149.67,-1.27
8231.16,-1.82
8313.47,-2.33
8396.61,-2.82
8480.57,-3.25
8565.38,-3.60
8651.03,-3.86
8737.54,-4.01
8824.92,-3.97
8913.17,-3.72
9002.30,-3.39
9092.32,-2.94
9183.25,-2.45
9275.08,-1.93
9367.83,-1.37
9461.51,-0.81
9556.12,-0.35
9651.68,0.02
9748.20,0.30
9845.68,0.53
9944.14,0.79
10043.58,1.07
10144.02,1.35
10245.46,1.58
10347.91,1.71
10451.39,1.73
10555.91,1.52
10661.46,1.17
10768.08,0.66
10875.76,-0.00
10984.52,-0.76
11094.36,-1.55
11205.31,-2.36
11317.36,-3.15
11430.53,-3.90
11544.84,-4.55
11660.29,-5.15
11776.89,-5.70
11894.66,-6.11
12013.60,-6.49
12133.74,-6.81
12255.08,-7.03
12377.63,-7.19
12501.41,-7.26
