frequency,raw
20.00,5.94
20.20,5.95
20.40,5.96
20.61,5.98
20.81,5.99
21.02,5.99
21.23,6.00
21.44,6.01
21.66,6.01
21.87,6.02
22.09,6.02
22.31,6.03
22.54,6.03
22.76,6.04
22.99,6.04
23.22,6.05
23.45,6.06
23.69,6.07
23.92,6.07
24.16,6.07
24.40,6.07
24.65,6.07
24.89,6.06
25.14,6.06
25.39,6.06
25.65,6.06
25.91,6.06
26.16,6.07
26.43,6.07
26.69,6.07
26.96,6.07
27.23,6.07
27.50,6.07
27.77,6.06
28.05,6.05
28.33,6.04
28.62,6.04
28.90,6.03
29.19,6.03
29.48,6.03
29.78,6.03
30.08,6.03
30.38,6.03
30.68,6.02
30.99,6.01
31.30,6.00
31.61,5.99
31.93,5.98
32.24,5.97
32.57,5.96
32.89,5.95
33.22,5.95
33.55,5.94
33.89,5.92
34.23,5.91
34.57,5.89
34.92,5.88
35.27,5.87
35.62,5.87
35.97,5.86
36.33,5.85
36.70,5.83
37.06,5.81
37.43,5.80
37.81,5.78
38.19,5.76
38.57,5.75
38.95,5.73
39.34,5.72
39.74,5.71
40.14,5.69
40.54,5.68
40.94,5.66
41.35,5.64
41.76,5.63
42.18,5.61
42.60,5.60
43.03,5.58
43.46,5.56
43.90,5.53
44.33,5.51
44.78,5.48
45.23,5.46
45.68,5.44
46.13,5.43
46.60,5.43
47.06,5.42
47.53,5.40
48.01,5.35
48.49,5.31
48.97,5.29
49.46,5.28
49.96,5.27
50.46,5.24
50.96,5.21
51.47,5.18
51.99,5.16
52.51,5.14
53.03,5.12
53.56,5.10
54.10,5.07
54.64,5.04
55.18,5.01
55.74,4.98
56.29,4.96
56.86,4.94
57.42,4.91
58.00,4.88
58.58,4.85
59.16,4.82
59.76,4.79
60.35,4.76
60.96,4.74
61.57,4.71
62.18,4.69
62.80,4.66
63.43,4.63
64.07,4.60
64.71,4.57
65.35,4.53
66.01,4.50
66.67,4.47
67.33,4.44
68.01,4.40
68.69,4.36
69.37,4.33
70.07,4.30
70.77,4.23
71.48,4.19
72.19,4.18
72.91,4.16
73.64,4.13
74.38,4.11
75.12,4.09
75.87,4.05
76.63,4.01
77.40,3.98
78.17,3.95
78.95,3.92
79.74,3.89
80.54,3.85
81.35,3.81
82.16,3.78
82.98,3.74
83.81,3.69
84.65,3.67
85.50,3.64
86.35,3.60
87.22,3.56
88.09,3.52
88.97,3.49
89.86,3.46
90.76,3.42
91.66,3.39
92.58,3.35
93.51,3.31
94.44,3.27
95.39,3.23
96.34,3.20
97.30,3.16
98.28,3.12
99.26,3.08
100.25,3.03
101.25,3.00
102.27,2.96
103.29,2.93
104.32,2.90
105.37,2.85
106.42,2.81
107.48,2.76
108.56,2.74
109.64,2.71
110.74,2.67
111.85,2.62
112.97,2.58
114.10,2.54
115.24,2.51
116.39,2.47
117.55,2.42
118.73,2.39
119.92,2.35
121.12,2.32
122.33,2.28
123.55,2.25
124.79,2.22
126.03,2.18
127.29,2.14
128.57,2.10
129.85,2.07
131.15,2.04
132.46,2.00
133.79,1.95
135.12,1.90
136.48,1.86
137.84,1.83
139.22,1.81
140.61,1.77
142.02,1.74
143.44,1.70
144.87,1.65
146.32,1.62
147.78,1.59
149.26,1.56
150.75,1.52
152.26,1.48
153.78,1.44
155.32,1.41
156.88,1.36
158.44,1.33
160.03,1.30
161.63,1.26
163.24,1.23
164.88,1.20
166.53,1.17
168.19,1.14
169.87,1.10
171.57,1.06
173.29,1.02
175.02,1.00
176.77,0.97
178.54,0.94
