frequency,raw
20.00,3.86
20.20,3.93
20.40,4.00
20.61,4.06
20.81,4.12
21.02,4.18
21.23,4.24
21.44,4.29
21.66,4.35
21.87,4.40
22.09,4.44
22.31,4.49
22.54,4.54
22.76,4.58
22.99,4.62
23.22,4.66
23.45,4.70
23.69,4.73
23.92,4.76
24.16,4.80
24.40,4.83
24.65,4.86
24.89,4.90
25.14,4.93
25.39,4.96
25.65,4.99
25.91,5.02
26.16,5.06
26.43,5.09
26.69,5.12
26.96,5.16
27.23,5.19
27.50,5.23
27.77,5.26
28.05,5.30
28.33,5.33
28.62,5.36
28.90,5.39
29.19,5.42
29.48,5.45
29.78,5.48
30.08,5.50
30.38,5.52
30.68,5.54
30.99,5.56
31.30,5.58
31.61,5.59
31.93,5.61
32.24,5.62
32.57,5.63
32.89,5.64
33.22,5.65
33.55,5.66
33.89,5.66
34.23,5.67
34.57,5.68
34.92,5.69
35.27,5.70
35.62,5.71
35.97,5.72
36.33,5.73
36.70,5.74
37.06,5.75
37.43,5.75
37.81,5.75
38.19,5.76
38.57,5.76
38.95,5.76
39.34,5.76
39.74,5.75
40.14,5.75
40.54,5.75
40.94,5.74
41.35,5.74
41.76,5.73
42.18,5.72
42.60,5.71
43.03,5.70
43.46,5.70
43.90,5.69
44.33,5.68
44.78,5.67
45.23,5.66
45.68,5.65
46.13,5.63
46.60,5.62
47.06,5.60
47.53,5.59
48.01,5.57
48.49,5.55
48.97,5.54
49.46,5.52
49.96,5.50
50.46,5.48
50.96,5.46
51.47,5.44
51.99,5.41
52.51,5.39
53.03,5.36
53.56,5.34
54.10,5.32
54.64,5.29
55.18,5.27
55.74,5.24
56.29,5.21
56.86,5.18
57.42,5.15
58.00,5.12
58.58,5.09
59.16,5.06
59.76,5.03
60.35,5.00
60.96,4.96
61.57,4.93
62.18,4.89
62.80,4.86
63.43,4.82
64.07,4.78
64.71,4.74
65.35,4.71
66.01,4.67
66.67,4.63
67.33,4.59
68.01,4.55
68.69,4.52
69.37,4.47
70.07,4.43
70.77,4.39
71.48,4.35
72.19,4.31
72.91,4.26
73.64,4.21
74.38,4.17
75.12,4.13
75.87,4.08
76.63,4.03
77.40,3.99
78.17,3.95
78.95,3.90
79.74,3.85
80.54,3.80
81.35,3.76
82.16,3.73
82.98,3.67
83.81,3.61
84.65,3.56
85.50,3.51
86.35,3.46
87.22,3.41
88.09,3.36
88.97,3.31
89.86,3.26
90.76,3.21
91.66,3.16
92.58,3.11
93.51,3.06
94.44,3.01
95.39,2.96
96.34,2.91
97.30,2.86
98.28,2.81
99.26,2.76
100.25,2.71
101.25,2.66
102.27,2.61
103.29,2.57
104.32,2.51
105.37,2.46
106.42,2.41
107.48,2.37
108.56,2.32
109.64,2.27
110.74,2.22
111.85,2.18
112.97,2.13
114.10,2.08
115.24,2.04
116.39,1.99
117.55,1.95
118.73,1.90
119.92,1.87
121.12,1.82
122.33,1.78
123.55,1.73
124.79,1.69
126.03,1.65
127.29,1.61
128.57,1.57
129.85,1.53
131.15,1.49
132.46,1.46
133.79,1.42
135.12,1.39
136.48,1.35
137.84,1.32
139.22,1.28
140.61,1.25
142.02,1.22
143.44,1.18
144.87,1.15
146.32,1.12
147.78,1.10
149.26,1.07
150.75,1.04
152.26,1.01
153.78,0.98
155.32,0.96
156.88,0.93
158.44,0.91
160.03,0.89
161.63,0.86
163.24,0.84
164.88,0.82
166.53,0.80
168.19,0.78
169.87,0.76
171.57,0.74
173.29,0.73
175.02,0.71
176.77,0.69
178.54,0.68
180.32,0.66
182.13,0.65
183.95,0.63
185.79,0.62
187.65,0.61
189.52,0.60
191.42,0.58
193.33,0.57
195.27,0.56
197.22,0.55
199.19,0.54
201.18,0.53
203.19,0.52
205.23,0.51
207.28,0.50
209.35,0.49
211.44,0.48
213.56,0.47
215.69,0.46
217.85,0.46
220.03,0.45
222.23,0.44
224.45,0.44
226.70,0.43
228.96,0.43
231.25,0.42
233.57,0.41
235.90,0.40
238.26,0.40
240.64,0.39
243.05,0.38
245.48,0.37
247.93,0.37
250.41,0.36
252.92,0.35
255.45,0.35
258.00,0.34
260.58,0.34
263.19,0.33
265.82,0.33
268.48,0.33
271.16,0.33
273.87,0.33
276.61,0.34
279.38,0.34
282.17,0.34
284.99,0.34
287.84,0.34
290.72,0.34
293.63,0.34
296.57,0.34
299.53,0.34
302.53,0.34
305.55,0.33
308.61,0.33
311.69,0.33
314.81,0.32
317.96,0.32
321.14,0.31
324.35,0.30
327.59,0.30
330.87,0.29
334.18,0.28
337.52,0.27
340.90,0.26
344.30,0.26
347.75,0.25
351.23,0.24
354.74,0.23
358.28,0.22
361.87,0.21
365.49,0.20
369.14,0.19
372.83,0.18
376.56,0.18
380.33,0.16
384.13,0.15
387.97,0.14
391.85,0.13
395.77,0.11
399.73,0.10
403.72,0.09
407.76,0.08
411.84,0.07
415.96,0.05
420.12,0.04
424.32,0.02
428.56,0.01
432.85,-0.01
437.18,-0.02
441.55,-0.03
445.96,-0.05
450.42,-0.07
454.93,-0.08
459.48,-0.10
464.07,-0.12
468.71,-0.14
473.40,-0.15
478.13,-0.17
482.91,-0.19
487.74,-0.21
492.62,-0.23
497.55,-0.25
502.52,-0.27
507.55,-0.29
512.62,-0.31
517.75,-0.33
522.93,-0.35
528.16,-0.36
533.44,-0.38
538.77,-0.40
544.16,-0.41
549.60,-0.42
555.10,-0.42
560.65,-0.43
566.25,-0.44
571.92,-0.45
577.64,-0.47
583.41,-0.48
589.25,-0.50
595.14,-0.52
601.09,-0.54
607.10,-0.56
613.17,-0.57
619.30,-0.59
625.50,-0.61
631.75,-0.63
638.07,-0.65
644.45,-0.67
650.89,-0.68
657.40,-0.70
663.98,-0.72
670.62,-0.73
677.32,-0.75
684.10,-0.77
690.94,-0.78
697.85,-0.79
704.83,-0.81
711.87,-0.82
718.99,-0.83
726.18,-0.84
733.44,-0.85
740.78,-0.85
748.19,-0.86
755.67,-0.87
763.23,-0.87
770.86,-0.86
778.57,-0.86
786.35,-0.86
794.22,-0.86
802.16,-0.85
810.18,-0.84
818.28,-0.83
826.46,-0.82
834.73,-0.80
843.08,-0.78
851.51,-0.76
860.02,-0.73
868.62,-0.71
877.31,-0.68
886.08,-0.64
894.94,-0.60
903.89,-0.56
912.93,-0.52
922.06,-0.47
931.28,-0.43
940.59,-0.37
950.00,-0.32
959.50,-0.27
969.09,-0.21
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.27
1049.39,0.35
1059.88,0.43
1070.48,0.50
