frequency,raw
20.00,9.59
20.20,9.61
20.40,9.63
20.61,9.65
20.81,9.67
21.02,9.69
21.23,9.71
21.44,9.74
21.66,9.76
21.87,9.79
22.09,9.82
22.31,9.84
22.54,9.87
22.76,9.89
22.99,9.90
23.22,9.92
23.45,9.94
23.69,9.95
23.92,9.97
24.16,10.00
24.40,10.02
24.65,10.05
24.89,10.07
25.14,10.09
25.39,10.11
25.65,10.12
25.91,10.13
26.16,10.14
26.43,10.15
26.69,10.16
26.96,10.17
27.23,10.18
27.50,10.20
27.77,10.22
28.05,10.24
28.33,10.26
28.62,10.28
28.90,10.29
29.19,10.31
29.48,10.32
29.78,10.33
30.08,10.34
30.38,10.34
30.68,10.35
30.99,10.36
31.30,10.37
31.61,10.38
31.93,10.39
32.24,10.40
32.57,10.41
32.89,10.42
33.22,10.43
33.55,10.44
33.89,10.45
34.23,10.45
34.57,10.45
34.92,10.45
35.27,10.45
35.62,10.45
35.97,10.46
36.33,10.46
36.70,10.47
37.06,10.47
37.43,10.48
37.81,10.49
38.19,10.50
38.57,10.50
38.95,10.49
39.34,10.48
39.74,10.48
40.14,10.48
40.54,10.48
40.94,10.46
41.35,10.45
41.76,10.43
42.18,10.44
42.60,10.45
43.03,10.46
43.46,10.47
43.90,10.47
44.33,10.46
44.78,10.46
45.23,10.45
45.68,10.44
46.13,10.44
46.60,10.44
47.06,10.44
47.53,10.43
48.01,10.39
48.49,10.36
48.97,10.36
49.46,10.38
49.96,10.39
50.46,10.37
50.96,10.34
51.47,10.32
51.99,10.31
52.51,10.30
53.03,10.29
53.56,10.28
54.10,10.27
54.64,10.27
55.18,10.25
55.74,10.23
56.29,10.21
56.86,10.19
57.42,10.18
58.00,10.17
58.58,10.16
59.16,10.15
59.76,10.12
60.35,10.09
60.96,10.07
61.57,10.05
62.18,10.03
62.80,10.01
63.43,9.98
64.07,9.95
64.71,9.93
65.35,9.92
66.01,9.91
66.67,9.89
67.33,9.86
68.01,9.84
68.69,9.80
69.37,9.78
70.07,9.76
70.77,9.73
71.48,9.71
72.19,9.68
72.91,9.65
73.64,9.62
74.38,9.59
75.12,9.57
75.87,9.53
76.63,9.49
77.40,9.46
78.17,9.43
78.95,9.41
79.74,9.36
80.54,9.33
81.35,9.30
82.16,9.25
82.98,9.21
83.81,9.16
84.65,9.15
85.50,9.12
86.35,9.08
87.22,9.05
88.09,9.01
88.97,8.98
89.86,8.96
90.76,8.90
91.66,8.84
92.58,8.78
93.51,8.79
94.44,8.73
95.39,8.67
96.34,8.64
97.30,8.64
98.28,8.57
99.26,8.49
100.25,8.44
101.25,8.38
102.27,8.34
103.29,8.30
104.32,8.23
105.37,8.21
106.42,8.18
107.48,8.13
108.56,8.11
109.64,8.03
110.74,7.94
111.85,7.93
112.97,7.85
114.10,7.78
115.24,7.73
116.39,7.69
117.55,7.65
118.73,7.60
119.92,7.56
121.12,7.49
122.33,7.42
123.55,7.39
124.79,7.33
126.03,7.25
127.29,7.21
128.57,7.16
129.85,7.10
131.15,7.05
132.46,6.97
133.79,6.90
135.12,6.85
136.48,6.81
137.84,6.75
139.22,6.66
140.61,6.59
142.02,6.56
143.44,6.51
144.87,6.43
146.32,6.38
147.78,6.32
149.26,6.23
150.75,6.16
152.26,6.13
153.78,6.07
155.32,6.01
156.88,5.95
158.44,5.91
160.03,5.88
161.63,5.81
163.24,5.74
164.88,5.67
166.53,5.62
168.19,5.56
169.87,5.47
171.57,5.45
173.29,5.42
175.02,5.38
176.77,5.31
178.54,5.25
180.32,5.20
182.13,5.13
183.95,5.09
185.79,5.05
187.65,5.00
189.52,4.95
191.42,4.90
193.33,4.86
195.27,4.83
197.22,4.80
199.19,4.77
201.18,4.73
203.19,4.70
205.23,4.62
207.28,4.56
209.35,4.51
211.44,4.51
213.56,4.46
215.69,4.42
217.85,4.37
220.03,4.32
222.23,4.33
224.45,4.32
226.70,4.27
228.96,4.23
231.25,4.20
233.57,4.16
235.90,4.12
238.26,4.08
240.64,4.06
243.05,4.06
245.48,4.04
247.93,4.02
250.41,3.99
252.92,3.99
255.45,3.99
258.00,4.01
260.58,3.95
263.19,3.93
265.82,3.96
268.48,3.95
271.16,3.97
273.87,3.95
276.61,3.91
279.38,3.89
282.17,3.87
284.99,3.86
287.84,3.79
290.72,3.75
293.63,3.79
296.57,3.80
299.53,3.80
302.53,3.80
305.55,3.78
308.61,3.76
311.69,3.77
314.81,3.79
317.96,3.74
321.14,3.71
324.35,3.71
327.59,3.70
330.87,3.68
334.18,3.63
337.52,3.61
340.90,3.59
344.30,3.57
347.75,3.53
351.23,3.51
354.74,3.52
358.28,3.49
361.87,3.46
365.49,3.44
369.14,3.41
372.83,3.38
376.56,3.36
380.33,3.33
384.13,3.31
387.97,3.29
391.85,3.26
395.77,3.23
399.73,3.19
403.72,3.15
407.76,3.12
411.84,3.09
415.96,3.07
420.12,3.04
424.32,3.00
428.56,2.97
432.85,2.94
437.18,2.90
441.55,2.86
445.96,2.82
450.42,2.78
454.93,2.74
459.48,2.70
464.07,2.66
468.71,2.61
473.40,2.58
478.13,2.54
482.91,2.51
487.74,2.47
492.62,2.40
497.55,2.36
502.52,2.32
507.55,2.26
512.62,2.23
517.75,2.20
522.93,2.15
528.16,2.09
533.44,2.04
538.77,1.99
544.16,1.94
549.60,1.89
555.10,1.84
560.65,1.79
566.25,1.74
571.92,1.68
577.64,1.62
583.41,1.57
589.25,1.53
595.14,1.47
601.09,1.41
607.10,1.35
613.17,1.34
619.30,1.29
625.50,1.25
631.75,1.20
638.07,1.15
644.45,1.10
650.89,1.06
657.40,0.99
663.98,0.95
670.62,0.91
677.32,0.86
684.10,0.80
690.94,0.75
697.85,0.70
704.83,0.66
711.87,0.63
718.99,0.58
726.18,0.53
733.44,0.49
740.78,0.47
748.19,0.41
755.67,0.36
763.23,0.31
770.86,0.23
778.57,0.16
786.35,0.10
794.22,0.06
802.16,0.04
810.18,0.01
818.28,0.01
826.46,0.00
834.73,-0.01
843.08,-0.04
851.51,-0.07
860.02,-0.08
868.62,-0.10
877.31,-0.12
886.08,-0.14
894.94,-0.16
903.89,-0.17
912.93,-0.17
922.06,-0.17
931.28,-0.15
940.59,-0.13
950.00,-0.12
959.50,-0.11
969.09,-0.08
978.78,-0.05
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.10
1039.00,0.13
1049.39,0.17
1059.88,0.21
1070.48,0.24
1081.19,0.28
1092.00,0.31
1102.92,0.35
1113.95,0.39
1125.09,0.44
1136.34,0.48
1147.70,0.54
1159.18,0.59
1170.77,0.64
1182.48,0.70
1194.30,0.74
1206.25,0.79
1218.31,0.83
1230.49,0.86
1242.80,0.90
1255.22,0.94
1267.78,0.98
1280.45,1.01
1293.26,1.04
1306.19,1.07
1319.25,1.10
1332.45,1.13
1345.77,1.16
1359.23,1.19
1372.82,1.22
1386.55,1.25
1400.41,1.28
1414.42,1.31
1428.56,1.34
1442.85,1.37
1457.28,1.40
1471.85,1.44
1486.57,1.47
1501.43,1.51
1516.45,1.55
1531.61,1.59
1546.93,1.63
1562.40,1.68
1578.02,1.73
1593.80,1.78
1609.74,1.84
1625.84,1.89
1642.10,1.95
1658.52,2.02
1675.10,2.09
1691.85,2.17
1708.77,2.24
1725.86,2.33
1743.12,2.41
1760.55,2.50
1778.15,2.60
1795.94,2.70
1813.90,2.81
1832.03,2.93
1850.36,3.04
1868.86,3.17
1887.55,3.30
1906.42,3.43
1925.49,3.58
1944.74,3.73
1964.19,3.88
1983.83,4.05
2003.67,4.22
2023.71,4.40
2043.94,4.58
2064.38,4.77
2085.03,4.96
2105.88,5.16
2126.94,5.37
2148.20,5.57
2169.69,5.78
2191.38,5.98
2213.30,6.18
2235.43,6.38
2257.78,6.56
2280.36,6.73
2303.17,6.88
2326.20,7.00
2349.46,7.09
2372.95,7.16
2396.68,7.20
