frequency,raw
20.00,11.63
20.20,11.65
20.40,11.66
20.61,11.68
20.81,11.69
21.02,11.71
21.23,11.72
21.44,11.74
21.66,11.75
21.87,11.76
22.09,11.77
22.31,11.78
22.54,11.78
22.76,11.79
22.99,11.80
23.22,11.81
23.45,11.83
23.69,11.84
23.92,11.85
24.16,11.86
24.40,11.87
24.65,11.87
24.89,11.88
25.14,11.88
25.39,11.89
25.65,11.89
25.91,11.89
26.16,11.90
26.43,11.90
26.69,11.91
26.96,11.91
27.23,11.91
27.50,11.92
27.77,11.92
28.05,11.92
28.33,11.92
28.62,11.93
28.90,11.94
29.19,11.95
29.48,11.96
29.78,11.97
30.08,11.97
30.38,11.97
30.68,11.97
30.99,11.97
31.30,11.97
31.61,11.98
31.93,11.99
32.24,12.00
32.57,12.00
32.89,12.00
33.22,12.01
33.55,12.01
33.89,12.01
34.23,12.01
34.57,12.00
34.92,11.98
35.27,11.97
35.62,11.97
35.97,11.98
36.33,11.99
36.70,11.99
37.06,11.98
37.43,11.97
37.81,11.97
38.19,11.96
38.57,11.97
38.95,11.97
39.34,11.96
39.74,11.95
40.14,11.94
40.54,11.94
40.94,11.96
41.35,11.97
41.76,11.99
42.18,11.97
42.60,11.95
43.03,11.92
43.46,11.91
43.90,11.92
44.33,11.93
44.78,11.93
45.23,11.93
45.68,11.91
46.13,11.90
46.60,11.88
47.06,11.87
47.53,11.87
48.01,11.86
48.49,11.86
48.97,11.85
49.46,11.83
49.96,11.82
50.46,11.81
50.96,11.80
51.47,11.80
51.99,11.80
52.51,11.80
53.03,11.78
53.56,11.75
54.10,11.73
54.64,11.72
55.18,11.72
55.74,11.72
56.29,11.71
56.86,11.69
57.42,11.67
58.00,11.65
58.58,11.63
59.16,11.62
59.76,11.61
60.35,11.60
60.96,11.58
61.57,11.56
62.18,11.57
62.80,11.57
63.43,11.56
64.07,11.53
64.71,11.50
65.35,11.48
66.01,11.46
66.67,11.44
67.33,11.42
68.01,11.41
68.69,11.39
69.37,11.36
70.07,11.34
70.77,11.32
71.48,11.30
72.19,11.29
72.91,11.26
73.64,11.25
74.38,11.23
75.12,11.21
75.87,11.19
76.63,11.17
77.40,11.16
78.17,11.14
78.95,11.12
79.74,11.09
80.54,11.07
81.35,11.04
82.16,11.01
82.98,10.98
83.81,10.94
84.65,10.93
85.50,10.91
86.35,10.88
87.22,10.83
88.09,10.82
88.97,10.81
89.86,10.76
90.76,10.72
91.66,10.70
92.58,10.69
93.51,10.64
94.44,10.62
95.39,10.60
96.34,10.55
97.30,10.53
98.28,10.48
99.26,10.45
100.25,10.45
101.25,10.42
102.27,10.38
103.29,10.33
104.32,10.31
105.37,10.26
106.42,10.21
107.48,10.19
108.56,10.17
109.64,10.14
110.74,10.11
111.85,10.07
112.97,10.02
114.10,9.98
115.24,9.95
116.39,9.92
117.55,9.89
118.73,9.85
119.92,9.80
121.12,9.77
122.33,9.73
123.55,9.69
124.79,9.65
126.03,9.60
127.29,9.56
128.57,9.53
129.85,9.49
131.15,9.45
132.46,9.40
133.79,9.35
135.12,9.31
136.48,9.27
137.84,9.23
139.22,9.19
140.61,9.16
142.02,9.11
143.44,9.05
144.87,9.00
146.32,8.95
147.78,8.91
149.26,8.86
150.75,8.82
152.26,8.78
153.78,8.74
