frequency,raw
20.00,5.43
20.20,5.44
20.40,5.45
20.61,5.45
20.81,5.45
21.02,5.46
21.23,5.46
21.44,5.46
21.66,5.47
21.87,5.47
22.09,5.47
22.31,5.47
22.54,5.48
22.76,5.48
22.99,5.49
23.22,5.49
23.45,5.49
23.69,5.50
23.92,5.50
24.16,5.51
24.40,5.51
24.65,5.51
24.89,5.51
25.14,5.52
25.39,5.52
25.65,5.52
25.91,5.52
26.16,5.52
26.43,5.52
26.69,5.52
26.96,5.52
27.23,5.52
27.50,5.52
27.77,5.51
28.05,5.51
28.33,5.51
28.62,5.51
28.90,5.50
29.19,5.50
29.48,5.50
29.78,5.50
30.08,5.49
30.38,5.49
30.68,5.48
30.99,5.48
31.30,5.47
31.61,5.47
31.93,5.46
32.24,5.45
32.57,5.44
32.89,5.44
33.22,5.43
33.55,5.42
33.89,5.42
34.23,5.41
34.57,5.41
34.92,5.40
35.27,5.40
35.62,5.39
35.97,5.38
36.33,5.38
36.70,5.37
37.06,5.36
37.43,5.35
37.81,5.34
38.19,5.34
38.57,5.33
38.95,5.32
39.34,5.32
39.74,5.31
40.14,5.30
40.54,5.29
40.94,5.28
41.35,5.27
41.76,5.26
42.18,5.25
42.60,5.24
43.03,5.22
43.46,5.21
43.90,5.20
44.33,5.19
44.78,5.18
45.23,5.18
45.68,5.17
46.13,5.17
46.60,5.16
47.06,5.15
47.53,5.14
48.01,5.13
48.49,5.12
48.97,5.11
49.46,5.10
49.96,5.09
50.46,5.08
50.96,5.07
51.47,5.06
51.99,5.05
52.51,5.04
53.03,5.03
53.56,5.01
54.10,5.00
54.64,4.98
55.18,4.97
55.74,4.95
56.29,4.94
56.86,4.92
57.42,4.90
58.00,4.88
58.58,4.87
59.16,4.85
59.76,4.83
60.35,4.82
60.96,4.80
61.57,4.78
62.18,4.76
62.80,4.74
63.43,4.72
64.07,4.70
64.71,4.68
65.35,4.66
66.01,4.64
66.67,4.61
67.33,4.59
68.01,4.57
68.69,4.54
69.37,4.52
70.07,4.50
70.77,4.48
71.48,4.46
72.19,4.44
72.91,4.41
73.64,4.39
74.38,4.37
75.12,4.34
75.87,4.32
76.63,4.30
77.40,4.27
78.17,4.25
78.95,4.22
79.74,4.20
80.54,4.17
81.35,4.15
82.16,4.12
82.98,4.09
83.81,4.07
84.65,4.04
85.50,4.02
86.35,3.99
87.22,3.97
88.09,3.94
88.97,3.92
89.86,3.89
90.76,3.86
91.66,3.83
