frequency,raw
20.00,4.78
20.20,4.83
20.40,4.87
20.61,4.92
20.81,4.97
21.02,5.01
21.23,5.06
21.44,5.11
21.66,5.16
21.87,5.21
22.09,5.24
22.31,5.27
22.54,5.29
22.76,5.31
22.99,5.32
23.22,5.32
23.45,5.32
23.69,5.33
23.92,5.34
24.16,5.35
24.40,5.37
24.65,5.39
24.89,5.40
25.14,5.41
25.39,5.42
25.65,5.43
25.91,5.43
26.16,5.43
26.43,5.44
26.69,5.46
26.96,5.47
27.23,5.49
27.50,5.51
27.77,5.52
28.05,5.52
28.33,5.51
28.62,5.51
28.90,5.52
29.19,5.52
29.48,5.53
29.78,5.55
30.08,5.55
30.38,5.55
30.68,5.55
30.99,5.53
31.30,5.52
31.61,5.50
31.93,5.49
32.24,5.48
32.57,5.46
32.89,5.45
33.22,5.43
33.55,5.42
33.89,5.41
34.23,5.40
34.57,5.41
34.92,5.41
35.27,5.41
35.62,5.41
35.97,5.40
36.33,5.38
36.70,5.37
37.06,5.35
37.43,5.34
37.81,5.33
38.19,5.32
38.57,5.30
38.95,5.28
39.34,5.25
39.74,5.23
40.14,5.20
40.54,5.19
40.94,5.17
41.35,5.14
41.76,5.12
42.18,5.09
42.60,5.06
43.03,5.04
43.46,5.02
43.90,5.00
44.33,4.97
44.78,4.94
45.23,4.91
45.68,4.88
46.13,4.85
46.60,4.83
47.06,4.80
47.53,4.77
48.01,4.73
48.49,4.69
48.97,4.66
49.46,4.63
49.96,4.60
50.46,4.56
50.96,4.52
51.47,4.49
51.99,4.46
52.51,4.43
53.03,4.40
53.56,4.39
54.10,4.37
54.64,4.35
55.18,4.32
55.74,4.28
56.29,4.25
56.86,4.21
57.42,4.17
58.00,4.12
58.58,4.10
59.16,4.08
59.76,4.06
60.35,4.04
60.96,4.00
61.57,3.96
62.18,3.93
62.80,3.88
63.43,3.84
64.07,3.79
64.71,3.75
65.35,3.71
66.01,3.67
66.67,3.62
67.33,3.57
68.01,3.53
68.69,3.50
69.37,3.48
70.07,3.46
70.77,3.43
71.48,3.39
72.19,3.35
72.91,3.31
73.64,3.29
74.38,3.26
75.12,3.23
75.87,3.19
76.63,3.15
77.40,3.11
78.17,3.07
78.95,3.03
79.74,2.98
80.54,2.94
81.35,2.90
82.16,2.86
82.98,2.82
83.81,2.78
84.65,2.74
85.50,2.69
86.35,2.64
87.22,2.61
88.09,2.57
88.97,2.52
89.86,2.47
90.76,2.44
91.66,2.41
92.58,2.35
93.51,2.31
94.44,2.26
95.39,2.21
96.34,2.16
97.30,2.13
98.28,2.08
99.26,2.01
100.25,1.95
101.25,1.97
102.27,1.93
103.29,1.88
104.32,1.86
105.37,1.80
106.42,1.74
107.48,1.71
108.56,1.67
109.64,1.63
110.74,1.58
111.85,1.53
112.97,1.49
114.10,1.45
115.24,1.41
116.39,1.38
117.55,1.34
118.73,1.29
119.92,1.25
121.12,1.20
122.33,1.16
123.55,1.11
124.79,1.07
126.03,1.04
127.29,1.00
128.57,0.94
129.85,0.87
131.15,0.79
132.46,0.76
133.79,0.77
135.12,0.73
136.48,0.68
137.84,0.64
139.22,0.60
140.61,0.56
142.02,0.51
143.44,0.47
144.87,0.42
146.32,0.38
147.78,0.33
149.26,0.28
150.75,0.23
152.26,0.18
153.78,0.13
155.32,0.09
156.88,0.04
158.44,-0.01
160.03,-0.06
161.63,-0.12
163.24,-0.18
164.88,-0.24
166.53,-0.26
168.19,-0.27
169.87,-0.29
171.57,-0.34
173.29,-0.39
175.02,-0.42
176.77,-0.46
178.54,-0.49
180.32,-0.50
182.13,-0.47
183.95,-0.40
185.79,-0.36
187.65,-0.37
189.52,-0.41
191.42,-0.45
193.33,-0.50
195.27,-0.55
197.22,-0.53
199.19,-0.53
201.18,-0.49
203.19,-0.41
205.23,-0.32
207.28,-0.26
209.35,-0.23
211.44,-0.16
213.56,-0.15
215.69,-0.16
217.85,-0.18
220.03,-0.19
