frequency,raw
20.00,3.80
20.20,3.83
20.40,3.86
20.61,3.89
20.81,3.92
21.02,3.95
21.23,3.98
21.44,4.00
21.66,4.03
21.87,4.05
22.09,4.08
22.31,4.10
22.54,4.12
22.76,4.15
22.99,4.17
23.22,4.20
23.45,4.22
23.69,4.25
23.92,4.27
24.16,4.30
24.40,4.32
24.65,4.33
24.89,4.35
25.14,4.36
25.39,4.38
25.65,4.39
25.91,4.41
26.16,4.43
26.43,4.45
26.69,4.48
26.96,4.50
27.23,4.52
27.50,4.54
27.77,4.55
28.05,4.56
28.33,4.57
28.62,4.58
28.90,4.59
29.19,4.60
29.48,4.61
29.78,4.62
30.08,4.64
30.38,4.65
30.68,4.66
30.99,4.67
31.30,4.67
31.61,4.68
31.93,4.69
32.24,4.69
32.57,4.70
32.89,4.71
33.22,4.71
33.55,4.72
33.89,4.72
34.23,4.73
34.57,4.73
34.92,4.74
35.27,4.74
35.62,4.75
35.97,4.75
36.33,4.76
36.70,4.76
37.06,4.76
37.43,4.76
37.81,4.76
38.19,4.77
38.57,4.77
38.95,4.76
39.34,4.76
39.74,4.76
40.14,4.75
40.54,4.75
40.94,4.74
41.35,4.74
41.76,4.73
42.18,4.74
42.60,4.74
43.03,4.74
43.46,4.74
43.90,4.74
44.33,4.74
44.78,4.74
45.23,4.75
45.68,4.75
46.13,4.76
46.60,4.76
47.06,4.75
47.53,4.74
48.01,4.73
48.49,4.71
48.97,4.71
49.46,4.70
49.96,4.69
50.46,4.69
50.96,4.69
51.47,4.68
51.99,4.67
52.51,4.66
53.03,4.65
53.56,4.64
54.10,4.63
54.64,4.61
55.18,4.60
55.74,4.59
56.29,4.58
56.86,4.56
57.42,4.55
58.00,4.54
58.58,4.53
59.16,4.52
59.76,4.50
60.35,4.49
60.96,4.47
61.57,4.45
62.18,4.44
62.80,4.42
63.43,4.40
64.07,4.39
64.71,4.37
65.35,4.35
66.01,4.33
66.67,4.31
67.33,4.29
68.01,4.27
68.69,4.25
69.37,4.23
70.07,4.20
70.77,4.18
71.48,4.16
72.19,4.13
72.91,4.11
73.64,4.09
74.38,4.06
75.12,4.04
75.87,4.02
76.63,3.99
77.40,3.97
78.17,3.95
78.95,3.92
79.74,3.89
80.54,3.87
81.35,3.84
82.16,3.81
82.98,3.79
83.81,3.76
84.65,3.74
85.50,3.71
86.35,3.69
87.22,3.66
88.09,3.64
88.97,3.61
89.86,3.58
90.76,3.55
91.66,3.52
92.58,3.49
93.51,3.45
94.44,3.42
95.39,3.38
96.34,3.34
97.30,3.29
98.28,3.26
99.26,3.23
100.25,3.21
101.25,3.19
102.27,3.17
103.29,3.15
104.32,3.12
105.37,3.09
106.42,3.05
107.48,3.02
108.56,2.99
109.64,2.95
110.74,2.92
111.85,2.89
112.97,2.86
114.10,2.82
115.24,2.79
116.39,2.75
117.55,2.72
