frequency,raw
20.00,4.98
20.20,5.01
20.40,5.04
20.61,5.07
20.81,5.10
21.02,5.13
21.23,5.15
21.44,5.18
21.66,5.20
21.87,5.23
22.09,5.25
22.31,5.27
22.54,5.29
22.76,5.31
22.99,5.33
23.22,5.36
23.45,5.38
23.69,5.40
23.92,5.42
24.16,5.45
24.40,5.47
24.65,5.49
24.89,5.51
25.14,5.53
25.39,5.54
25.65,5.56
25.91,5.58
26.16,5.59
26.43,5.61
26.69,5.63
26.96,5.64
27.23,5.66
27.50,5.67
27.77,5.68
28.05,5.70
28.33,5.71
28.62,5.72
28.90,5.73
29.19,5.74
29.48,5.75
29.78,5.76
30.08,5.77
30.38,5.78
30.68,5.78
30.99,5.79
31.30,5.79
31.61,5.80
31.93,5.80
32.24,5.81
32.57,5.81
32.89,5.81
33.22,5.82
33.55,5.82
33.89,5.82
34.23,5.82
34.57,5.82
34.92,5.82
35.27,5.82
35.62,5.82
35.97,5.82
36.33,5.82
36.70,5.82
37.06,5.82
37.43,5.83
37.81,5.83
38.19,5.83
38.57,5.83
38.95,5.83
39.34,5.83
39.74,5.82
40.14,5.82
40.54,5.82
40.94,5.82
41.35,5.82
41.76,5.81
42.18,5.81
42.60,5.81
43.03,5.80
43.46,5.79
43.90,5.79
44.33,5.78
44.78,5.77
45.23,5.76
45.68,5.75
46.13,5.74
46.60,5.73
47.06,5.71
47.53,5.70
48.01,5.68
48.49,5.66
48.97,5.65
49.46,5.65
49.96,5.65
50.46,5.66
50.96,5.66
51.47,5.66
51.99,5.66
52.51,5.65
53.03,5.64
53.56,5.63
54.10,5.62
54.64,5.60
55.18,5.58
55.74,5.57
56.29,5.55
56.86,5.54
57.42,5.53
58.00,5.51
58.58,5.49
59.16,5.47
59.76,5.46
60.35,5.44
60.96,5.42
61.57,5.39
62.18,5.37
62.80,5.35
63.43,5.33
64.07,5.31
64.71,5.29
65.35,5.27
66.01,5.25
66.67,5.22
67.33,5.20
68.01,5.17
68.69,5.15
69.37,5.12
70.07,5.10
70.77,5.07
71.48,5.05
72.19,5.03
72.91,5.00
73.64,4.97
74.38,4.95
75.12,4.92
75.87,4.89
76.63,4.87
77.40,4.84
78.17,4.82
78.95,4.79
79.74,4.76
80.54,4.73
81.35,4.70
82.16,4.67
82.98,4.64
83.81,4.61
84.65,4.58
85.50,4.55
86.35,4.52
87.22,4.49
88.09,4.46
88.97,4.43
89.86,4.40
90.76,4.37
91.66,4.33
92.58,4.30
93.51,4.26
94.44,4.23
95.39,4.20
96.34,4.17
97.30,4.13
98.28,4.10
99.26,4.06
100.25,4.02
101.25,3.99
102.27,3.96
103.29,3.92
104.32,3.88
105.37,3.84
106.42,3.80
107.48,3.76
108.56,3.73
109.64,3.69
110.74,3.66
111.85,3.62
112.97,3.58
114.10,3.54
115.24,3.51
116.39,3.47
117.55,3.43
118.73,3.39
119.92,3.34
121.12,3.30
122.33,3.26
123.55,3.22
124.79,3.18
126.03,3.13
127.29,3.09
128.57,3.05
129.85,3.01
131.15,2.97
132.46,2.93
133.79,2.89
135.12,2.85
136.48,2.82
137.84,2.78
139.22,2.75
