frequency,raw
20.00,13.23
20.20,13.22
20.40,13.20
20.61,13.19
20.81,13.17
21.02,13.15
21.23,13.13
21.44,13.11
21.66,13.08
21.87,13.05
22.09,13.03
22.31,13.00
22.54,12.97
22.76,12.94
22.99,12.91
23.22,12.88
23.45,12.84
23.69,12.81
23.92,12.78
24.16,12.75
24.40,12.72
24.65,12.69
24.89,12.67
25.14,12.64
25.39,12.62
25.65,12.60
25.91,12.58
26.16,12.56
26.43,12.54
26.69,12.52
26.96,12.50
27.23,12.48
27.50,12.45
27.77,12.43
28.05,12.41
28.33,12.39
28.62,12.36
28.90,12.33
29.19,12.31
29.48,12.28
29.78,12.25
30.08,12.21
30.38,12.18
30.68,12.14
30.99,12.11
31.30,12.07
31.61,12.03
31.93,12.00
32.24,11.96
32.57,11.92
32.89,11.88
33.22,11.84
33.55,11.81
33.89,11.78
34.23,11.75
34.57,11.71
34.92,11.68
35.27,11.65
35.62,11.61
35.97,11.58
36.33,11.55
36.70,11.51
37.06,11.48
37.43,11.44
37.81,11.41
38.19,11.37
38.57,11.33
38.95,11.29
39.34,11.26
39.74,11.22
40.14,11.17
40.54,11.13
40.94,11.09
41.35,11.05
41.76,11.01
42.18,10.96
42.60,10.92
43.03,10.89
43.46,10.85
43.90,10.81
44.33,10.77
44.78,10.73
45.23,10.69
45.68,10.65
46.13,10.60
46.60,10.56
47.06,10.52
47.53,10.48
48.01,10.43
48.49,10.38
48.97,10.34
49.46,10.30
49.96,10.26
50.46,10.21
50.96,10.16
51.47,10.11
51.99,10.06
52.51,10.02
53.03,9.97
53.56,9.92
54.10,9.87
54.64,9.81
55.18,9.76
55.74,9.70
56.29,9.65
56.86,9.60
57.42,9.54
58.00,9.49
58.58,9.43
59.16,9.38
59.76,9.32
60.35,9.26
60.96,9.21
61.57,9.15
62.18,9.09
62.80,9.03
63.43,8.96
64.07,8.90
64.71,8.84
65.35,8.78
66.01,8.72
66.67,8.65
67.33,8.59
68.01,8.53
68.69,8.47
69.37,8.40
70.07,8.34
70.77,8.27
71.48,8.21
72.19,8.14
72.91,8.07
73.64,8.01
74.38,7.94
75.12,7.87
75.87,7.80
76.63,7.74
77.40,7.67
78.17,7.60
78.95,7.53
79.74,7.46
80.54,7.39
81.35,7.31
82.16,7.24
82.98,7.17
83.81,7.10
84.65,7.03
85.50,6.95
86.35,6.88
87.22,6.81
88.09,6.73
88.97,6.66
89.86,6.59
90.76,6.51
91.66,6.44
92.58,6.36
93.51,6.29
94.44,6.21
95.39,6.14
96.34,6.06
97.30,5.98
98.28,5.90
99.26,5.82
100.25,5.74
101.25,5.66
102.27,5.58
103.29,5.50
104.32,5.42
105.37,5.34
106.42,5.26
107.48,5.18
108.56,5.10
109.64,5.02
110.74,4.94
111.85,4.86
112.97,4.78
114.10,4.70
115.24,4.62
116.39,4.54
117.55,4.46
118.73,4.37
119.92,4.29
121.12,4.21
122.33,4.13
123.55,4.04
124.79,3.96
126.03,3.88
127.29,3.79
128.57,3.71
129.85,3.62
131.15,3.54
132.46,3.46
133.79,3.37
135.12,3.29
136.48,3.21
137.84,3.12
139.22,3.04
140.61,2.95
142.02,2.87
143.44,2.79
144.87,2.71
146.32,2.62
147.78,2.54
149.26,2.45
150.75,2.37
152.26,2.28
153.78,2.20
155.32,2.11
156.88,2.03
158.44,1.94
160.03,1.86
161.63,1.78
163.24,1.70
164.88,1.61
166.53,1.52
168.19,1.44
169.87,1.36
171.57,1.28
173.29,1.19
175.02,1.11
176.77,1.03
178.54,0.95
180.32,0.87
182.13,0.78
183.95,0.70
185.79,0.61
187.65,0.53
189.52,0.46
191.42,0.38
193.33,0.30
195.27,0.21
197.22,0.14
199.19,0.07
201.18,-0.01
203.19,-0.10
205.23,-0.18
207.28,-0.26
209.35,-0.34
211.44,-0.41
213.56,-0.47
215.69,-0.55
217.85,-0.63
220.03,-0.69
222.23,-0.76
224.45,-0.83
226.70,-0.90
228.96,-0.96
231.25,-1.02
233.57,-1.08
235.90,-1.15
238.26,-1.19
240.64,-1.25
243.05,-1.33
245.48,-1.38
247.93,-1.44
250.41,-1.50
252.92,-1.55
255.45,-1.61
258.00,-1.67
260.58,-1.73
263.19,-1.78
265.82,-1.84
268.48,-1.88
271.16,-1.94
273.87,-1.99
276.61,-2.04
279.38,-2.08
282.17,-2.13
284.99,-2.18
287.84,-2.23
290.72,-2.28
293.63,-2.32
296.57,-2.36
299.53,-2.40
302.53,-2.45
305.55,-2.49
308.61,-2.53
311.69,-2.58
314.81,-2.61
317.96,-2.65
321.14,-2.69
324.35,-2.72
327.59,-2.76
330.87,-2.79
334.18,-2.82
337.52,-2.85
340.90,-2.88
344.30,-2.91
347.75,-2.94
351.23,-2.97
354.74,-3.00
358.28,-3.02
361.87,-3.05
365.49,-3.08
369.14,-3.10
372.83,-3.12
376.56,-3.14
380.33,-3.16
384.13,-3.18
387.97,-3.20
391.85,-3.22
395.77,-3.23
399.73,-3.25
403.72,-3.27
407.76,-3.28
411.84,-3.30
415.96,-3.31
420.12,-3.32
424.32,-3.33
428.56,-3.33
432.85,-3.34
437.18,-3.35
441.55,-3.35
445.96,-3.35
450.42,-3.35
454.93,-3.34
459.48,-3.34
464.07,-3.34
468.71,-3.34
473.40,-3.32
478.13,-3.31
482.91,-3.30
487.74,-3.28
492.62,-3.27
497.55,-3.25
502.52,-3.23
507.55,-3.21
512.62,-3.20
517.75,-3.18
522.93,-3.17
528.16,-3.15
533.44,-3.13
538.77,-3.11
544.16,-3.09
549.60,-3.07
555.10,-3.05
560.65,-3.03
566.25,-3.01
571.92,-2.98
577.64,-2.96
583.41,-2.93
589.25,-2.90
595.14,-2.88
601.09,-2.85
607.10,-2.82
613.17,-2.79
619.30,-2.76
625.50,-2.72
631.75,-2.69
638.07,-2.65
644.45,-2.62
650.89,-2.59
657.40,-2.54
663.98,-2.50
670.62,-2.46
677.32,-2.42
684.10,-2.38
690.94,-2.34
697.85,-2.30
704.83,-2.25
711.87,-2.21
718.99,-2.16
726.18,-2.12
733.44,-2.07
740.78,-2.02
748.19,-1.97
755.67,-1.92
763.23,-1.87
770.86,-1.82
778.57,-1.76
786.35,-1.71
794.22,-1.65
802.16,-1.59
810.18,-1.53
818.28,-1.47
826.46,-1.41
834.73,-1.35
843.08,-1.29
851.51,-1.22
860.02,-1.15
868.62,-1.08
877.31,-1.01
886.08,-0.94
894.94,-0.87
903.89,-0.79
912.93,-0.73
922.06,-0.65
931.28,-0.57
940.59,-0.49
950.00,-0.41
959.50,-0.32
