frequency,raw
20.00,16.16
20.20,16.15
20.40,16.13
20.61,16.12
20.81,16.10
21.02,16.08
21.23,16.06
21.44,16.03
21.66,16.01
21.87,15.99
22.09,15.96
22.31,15.94
22.54,15.91
22.76,15.88
22.99,15.86
23.22,15.83
23.45,15.80
23.69,15.77
23.92,15.74
24.16,15.71
24.40,15.69
24.65,15.66
24.89,15.64
25.14,15.62
25.39,15.59
25.65,15.57
25.91,15.55
26.16,15.53
26.43,15.51
26.69,15.49
26.96,15.46
27.23,15.44
27.50,15.42
27.77,15.39
28.05,15.37
28.33,15.34
28.62,15.32
28.90,15.29
29.19,15.27
29.48,15.24
29.78,15.21
30.08,15.18
30.38,15.15
30.68,15.12
30.99,15.08
31.30,15.05
31.61,15.02
31.93,14.98
32.24,14.95
32.57,14.91
32.89,14.88
33.22,14.84
33.55,14.81
33.89,14.78
34.23,14.75
34.57,14.72
34.92,14.69
35.27,14.66
35.62,14.63
35.97,14.60
36.33,14.56
36.70,14.53
37.06,14.50
37.43,14.47
37.81,14.44
38.19,14.40
38.57,14.37
38.95,14.33
39.34,14.30
39.74,14.26
40.14,14.23
40.54,14.19
40.94,14.15
41.35,14.11
41.76,14.08
42.18,14.04
42.60,14.00
43.03,13.97
43.46,13.93
43.90,13.89
44.33,13.86
44.78,13.82
45.23,13.79
45.68,13.75
46.13,13.72
46.60,13.68
47.06,13.64
47.53,13.60
48.01,13.56
48.49,13.52
48.97,13.49
49.46,13.45
49.96,13.41
50.46,13.37
50.96,13.33
51.47,13.29
51.99,13.25
52.51,13.21
53.03,13.17
53.56,13.13
54.10,13.08
54.64,13.04
55.18,12.99
55.74,12.95
56.29,12.90
56.86,12.85
57.42,12.80
58.00,12.76
58.58,12.71
59.16,12.66
59.76,12.61
60.35,12.56
60.96,12.51
61.57,12.46
62.18,12.41
62.80,12.36
63.43,12.30
64.07,12.25
64.71,12.20
65.35,12.14
66.01,12.09
66.67,12.03
67.33,11.98
68.01,11.93
68.69,11.87
69.37,11.82
70.07,11.76
70.77,11.71
71.48,11.65
72.19,11.59
72.91,11.53
73.64,11.48
74.38,11.42
75.12,11.36
75.87,11.30
76.63,11.24
77.40,11.19
78.17,11.13
78.95,11.07
79.74,11.01
80.54,10.95
81.35,10.88
82.16,10.82
82.98,10.76
83.81,10.70
84.65,10.64
85.50,10.58
86.35,10.51
87.22,10.45
88.09,10.39
88.97,10.33
89.86,10.26
90.76,10.20
91.66,10.14
92.58,10.07
93.51,10.01
94.44,9.94
95.39,9.88
96.34,9.81
97.30,9.74
98.28,9.67
99.26,9.60
100.25,9.54
101.25,9.47
102.27,9.40
103.29,9.33
104.32,9.26
105.37,9.19
106.42,9.12
107.48,9.05
108.56,8.98
109.64,8.91
110.74,8.84
111.85,8.77
112.97,8.70
114.10,8.63
115.24,8.56
116.39,8.48
117.55,8.41
118.73,8.34
119.92,8.27
121.12,8.19
122.33,8.12
123.55,8.05
124.79,7.97
126.03,7.90
127.29,7.82
128.57,7.75
129.85,7.67
131.15,7.59
132.46,7.52
133.79,7.44
135.12,7.36
136.48,7.29
137.84,7.21
139.22,7.13
140.61,7.05
142.02,6.98
143.44,6.90
144.87,6.82
146.32,6.74
147.78,6.66
149.26,6.58
150.75,6.50
152.26,6.42
153.78,6.34
155.32,6.26
156.88,6.18
158.44,6.10
160.03,6.02
161.63,5.94
163.24,5.86
164.88,5.78
166.53,5.69
168.19,5.61
169.87,5.53
171.57,5.45
173.29,5.36
175.02,5.28
176.77,5.19
178.54,5.11
180.32,5.03
182.13,4.94
183.95,4.86
185.79,4.78
187.65,4.69
189.52,4.61
191.42,4.52
193.33,4.44
195.27,4.36
197.22,4.27
199.19,4.19
201.18,4.10
203.19,4.02
205.23,3.94
207.28,3.86
209.35,3.77
211.44,3.69
213.56,3.60
215.69,3.52
217.85,3.44
220.03,3.36
222.23,3.28
224.45,3.20
226.70,3.11
228.96,3.03
231.25,2.95
233.57,2.87
235.90,2.79
238.26,2.71
240.64,2.63
243.05,2.55
245.48,2.47
247.93,2.39
250.41,2.31
252.92,2.23
255.45,2.15
258.00,2.07
260.58,1.99
263.19,1.91
265.82,1.83
268.48,1.76
271.16,1.68
273.87,1.61
276.61,1.54
279.38,1.47
282.17,1.40
284.99,1.34
287.84,1.27
290.72,1.21
293.63,1.14
296.57,1.07
299.53,1.01
302.53,0.95
305.55,0.88
308.61,0.82
311.69,0.75
314.81,0.69
317.96,0.62
321.14,0.56
324.35,0.50
327.59,0.43
330.87,0.37
334.18,0.31
337.52,0.25
340.90,0.19
344.30,0.13
347.75,0.06
351.23,-0.00
354.74,-0.06
358.28,-0.12
361.87,-0.18
365.49,-0.24
369.14,-0.29
372.83,-0.35
376.56,-0.40
380.33,-0.46
384.13,-0.51
387.97,-0.56
391.85,-0.62
395.77,-0.67
399.73,-0.71
403.72,-0.77
407.76,-0.82
411.84,-0.86
415.96,-0.91
420.12,-0.96
424.32,-1.00
428.56,-1.04
432.85,-1.08
437.18,-1.12
441.55,-1.16
445.96,-1.20
450.42,-1.23
454.93,-1.27
459.48,-1.30
464.07,-1.33
468.71,-1.36
473.40,-1.39
478.13,-1.42
482.91,-1.44
487.74,-1.46
492.62,-1.49
497.55,-1.51
502.52,-1.53
507.55,-1.55
512.62,-1.57
517.75,-1.59
522.93,-1.61
528.16,-1.63
533.44,-1.64
538.77,-1.65
544.16,-1.67
549.60,-1.68
555.10,-1.69
560.65,-1.70
566.25,-1.71
571.92,-1.71
577.64,-1.72
583.41,-1.72
589.25,-1.72
595.14,-1.72
601.09,-1.72
607.10,-1.73
613.17,-1.73
619.30,-1.72
625.50,-1.72
631.75,-1.72
638.07,-1.71
644.45,-1.70
650.89,-1.69
657.40,-1.68
663.98,-1.67
670.62,-1.66
677.32,-1.64
684.10,-1.63
690.94,-1.61
697.85,-1.59
704.83,-1.57
711.87,-1.56
718.99,-1.54
726.18,-1.51
733.44,-1.49
740.78,-1.47
748.19,-1.43
755.67,-1.41
763.23,-1.38
770.86,-1.35
778.57,-1.32
786.35,-1.29
794.22,-1.25
802.16,-1.22
810.18,-1.18
818.28,-1.14
826.46,-1.10
834.73,-1.05
843.08,-1.01
851.51,-0.96
860.02,-0.91
868.62,-0.86
877.31,-0.81
886.08,-0.76
894.94,-0.71
903.89,-0.65
912.93,-0.59
922.06,-0.53
931.28,-0.47
940.59,-0.40
950.00,-0.34
959.50,-0.27
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.40
1070.48,0.47
1081.19,0.54
1092.00,0.61
1102.92,0.68
1113.95,0.76
1125.09,0.84
1136.34,0.91
1147.70,0.99
1159.18,1.06
1170.77,1.13
1182.48,1.20
1194.30,1.26
1206.25,1.32
1218.31,1.39
1230.49,1.47
1242.80,1.54
1255.22,1.61
1267.78,1.69
1280.45,1.75
1293.26,1.82
1306.19,1.89
1319.25,1.95
1332.45,2.01
1345.77,2.06
1359.23,2.08
1372.82,2.14
1386.55,2.19
1400.41,2.25
1414.42,2.30
1428.56,2.34
1442.85,2.40
1457.28,2.45
1471.85,2.50
1486.57,2.54
1501.43,2.59
1516.45,2.63
1531.61,2.67
1546.93,2.71
1562.40,2.75
1578.02,2.80
1593.80,2.83
1609.74,2.88
1625.84,2.92
1642.10,2.96
