frequency,raw
20.00,16.54
20.20,16.53
20.40,16.51
20.61,16.50
20.81,16.48
21.02,16.46
21.23,16.44
21.44,16.42
21.66,16.39
21.87,16.37
22.09,16.34
22.31,16.32
22.54,16.29
22.76,16.27
22.99,16.24
23.22,16.21
23.45,16.18
23.69,16.15
23.92,16.12
24.16,16.10
24.40,16.07
24.65,16.05
24.89,16.02
25.14,16.00
25.39,15.98
25.65,15.95
25.91,15.93
26.16,15.91
26.43,15.89
26.69,15.87
26.96,15.85
27.23,15.82
27.50,15.80
27.77,15.78
28.05,15.75
28.33,15.73
28.62,15.70
28.90,15.68
29.19,15.65
29.48,15.62
29.78,15.59
30.08,15.56
30.38,15.53
30.68,15.50
30.99,15.47
31.30,15.44
31.61,15.40
31.93,15.37
32.24,15.34
32.57,15.30
32.89,15.26
33.22,15.23
33.55,15.20
33.89,15.17
34.23,15.14
34.57,15.11
34.92,15.08
35.27,15.05
35.62,15.02
35.97,14.98
36.33,14.95
36.70,14.92
37.06,14.89
37.43,14.86
37.81,14.82
38.19,14.79
38.57,14.76
38.95,14.72
39.34,14.69
39.74,14.65
40.14,14.62
40.54,14.58
40.94,14.54
41.35,14.51
41.76,14.47
42.18,14.43
42.60,14.40
43.03,14.36
43.46,14.33
43.90,14.29
44.33,14.26
44.78,14.22
45.23,14.19
45.68,14.15
46.13,14.11
46.60,14.08
47.06,14.04
47.53,14.00
48.01,13.96
48.49,13.92
48.97,13.88
49.46,13.84
49.96,13.80
50.46,13.77
50.96,13.73
51.47,13.69
51.99,13.65
52.51,13.61
53.03,13.57
53.56,13.53
54.10,13.49
54.64,13.44
55.18,13.40
55.74,13.35
56.29,13.31
56.86,13.26
57.42,13.21
58.00,13.16
58.58,13.12
59.16,13.07
59.76,13.02
60.35,12.97
60.96,12.92
61.57,12.87
62.18,12.82
62.80,12.77
63.43,12.72
64.07,12.67
64.71,12.61
65.35,12.56
66.01,12.51
66.67,12.46
67.33,12.40
68.01,12.35
68.69,12.30
69.37,12.24
70.07,12.19
70.77,12.13
71.48,12.08
72.19,12.02
72.91,11.96
73.64,11.91
74.38,11.85
75.12,11.79
75.87,11.74
76.63,11.68
77.40,11.62
78.17,11.56
78.95,11.50
79.74,11.44
80.54,11.39
81.35,11.33
82.16,11.27
82.98,11.21
83.81,11.15
84.65,11.08
85.50,11.02
86.35,10.96
87.22,10.90
88.09,10.84
88.97,10.78
89.86,10.72
90.76,10.66
91.66,10.59
92.58,10.53
93.51,10.47
94.44,10.40
95.39,10.34
96.34,10.27
97.30,10.21
98.28,10.14
99.26,10.08
