frequency,raw
20.00,3.96
20.20,4.02
20.40,4.07
20.61,4.12
20.81,4.17
21.02,4.22
21.23,4.27
21.44,4.32
21.66,4.37
21.87,4.42
22.09,4.46
22.31,4.51
22.54,4.56
22.76,4.60
22.99,4.65
23.22,4.69
23.45,4.73
23.69,4.78
23.92,4.82
24.16,4.86
24.40,4.90
24.65,4.95
24.89,4.99
25.14,5.03
25.39,5.07
25.65,5.10
25.91,5.14
26.16,5.18
26.43,5.21
26.69,5.25
26.96,5.28
27.23,5.31
27.50,5.34
27.77,5.36
28.05,5.39
28.33,5.41
28.62,5.44
28.90,5.46
29.19,5.48
29.48,5.51
29.78,5.53
30.08,5.55
30.38,5.57
30.68,5.58
30.99,5.60
31.30,5.62
31.61,5.65
31.93,5.67
32.24,5.69
32.57,5.72
32.89,5.74
33.22,5.75
33.55,5.77
33.89,5.78
34.23,5.79
34.57,5.80
34.92,5.81
35.27,5.82
35.62,5.84
35.97,5.86
36.33,5.87
36.70,5.89
37.06,5.90
37.43,5.91
37.81,5.91
38.19,5.92
38.57,5.92
38.95,5.93
39.34,5.93
39.74,5.94
40.14,5.94
40.54,5.94
40.94,5.94
41.35,5.94
41.76,5.94
42.18,5.94
42.60,5.94
43.03,5.94
43.46,5.94
43.90,5.94
44.33,5.94
44.78,5.94
45.23,5.94
45.68,5.94
46.13,5.94
46.60,5.93
47.06,5.93
47.53,5.92
48.01,5.92
48.49,5.92
48.97,5.91
49.46,5.90
49.96,5.90
50.46,5.89
50.96,5.88
51.47,5.87
51.99,5.86
52.51,5.85
53.03,5.84
53.56,5.82
54.10,5.81
54.64,5.80
55.18,5.78
55.74,5.76
56.29,5.75
56.86,5.73
57.42,5.71
58.00,5.69
58.58,5.68
59.16,5.66
59.76,5.64
60.35,5.62
60.96,5.60
61.57,5.58
62.18,5.56
62.80,5.54
63.43,5.52
64.07,5.50
64.71,5.47
65.35,5.45
66.01,5.42
66.67,5.40
67.33,5.37
68.01,5.34
68.69,5.31
69.37,5.28
70.07,5.25
70.77,5.23
71.48,5.20
72.19,5.18
72.91,5.15
73.64,5.12
74.38,5.08
75.12,5.05
75.87,5.01
76.63,4.98
77.40,4.95
78.17,4.92
78.95,4.89
79.74,4.86
80.54,4.83
81.35,4.79
82.16,4.76
82.98,4.73
83.81,4.69
84.65,4.66
85.50,4.63
86.35,4.60
87.22,4.56
88.09,4.53
88.97,4.49
89.86,4.46
90.76,4.42
91.66,4.38
92.58,4.35
93.51,4.31
94.44,4.27
95.39,4.24
96.34,4.20
97.30,4.16
98.28,4.12
99.26,4.08
100.25,4.04
101.25,4.00
102.27,3.95
103.29,3.91
104.32,3.87
105.37,3.83
106.42,3.79
107.48,3.75
108.56,3.71
109.64,3.67
110.74,3.62
111.85,3.58
112.97,3.53
114.10,3.49
115.24,3.44
116.39,3.40
117.55,3.36
118.73,3.31
119.92,3.27
121.12,3.22
122.33,3.18
123.55,3.13
124.79,3.09
126.03,3.04
127.29,3.00
128.57,2.95
129.85,2.90
131.15,2.86
132.46,2.81
133.79,2.76
135.12,2.71
136.48,2.66
137.84,2.61
139.22,2.56
140.61,2.51
142.02,2.46
143.44,2.41
144.87,2.37
146.32,2.32
147.78,2.27
149.26,2.22
150.75,2.17
152.26,2.12
153.78,2.06
155.32,2.01
156.88,1.96
158.44,1.90
160.03,1.85
161.63,1.79
163.24,1.73
164.88,1.67
166.53,1.62
168.19,1.56
169.87,1.50
171.57,1.44
173.29,1.37
175.02,1.31
176.77,1.25
178.54,1.19
180.32,1.14
182.13,1.09
183.95,1.05
185.79,1.01
187.65,0.98
189.52,0.96
191.42,0.94
193.33,0.92
195.27,0.90
197.22,0.89
199.19,0.89
201.18,0.90
203.19,0.91
205.23,0.94
207.28,0.97
209.35,1.00
211.44,1.03
213.56,1.04
215.69,1.03
217.85,1.02
220.03,1.00
222.23,0.96
224.45,0.92
226.70,0.87
228.96,0.82
231.25,0.77
233.57,0.72
235.90,0.67
238.26,0.62
240.64,0.57
243.05,0.53
245.48,0.48
247.93,0.44
250.41,0.39
252.92,0.35
255.45,0.31
258.00,0.27
260.58,0.23
263.19,0.19
265.82,0.15
268.48,0.11
271.16,0.07
273.87,0.03
276.61,-0.01
279.38,-0.04
282.17,-0.08
284.99,-0.12
287.84,-0.16
290.72,-0.20
293.63,-0.23
296.57,-0.27
299.53,-0.31
302.53,-0.35
305.55,-0.38
308.61,-0.42
311.69,-0.45
314.81,-0.48
317.96,-0.51
321.14,-0.54
324.35,-0.57
327.59,-0.60
330.87,-0.63
334.18,-0.65
337.52,-0.68
340.90,-0.70
344.30,-0.73
347.75,-0.76
351.23,-0.78
354.74,-0.81
358.28,-0.84
361.87,-0.86
365.49,-0.89
369.14,-0.92
372.83,-0.95
376.56,-0.97
380.33,-1.00
384.13,-1.03
387.97,-1.06
391.85,-1.09
395.77,-1.11
399.73,-1.14
403.72,-1.16
407.76,-1.18
411.84,-1.21
415.96,-1.22
420.12,-1.24
424.32,-1.26
428.56,-1.27
432.85,-1.28
437.18,-1.30
441.55,-1.30
445.96,-1.31
450.42,-1.32
454.93,-1.33
459.48,-1.34
464.07,-1.34
468.71,-1.35
473.40,-1.36
478.13,-1.37
482.91,-1.38
487.74,-1.39
492.62,-1.40
497.55,-1.41
502.52,-1.42
507.55,-1.43
512.62,-1.44
517.75,-1.45
522.93,-1.46
528.16,-1.48
533.44,-1.49
538.77,-1.50
544.16,-1.51
549.60,-1.52
555.10,-1.52
560.65,-1.53
566.25,-1.54
571.92,-1.55
577.64,-1.55
583.41,-1.56
589.25,-1.56
595.14,-1.57
601.09,-1.57
607.10,-1.58
613.17,-1.58
619.30,-1.58
625.50,-1.58
631.75,-1.58
638.07,-1.58
644.45,-1.57
650.89,-1.57
657.40,-1.56
