frequency,raw
20.00,3.87
20.20,3.91
20.40,3.95
20.61,4.00
20.81,4.04
21.02,4.08
21.23,4.12
21.44,4.16
21.66,4.20
21.87,4.24
22.09,4.28
22.31,4.32
22.54,4.36
22.76,4.40
22.99,4.44
23.22,4.47
23.45,4.51
23.69,4.55
23.92,4.58
24.16,4.62
24.40,4.66
24.65,4.69
24.89,4.73
25.14,4.76
25.39,4.80
25.65,4.83
25.91,4.87
26.16,4.90
26.43,4.93
26.69,4.96
26.96,4.99
27.23,5.02
27.50,5.04
27.77,5.06
28.05,5.09
28.33,5.11
28.62,5.13
28.90,5.16
29.19,5.18
29.48,5.20
29.78,5.22
30.08,5.24
30.38,5.27
30.68,5.29
30.99,5.31
31.30,5.33
31.61,5.35
31.93,5.37
32.24,5.39
32.57,5.41
32.89,5.43
33.22,5.44
33.55,5.46
33.89,5.47
34.23,5.49
34.57,5.51
34.92,5.52
35.27,5.54
35.62,5.55
35.97,5.57
36.33,5.58
36.70,5.60
37.06,5.61
37.43,5.63
37.81,5.64
38.19,5.66
38.57,5.67
38.95,5.68
39.34,5.68
39.74,5.69
40.14,5.70
40.54,5.71
40.94,5.71
41.35,5.72
41.76,5.73
42.18,5.73
42.60,5.74
43.03,5.75
43.46,5.76
43.90,5.76
44.33,5.77
44.78,5.78
45.23,5.79
45.68,5.79
46.13,5.80
46.60,5.81
47.06,5.81
47.53,5.81
48.01,5.82
48.49,5.83
48.97,5.84
49.46,5.84
49.96,5.84
50.46,5.84
50.96,5.84
51.47,5.84
51.99,5.84
52.51,5.84
53.03,5.84
53.56,5.84
54.10,5.84
54.64,5.84
55.18,5.83
55.74,5.83
56.29,5.83
56.86,5.82
57.42,5.82
58.00,5.81
58.58,5.81
59.16,5.80
59.76,5.80
60.35,5.79
60.96,5.79
61.57,5.78
62.18,5.77
62.80,5.77
63.43,5.76
64.07,5.75
64.71,5.74
65.35,5.73
66.01,5.73
66.67,5.72
67.33,5.71
68.01,5.70
68.69,5.69
69.37,5.68
70.07,5.67
70.77,5.66
71.48,5.65
72.19,5.64
72.91,5.63
73.64,5.63
74.38,5.62
75.12,5.61
75.87,5.59
76.63,5.57
77.40,5.56
78.17,5.54
78.95,5.53
79.74,5.51
80.54,5.50
81.35,5.49
82.16,5.47
82.98,5.46
83.81,5.44
84.65,5.43
85.50,5.41
86.35,5.40
87.22,5.39
88.09,5.37
88.97,5.35
89.86,5.34
90.76,5.33
91.66,5.31
92.58,5.30
93.51,5.28
94.44,5.27
95.39,5.26
96.34,5.24
97.30,5.23
98.28,5.21
99.26,5.20
100.25,5.18
101.25,5.16
102.27,5.14
103.29,5.13
104.32,5.11
105.37,5.09
106.42,5.07
107.48,5.05
108.56,5.03
109.64,5.01
110.74,4.99
111.85,4.97
112.97,4.96
114.10,4.94
115.24,4.92
116.39,4.90
117.55,4.89
118.73,4.87
119.92,4.85
121.12,4.83
122.33,4.81
123.55,4.79
124.79,4.77
126.03,4.75
127.29,4.72
128.57,4.70
129.85,4.68
131.15,4.66
132.46,4.63
133.79,4.61
135.12,4.60
136.48,4.58
137.84,4.56
139.22,4.54
140.61,4.52
142.02,4.50
143.44,4.47
144.87,4.45
146.32,4.43
147.78,4.40
149.26,4.38
150.75,4.35
152.26,4.33
153.78,4.31
155.32,4.29
156.88,4.27
158.44,4.25
