frequency,raw
20.00,4.03
20.20,4.10
20.40,4.17
20.61,4.24
20.81,4.31
21.02,4.38
21.23,4.46
21.44,4.53
21.66,4.60
21.87,4.67
22.09,4.75
22.31,4.82
22.54,4.89
22.76,4.96
22.99,5.03
23.22,5.10
23.45,5.18
23.69,5.25
23.92,5.32
24.16,5.39
24.40,5.46
24.65,5.53
24.89,5.60
25.14,5.67
25.39,5.74
25.65,5.80
25.91,5.87
26.16,5.93
26.43,6.00
26.69,6.06
26.96,6.12
27.23,6.18
27.50,6.24
27.77,6.30
28.05,6.36
28.33,6.42
28.62,6.47
28.90,6.53
29.19,6.58
29.48,6.64
29.78,6.69
30.08,6.75
30.38,6.81
30.68,6.87
30.99,6.92
31.30,6.98
31.61,7.03
31.93,7.08
32.24,7.14
32.57,7.19
32.89,7.24
33.22,7.30
33.55,7.35
33.89,7.41
34.23,7.46
34.57,7.51
34.92,7.56
35.27,7.61
35.62,7.65
35.97,7.70
36.33,7.75
36.70,7.80
37.06,7.84
37.43,7.89
37.81,7.93
38.19,7.97
38.57,8.01
38.95,8.05
39.34,8.09
39.74,8.14
40.14,8.18
40.54,8.22
40.94,8.26
41.35,8.29
41.76,8.32
42.18,8.36
42.60,8.39
43.03,8.42
43.46,8.45
43.90,8.48
44.33,8.51
44.78,8.54
45.23,8.57
45.68,8.59
46.13,8.61
46.60,8.63
47.06,8.66
47.53,8.68
48.01,8.69
48.49,8.71
48.97,8.72
49.46,8.73
49.96,8.74
50.46,8.75
50.96,8.76
51.47,8.76
51.99,8.77
52.51,8.77
53.03,8.76
53.56,8.75
54.10,8.74
54.64,8.72
55.18,8.71
55.74,8.69
56.29,8.67
56.86,8.66
57.42,8.63
58.00,8.60
58.58,8.57
59.16,8.54
59.76,8.50
60.35,8.46
60.96,8.42
61.57,8.38
62.18,8.34
62.80,8.30
63.43,8.26
64.07,8.22
64.71,8.17
65.35,8.12
66.01,8.06
66.67,8.00
67.33,7.93
68.01,7.87
68.69,7.81
69.37,7.74
70.07,7.67
70.77,7.61
71.48,7.54
72.19,7.47
72.91,7.39
73.64,7.32
74.38,7.24
75.12,7.16
75.87,7.07
76.63,6.99
77.40,6.90
78.17,6.81
78.95,6.72
79.74,6.63
80.54,6.53
81.35,6.43
82.16,6.33
82.98,6.22
83.81,6.12
84.65,6.02
85.50,5.92
86.35,5.82
87.22,5.71
88.09,5.61
88.97,5.49
89.86,5.38
90.76,5.26
91.66,5.13
92.58,5.01
93.51,4.88
94.44,4.76
95.39,4.63
96.34,4.49
97.30,4.36
98.28,4.22
99.26,4.08
100.25,3.94
101.25,3.79
102.27,3.64
103.29,3.48
104.32,3.31
105.37,3.15
106.42,2.99
107.48,2.83
108.56,2.66
109.64,2.50
110.74,2.33
111.85,2.16
112.97,1.99
114.10,1.81
115.24,1.64
116.39,1.46
117.55,1.29
118.73,1.11
119.92,0.92
121.12,0.73
122.33,0.55
123.55,0.36
124.79,0.18
126.03,-0.01
127.29,-0.19
128.57,-0.37
129.85,-0.54
131.15,-0.72
132.46,-0.89
133.79,-1.07
135.12,-1.24
136.48,-1.40
137.84,-1.56
139.22,-1.70
140.61,-1.84
142.02,-1.98
143.44,-2.11
144.87,-2.23
146.32,-2.34
147.78,-2.44
149.26,-2.53
150.75,-2.62
152.26,-2.69
153.78,-2.75
155.32,-2.81
156.88,-2.85
158.44,-2.88
160.03,-2.90
161.63,-2.90
163.24,-2.90
164.88,-2.90
166.53,-2.89
168.19,-2.89
169.87,-2.89
171.57,-2.88
173.29,-2.86
175.02,-2.84
176.77,-2.81
178.54,-2.78
180.32,-2.74
182.13,-2.71
183.95,-2.68
185.79,-2.65
187.65,-2.62
189.52,-2.60
191.42,-2.57
193.33,-2.54
195.27,-2.51
197.22,-2.48
199.19,-2.47
201.18,-2.45
203.19,-2.44
205.23,-2.43
207.28,-2.43
209.35,-2.42
211.44,-2.42
213.56,-2.42
215.69,-2.43
217.85,-2.44
220.03,-2.45
222.23,-2.45
224.45,-2.46
226.70,-2.47
228.96,-2.49
231.25,-2.51
233.57,-2.53
235.90,-2.56
238.26,-2.58
240.64,-2.61
243.05,-2.64
245.48,-2.66
247.93,-2.70
250.41,-2.73
252.92,-2.76
255.45,-2.80
258.00,-2.83
260.58,-2.86
263.19,-2.89
265.82,-2.92
268.48,-2.95
271.16,-2.98
273.87,-3.00
276.61,-3.02
279.38,-3.04
282.17,-3.06
284.99,-3.07
287.84,-3.08
290.72,-3.10
293.63,-3.11
296.57,-3.12
299.53,-3.13
302.53,-3.14
305.55,-3.14
308.61,-3.13
311.69,-3.12
314.81,-3.11
317.96,-3.09
321.14,-3.08
324.35,-3.06
327.59,-3.04
330.87,-3.03
334.18,-3.00
337.52,-2.98
340.90,-2.95
344.30,-2.93
347.75,-2.91
351.23,-2.88
354.74,-2.85
358.28,-2.82
361.87,-2.79
365.49,-2.76
369.14,-2.72
372.83,-2.69
376.56,-2.65
380.33,-2.62
384.13,-2.59
387.97,-2.56
391.85,-2.53
395.77,-2.50
399.73,-2.48
403.72,-2.45
407.76,-2.42
411.84,-2.39
415.96,-2.36
420.12,-2.34
424.32,-2.31
428.56,-2.28
432.85,-2.26
437.18,-2.23
441.55,-2.21
445.96,-2.19
450.42,-2.16
454.93,-2.14
459.48,-2.13
464.07,-2.12
468.71,-2.11
473.40,-2.10
478.13,-2.10
482.91,-2.09
487.74,-2.09
492.62,-2.08
497.55,-2.08
502.52,-2.09
507.55,-2.09
512.62,-2.08
517.75,-2.08
522.93,-2.07
528.16,-2.08
533.44,-2.08
538.77,-2.09
544.16,-2.09
549.60,-2.10
555.10,-2.10
560.65,-2.10
566.25,-2.10
571.92,-2.10
577.64,-2.11
583.41,-2.11
589.25,-2.12
595.14,-2.11
601.09,-2.11
607.10,-2.10
613.17,-2.10
619.30,-2.10
625.50,-2.10
631.75,-2.10
638.07,-2.10
644.45,-2.10
650.89,-2.10
657.40,-2.10
663.98,-2.09
670.62,-2.09
677.32,-2.08
684.10,-2.07
690.94,-2.05
697.85,-2.03
704.83,-2.02
711.87,-2.00
718.99,-1.97
726.18,-1.95
733.44,-1.93
740.78,-1.90
748.19,-1.87
755.67,-1.84
763.23,-1.80
770.86,-1.77
778.57,-1.73
786.35,-1.70
794.22,-1.66
802.16,-1.62
810.18,-1.57
818.28,-1.52
826.46,-1.47
834.73,-1.42
843.08,-1.36
851.51,-1.30
860.02,-1.23
868.62,-1.16
877.31,-1.09
886.08,-1.01
894.94,-0.94
903.89,-0.86
912.93,-0.79
922.06,-0.71
931.28,-0.63
940.59,-0.55
950.00,-0.47
959.50,-0.38
969.09,-0.29
978.78,-0.20
988.57,-0.11
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.26
1039.00,0.35
1049.39,0.45
1059.88,0.53
1070.48,0.62
1081.19,0.71
1092.00,0.80
1102.92,0.90
1113.95,0.99
1125.09,1.08
1136.34,1.17
1147.70,1.25
1159.18,1.33
1170.77,1.41
1182.48,1.49
1194.30,1.57
1206.25,1.65
1218.31,1.73
1230.49,1.81
1242.80,1.89
1255.22,1.96
1267.78,2.03
1280.45,2.10
1293.26,2.17
1306.19,2.23
1319.25,2.30
1332.45,2.35
1345.77,2.40
1359.23,2.44
1372.82,2.48
1386.55,2.52
1400.41,2.57
1414.42,2.61
1428.56,2.66
1442.85,2.70
1457.28,2.74
1471.85,2.77
1486.57,2.81
1501.43,2.84
1516.45,2.89
1531.61,2.93
1546.93,2.97
1562.40,3.01
1578.02,3.05
1593.80,3.09
1609.74,3.13
1625.84,3.17
1642.10,3.22
1658.52,3.27
1675.10,3.32
1691.85,3.38
1708.77,3.44
1725.86,3.51
1743.12,3.59
1760.55,3.66
1778.15,3.75
1795.94,3.84
