frequency,raw
20.00,-6.44
20.20,-6.39
20.40,-6.33
20.61,-6.27
20.81,-6.22
21.02,-6.16
21.23,-6.11
21.44,-6.05
21.66,-6.00
21.87,-5.95
22.09,-5.89
22.31,-5.84
22.54,-5.79
22.76,-5.73
22.99,-5.68
23.22,-5.63
23.45,-5.58
23.69,-5.53
23.92,-5.48
24.16,-5.43
24.40,-5.38
24.65,-5.33
24.89,-5.28
25.14,-5.23
25.39,-5.19
25.65,-5.14
25.91,-5.09
26.16,-5.05
26.43,-5.00
26.69,-4.96
26.96,-4.92
27.23,-4.88
27.50,-4.84
27.77,-4.80
28.05,-4.77
28.33,-4.73
28.62,-4.69
28.90,-4.66
29.19,-4.62
29.48,-4.59
29.78,-4.56
30.08,-4.52
30.38,-4.49
30.68,-4.45
30.99,-4.42
31.30,-4.38
31.61,-4.35
31.93,-4.32
32.24,-4.28
32.57,-4.25
32.89,-4.22
33.22,-4.19
33.55,-4.16
33.89,-4.12
34.23,-4.09
34.57,-4.06
34.92,-4.03
35.27,-4.00
35.62,-3.97
35.97,-3.94
36.33,-3.91
36.70,-3.89
37.06,-3.86
37.43,-3.83
37.81,-3.80
38.19,-3.78
38.57,-3.76
38.95,-3.73
39.34,-3.71
39.74,-3.69
40.14,-3.67
40.54,-3.65
40.94,-3.63
41.35,-3.61
41.76,-3.59
42.18,-3.56
42.60,-3.54
43.03,-3.52
43.46,-3.50
43.90,-3.47
44.33,-3.45
44.78,-3.43
45.23,-3.41
45.68,-3.39
46.13,-3.36
46.60,-3.34
47.06,-3.32
47.53,-3.30
48.01,-3.28
48.49,-3.26
48.97,-3.24
49.46,-3.22
49.96,-3.20
50.46,-3.18
50.96,-3.16
51.47,-3.15
51.99,-3.13
52.51,-3.11
53.03,-3.10
53.56,-3.08
54.10,-3.07
54.64,-3.05
55.18,-3.04
55.74,-3.03
56.29,-3.01
56.86,-3.00
57.42,-2.99
58.00,-2.98
58.58,-2.96
59.16,-2.95
59.76,-2.94
60.35,-2.93
60.96,-2.92
61.57,-2.91
62.18,-2.90
62.80,-2.89
63.43,-2.88
64.07,-2.87
64.71,-2.86
65.35,-2.85
66.01,-2.84
66.67,-2.83
67.33,-2.82
68.01,-2.81
68.69,-2.80
69.37,-2.79
70.07,-2.78
70.77,-2.77
71.48,-2.77
72.19,-2.76
72.91,-2.75
73.64,-2.74
74.38,-2.73
75.12,-2.72
75.87,-2.72
76.63,-2.71
77.40,-2.70
78.17,-2.70
78.95,-2.69
79.74,-2.68
80.54,-2.68
81.35,-2.67
82.16,-2.66
82.98,-2.66
83.81,-2.65
84.65,-2.65
85.50,-2.64
86.35,-2.63
87.22,-2.63
88.09,-2.62
88.97,-2.61
89.86,-2.61
90.76,-2.60
91.66,-2.59
92.58,-2.59
93.51,-2.58
94.44,-2.58
95.39,-2.57
96.34,-2.57
97.30,-2.56
98.28,-2.56
99.26,-2.56
100.25,-2.56
101.25,-2.55
102.27,-2.55
103.29,-2.55
104.32,-2.55
105.37,-2.54
106.42,-2.54
107.48,-2.54
108.56,-2.53
109.64,-2.53
110.74,-2.52
111.85,-2.52
112.97,-2.52
114.10,-2.51
115.24,-2.51
116.39,-2.50
117.55,-2.50
118.73,-2.50
119.92,-2.49
121.12,-2.49
122.33,-2.48
123.55,-2.48
124.79,-2.48
126.03,-2.47
127.29,-2.47
128.57,-2.47
129.85,-2.46
131.15,-2.46
132.46,-2.46
133.79,-2.45
135.12,-2.45
136.48,-2.45
137.84,-2.45
139.22,-2.44
140.61,-2.44
142.02,-2.44
143.44,-2.43
144.87,-2.43
146.32,-2.43
147.78,-2.42
149.26,-2.42
150.75,-2.42
152.26,-2.42
153.78,-2.41
155.32,-2.41
156.88,-2.41
158.44,-2.41
160.03,-2.41
161.63,-2.40
163.24,-2.40
164.88,-2.40
166.53,-2.40
168.19,-2.40
169.87,-2.40
171.57,-2.40
173.29,-2.40
175.02,-2.40
176.77,-2.40
178.54,-2.40
180.32,-2.40
182.13,-2.40
183.95,-2.40
185.79,-2.40
187.65,-2.40
189.52,-2.40
191.42,-2.40
193.33,-2.40
195.27,-2.39
197.22,-2.39
199.19,-2.39
201.18,-2.39
203.19,-2.38
205.23,-2.38
207.28,-2.38
209.35,-2.38
211.44,-2.37
