frequency,raw
20.00,7.63
20.20,7.66
20.40,7.70
20.61,7.73
20.81,7.76
21.02,7.80
21.23,7.83
21.44,7.86
21.66,7.89
21.87,7.93
22.09,7.96
22.31,7.99
22.54,8.02
22.76,8.05
22.99,8.08
23.22,8.11
23.45,8.13
23.69,8.16
23.92,8.19
24.16,8.22
24.40,8.25
24.65,8.27
24.89,8.30
25.14,8.33
25.39,8.35
25.65,8.38
25.91,8.40
26.16,8.42
26.43,8.45
26.69,8.47
26.96,8.49
27.23,8.50
27.50,8.52
27.77,8.53
28.05,8.54
28.33,8.56
28.62,8.57
28.90,8.58
29.19,8.60
29.48,8.61
29.78,8.62
30.08,8.63
30.38,8.64
30.68,8.65
30.99,8.66
31.30,8.67
31.61,8.68
31.93,8.69
32.24,8.70
32.57,8.71
32.89,8.71
33.22,8.72
33.55,8.72
33.89,8.73
34.23,8.73
34.57,8.74
34.92,8.75
35.27,8.75
35.62,8.76
35.97,8.76
36.33,8.76
36.70,8.76
37.06,8.77
37.43,8.77
37.81,8.76
38.19,8.76
38.57,8.76
38.95,8.75
39.34,8.75
39.74,8.74
40.14,8.73
40.54,8.73
40.94,8.72
41.35,8.71
41.76,8.70
42.18,8.69
42.60,8.69
43.03,8.68
43.46,8.67
43.90,8.66
44.33,8.66
44.78,8.65
45.23,8.64
45.68,8.63
46.13,8.62
46.60,8.61
47.06,8.60
47.53,8.58
48.01,8.57
48.49,8.56
48.97,8.54
49.46,8.52
49.96,8.51
50.46,8.49
50.96,8.48
51.47,8.46
51.99,8.44
52.51,8.43
53.03,8.41
53.56,8.39
54.10,8.36
54.64,8.34
55.18,8.32
55.74,8.29
56.29,8.27
56.86,8.24
57.42,8.22
58.00,8.19
58.58,8.16
59.16,8.13
59.76,8.10
60.35,8.07
60.96,8.04
61.57,8.01
62.18,7.98
62.80,7.95
63.43,7.92
64.07,7.89
64.71,7.85
65.35,7.82
66.01,7.79
66.67,7.75
67.33,7.71
68.01,7.68
68.69,7.64
69.37,7.60
70.07,7.57
70.77,7.53
71.48,7.49
72.19,7.45
72.91,7.41
73.64,7.37
74.38,7.33
75.12,7.28
75.87,7.24
76.63,7.20
77.40,7.15
78.17,7.11
78.95,7.06
79.74,7.02
80.54,6.97
81.35,6.93
82.16,6.88
82.98,6.83
83.81,6.78
84.65,6.73
85.50,6.69
86.35,6.64
87.22,6.59
88.09,6.54
88.97,6.49
89.86,6.44
90.76,6.38
91.66,6.33
92.58,6.28
93.51,6.23
94.44,6.17
95.39,6.12
96.34,6.06
97.30,6.01
98.28,5.95
99.26,5.89
100.25,5.83
101.25,5.77
102.27,5.71
103.29,5.65
104.32,5.59
105.37,5.53
106.42,5.47
107.48,5.41
108.56,5.35
109.64,5.29
110.74,5.23
111.85,5.17
112.97,5.11
114.10,5.05
115.24,4.98
116.39,4.92
117.55,4.86
118.73,4.80
119.92,4.73
121.12,4.67
122.33,4.61
123.55,4.54
124.79,4.48
126.03,4.42
127.29,4.35
128.57,4.29
129.85,4.22
131.15,4.16
132.46,4.10
133.79,4.03
135.12,3.97
136.48,3.90
137.84,3.84
139.22,3.77
140.61,3.71
142.02,3.64
143.44,3.58
144.87,3.51
146.32,3.45
147.78,3.38
149.26,3.32
150.75,3.26
152.26,3.19
153.78,3.13
155.32,3.06
156.88,3.00
158.44,2.93
160.03,2.87
161.63,2.81
163.24,2.74
164.88,2.68
166.53,2.62
168.19,2.55
169.87,2.49
171.57,2.43
173.29,2.36
175.02,2.30
176.77,2.24
178.54,2.18
180.32,2.12
182.13,2.06
183.95,2.00
185.79,1.94
187.65,1.88
189.52,1.82
191.42,1.76
193.33,1.71
195.27,1.65
197.22,1.60
199.19,1.55
201.18,1.50
203.19,1.45
205.23,1.40
207.28,1.35
209.35,1.30
211.44,1.25
213.56,1.20
215.69,1.15
217.85,1.11
220.03,1.06
222.23,1.02
224.45,0.97
226.70,0.93
228.96,0.88
231.25,0.84
233.57,0.80
235.90,0.76
238.26,0.72
240.64,0.68
243.05,0.64
245.48,0.60
247.93,0.56
250.41,0.52
252.92,0.48
255.45,0.45
258.00,0.41
260.58,0.38
263.19,0.34
265.82,0.31
268.48,0.28
271.16,0.25
273.87,0.23
276.61,0.20
279.38,0.18
282.17,0.16
284.99,0.13
287.84,0.11
290.72,0.09
293.63,0.07
296.57,0.05
299.53,0.03
302.53,0.01
305.55,-0.00
308.61,-0.02
311.69,-0.03
314.81,-0.05
317.96,-0.06
321.14,-0.08
324.35,-0.09
327.59,-0.10
330.87,-0.11
334.18,-0.12
337.52,-0.13
340.90,-0.15
344.30,-0.16
347.75,-0.17
351.23,-0.18
354.74,-0.19
358.28,-0.21
361.87,-0.22
365.49,-0.23
369.14,-0.24
372.83,-0.25
376.56,-0.26
380.33,-0.27
384.13,-0.28
387.97,-0.29
391.85,-0.30
395.77,-0.31
399.73,-0.32
403.72,-0.33
407.76,-0.34
411.84,-0.35
415.96,-0.36
420.12,-0.37
424.32,-0.38
428.56,-0.39
432.85,-0.39
437.18,-0.40
441.55,-0.41
445.96,-0.41
450.42,-0.42
454.93,-0.42
459.48,-0.42
464.07,-0.43
468.71,-0.43
473.40,-0.44
478.13,-0.45
482.91,-0.45
487.74,-0.46
492.62,-0.47
497.55,-0.48
502.52,-0.49
507.55,-0.51
512.62,-0.52
517.75,-0.53
522.93,-0.55
528.16,-0.56
533.44,-0.58
538.77,-0.59
544.16,-0.61
549.60,-0.63
555.10,-0.66
560.65,-0.68
566.25,-0.70
571.92,-0.73
577.64,-0.75
583.41,-0.78
589.25,-0.81
595.14,-0.83
601.09,-0.85
607.10,-0.87
613.17,-0.89
619.30,-0.90
625.50,-0.90
631.75,-0.90
638.07,-0.90
644.45,-0.89
650.89,-0.88
657.40,-0.86
663.98,-0.85
670.62,-0.83
677.32,-0.82
684.10,-0.81
690.94,-0.79
697.85,-0.78
704.83,-0.78
711.87,-0.77
718.99,-0.76
726.18,-0.76
733.44,-0.75
740.78,-0.75
748.19,-0.74
755.67,-0.73
763.23,-0.73
770.86,-0.72
778.57,-0.72
786.35,-0.71
794.22,-0.70
802.16,-0.69
810.18,-0.68
818.28,-0.67
826.46,-0.66
834.73,-0.64
843.08,-0.62
851.51,-0.60
860.02,-0.58
868.62,-0.56
877.31,-0.54
886.08,-0.51
894.94,-0.48
903.89,-0.45
912.93,-0.42
922.06,-0.38
931.28,-0.34
940.59,-0.30
950.00,-0.26
959.50,-0.21
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.16
1039.00,0.22
1049.39,0.28
1059.88,0.34
1070.48,0.40
1081.19,0.46
1092.00,0.52
1102.92,0.59
1113.95,0.66
1125.09,0.73
