frequency,raw
20.00,-25.57
20.20,-25.42
20.40,-25.27
20.61,-25.12
20.81,-24.96
21.02,-24.80
21.23,-24.65
21.44,-24.50
21.66,-24.35
21.87,-24.20
22.09,-24.07
22.31,-23.93
22.54,-23.81
22.76,-23.69
22.99,-23.58
23.22,-23.49
23.45,-23.40
23.69,-23.31
23.92,-23.21
24.16,-23.11
24.40,-22.99
24.65,-22.86
24.89,-22.72
25.14,-22.57
25.39,-22.41
25.65,-22.26
25.91,-22.11
26.16,-21.97
26.43,-21.82
26.69,-21.67
26.96,-21.52
27.23,-21.37
27.50,-21.22
27.77,-21.07
28.05,-20.93
28.33,-20.80
28.62,-20.68
28.90,-20.56
29.19,-20.43
29.48,-20.31
29.78,-20.15
30.08,-19.99
30.38,-19.81
30.68,-19.63
30.99,-19.47
31.30,-19.32
31.61,-19.18
31.93,-19.03
32.24,-18.88
32.57,-18.72
32.89,-18.56
33.22,-18.42
33.55,-18.30
33.89,-18.22
34.23,-18.15
34.57,-18.10
34.92,-18.03
35.27,-17.93
35.62,-17.81
35.97,-17.68
36.33,-17.54
36.70,-17.41
37.06,-17.28
37.43,-17.13
37.81,-16.97
38.19,-16.82
38.57,-16.66
38.95,-16.51
39.34,-16.36
39.74,-16.20
40.14,-16.04
40.54,-15.87
40.94,-15.71
41.35,-15.55
41.76,-15.39
42.18,-15.24
42.60,-15.08
43.03,-14.92
43.46,-14.76
43.90,-14.61
44.33,-14.48
44.78,-14.35
45.23,-14.21
45.68,-14.08
46.13,-13.94
46.60,-13.81
47.06,-13.68
47.53,-13.56
48.01,-13.43
48.49,-13.32
48.97,-13.22
49.46,-13.11
49.96,-12.95
50.46,-12.74
50.96,-12.53
51.47,-12.33
51.99,-12.15
52.51,-11.99
53.03,-11.83
53.56,-11.66
54.10,-11.49
54.64,-11.33
55.18,-11.17
55.74,-11.01
56.29,-10.84
56.86,-10.68
57.42,-10.53
58.00,-10.37
58.58,-10.22
59.16,-10.07
59.76,-9.91
60.35,-9.76
60.96,-9.60
61.57,-9.44
62.18,-9.28
62.80,-9.12
63.43,-8.96
64.07,-8.80
64.71,-8.65
65.35,-8.49
66.01,-8.33
66.67,-8.16
67.33,-7.99
68.01,-7.82
68.69,-7.66
69.37,-7.51
70.07,-7.35
70.77,-7.19
71.48,-7.03
72.19,-6.87
72.91,-6.71
73.64,-6.54
74.38,-6.38
75.12,-6.21
75.87,-6.05
76.63,-5.89
77.40,-5.73
78.17,-5.57
78.95,-5.41
79.74,-5.24
80.54,-5.08
81.35,-4.92
82.16,-4.76
82.98,-4.60
83.81,-4.44
84.65,-4.28
85.50,-4.12
86.35,-3.96
87.22,-3.81
88.09,-3.65
88.97,-3.49
89.86,-3.33
90.76,-3.18
91.66,-3.02
92.58,-2.87
93.51,-2.71
94.44,-2.56
95.39,-2.41
96.34,-2.26
97.30,-2.12
98.28,-1.97
99.26,-1.83
100.25,-1.69
101.25,-1.55
102.27,-1.41
103.29,-1.28
104.32,-1.14
105.37,-1.01
106.42,-0.88
107.48,-0.75
108.56,-0.62
109.64,-0.50
110.74,-0.38
111.85,-0.26
112.97,-0.14
114.10,-0.03
115.24,0.09
116.39,0.19
117.55,0.30
118.73,0.40
119.92,0.50
121.12,0.60
122.33,0.69
123.55,0.78
124.79,0.87
126.03,0.95
127.29,1.03
128.57,1.11
129.85,1.18
131.15,1.25
132.46,1.32
133.79,1.38
135.12,1.43
136.48,1.49
137.84,1.54
139.22,1.59
140.61,1.63
142.02,1.67
143.44,1.71
144.87,1.74
146.32,1.77
147.78,1.80
149.26,1.82
150.75,1.84
152.26,1.86
153.78,1.87
155.32,1.88
156.88,1.89
158.44,1.89
160.03,1.89
161.63,1.89
163.24,1.89
164.88,1.88
166.53,1.87
168.19,1.86
169.87,1.85
171.57,1.84
173.29,1.82
175.02,1.80
176.77,1.78
178.54,1.76
180.32,1.73
182.13,1.71
183.95,1.68
185.79,1.65
187.65,1.62
189.52,1.59
191.42,1.56
193.33,1.53
195.27,1.50
197.22,1.47
199.19,1.44
201.18,1.41
203.19,1.37
205.23,1.34
207.28,1.30
209.35,1.27
211.44,1.23
213.56,1.20
215.69,1.16
217.85,1.12
220.03,1.09
222.23,1.05
224.45,1.01
226.70,0.98
228.96,0.94
231.25,0.90
233.57,0.87
235.90,0.83
238.26,0.80
240.64,0.76
243.05,0.72
245.48,0.69
247.93,0.65
250.41,0.61
252.92,0.58
255.45,0.54
258.00,0.50
260.58,0.46
263.19,0.42
265.82,0.38
268.48,0.34
271.16,0.30
273.87,0.26
276.61,0.23
279.38,0.19
282.17,0.15
284.99,0.12
287.84,0.08
290.72,0.04
293.63,0.00
296.57,-0.04
299.53,-0.09
302.53,-0.13
305.55,-0.18
308.61,-0.22
311.69,-0.26
314.81,-0.30
317.96,-0.33
321.14,-0.36
324.35,-0.39
327.59,-0.41
330.87,-0.43
334.18,-0.45
337.52,-0.47
340.90,-0.49
344.30,-0.50
347.75,-0.52
351.23,-0.54
354.74,-0.56
358.28,-0.59
361.87,-0.62
365.49,-0.65
369.14,-0.69
372.83,-0.73
376.56,-0.77
380.33,-0.80
384.13,-0.83
387.97,-0.85
391.85,-0.87
395.77,-0.89
399.73,-0.91
403.72,-0.93
407.76,-0.96
411.84,-0.98
415.96,-1.00
420.12,-1.02
424.32,-1.04
428.56,-1.07
432.85,-1.09
437.18,-1.11
441.55,-1.12
445.96,-1.14
450.42,-1.15
454.93,-1.15
459.48,-1.12
464.07,-1.06
468.71,-0.97
473.40,-0.83
478.13,-0.65
482.91,-0.47
487.74,-0.30
492.62,-0.16
497.55,-0.06
502.52,-0.00
507.55,0.04
512.62,0.07
517.75,0.09
522.93,0.10
528.16,0.10
533.44,0.09
538.77,0.07
544.16,0.05
549.60,0.03
555.10,0.01
560.65,-0.01
566.25,-0.02
571.92,-0.03
577.64,-0.04
583.41,-0.05
589.25,-0.05
595.14,-0.05
601.09,-0.05
607.10,-0.05
613.17,-0.04
619.30,-0.03
625.50,-0.02
631.75,-0.01
638.07,-0.01
644.45,-0.01
650.89,-0.01
657.40,-0.02
663.98,-0.02
670.62,-0.02
677.32,-0.02
684.10,0.00
690.94,0.02
697.85,0.06
704.83,0.10
711.87,0.14
718.99,0.18
726.18,0.21
733.44,0.24
740.78,0.26
748.19,0.27
755.67,0.27
763.23,0.27
770.86,0.26
778.57,0.26
786.35,0.25
794.22,0.24
802.16,0.23
810.18,0.22
