frequency,raw
20.00,6.29
20.20,6.31
20.40,6.33
20.61,6.34
20.81,6.36
21.02,6.37
21.23,6.39
21.44,6.40
21.66,6.41
21.87,6.43
22.09,6.44
22.31,6.45
22.54,6.46
22.76,6.47
22.99,6.48
23.22,6.49
23.45,6.49
23.69,6.50
23.92,6.51
24.16,6.52
24.40,6.52
24.65,6.53
24.89,6.53
25.14,6.54
25.39,6.54
25.65,6.55
25.91,6.55
26.16,6.55
26.43,6.56
26.69,6.55
26.96,6.55
27.23,6.55
27.50,6.54
27.77,6.53
28.05,6.52
28.33,6.51
28.62,6.50
28.90,6.50
29.19,6.48
29.48,6.47
29.78,6.46
30.08,6.45
30.38,6.44
30.68,6.43
30.99,6.42
31.30,6.40
31.61,6.39
31.93,6.38
32.24,6.36
32.57,6.34
32.89,6.33
33.22,6.31
33.55,6.30
33.89,6.28
34.23,6.27
34.57,6.25
34.92,6.23
35.27,6.22
35.62,6.20
35.97,6.18
36.33,6.16
36.70,6.14
37.06,6.12
37.43,6.09
37.81,6.07
38.19,6.05
38.57,6.02
38.95,5.99
39.34,5.97
39.74,5.94
40.14,5.91
40.54,5.88
40.94,5.85
41.35,5.82
41.76,5.79
42.18,5.77
42.60,5.74
43.03,5.71
43.46,5.68
43.90,5.65
44.33,5.62
44.78,5.59
45.23,5.56
45.68,5.54
46.13,5.51
46.60,5.48
47.06,5.45
47.53,5.42
48.01,5.39
48.49,5.36
48.97,5.33
49.46,5.29
49.96,5.26
50.46,5.23
50.96,5.19
51.47,5.16
51.99,5.12
52.51,5.09
53.03,5.05
53.56,5.02
54.10,4.98
54.64,4.94
55.18,4.90
55.74,4.86
56.29,4.83
56.86,4.79
57.42,4.75
58.00,4.71
58.58,4.67
59.16,4.63
59.76,4.59
60.35,4.55
60.96,4.51
61.57,4.47
62.18,4.43
62.80,4.38
63.43,4.34
64.07,4.30
64.71,4.26
65.35,4.22
66.01,4.18
66.67,4.14
67.33,4.10
68.01,4.06
68.69,4.02
69.37,3.97
70.07,3.93
70.77,3.89
71.48,3.85
72.19,3.81
72.91,3.77
73.64,3.72
74.38,3.68
75.12,3.64
75.87,3.59
76.63,3.55
77.40,3.51
78.17,3.47
78.95,3.43
79.74,3.38
80.54,3.34
81.35,3.30
82.16,3.26
82.98,3.22
83.81,3.18
84.65,3.14
85.50,3.09
86.35,3.05
87.22,3.01
