frequency,raw
20.00,2.31
20.20,2.36
20.40,2.40
20.61,2.44
20.81,2.48
21.02,2.53
21.23,2.57
21.44,2.61
21.66,2.64
21.87,2.68
22.09,2.72
22.31,2.75
22.54,2.79
22.76,2.82
22.99,2.86
23.22,2.89
23.45,2.92
23.69,2.96
23.92,2.99
24.16,3.02
24.40,3.05
24.65,3.08
24.89,3.11
25.14,3.14
25.39,3.17
25.65,3.20
25.91,3.23
26.16,3.25
26.43,3.28
26.69,3.30
26.96,3.32
27.23,3.34
27.50,3.35
27.77,3.36
28.05,3.38
28.33,3.39
28.62,3.40
28.90,3.41
29.19,3.43
29.48,3.44
29.78,3.44
30.08,3.45
30.38,3.46
30.68,3.47
30.99,3.48
31.30,3.49
31.61,3.50
31.93,3.50
32.24,3.50
32.57,3.50
32.89,3.51
33.22,3.51
33.55,3.52
33.89,3.53
34.23,3.53
34.57,3.53
34.92,3.52
35.27,3.51
35.62,3.51
35.97,3.51
36.33,3.53
36.70,3.55
37.06,3.57
37.43,3.57
37.81,3.56
38.19,3.54
38.57,3.52
38.95,3.51
39.34,3.51
39.74,3.50
40.14,3.49
40.54,3.47
40.94,3.45
41.35,3.43
41.76,3.42
42.18,3.41
42.60,3.40
43.03,3.39
43.46,3.38
43.90,3.37
44.33,3.35
44.78,3.34
45.23,3.33
45.68,3.31
46.13,3.30
46.60,3.29
47.06,3.28
47.53,3.27
48.01,3.26
48.49,3.24
48.97,3.22
49.46,3.19
49.96,3.16
50.46,3.14
50.96,3.12
51.47,3.10
51.99,3.07
52.51,3.05
53.03,3.02
53.56,2.99
54.10,2.97
54.64,2.94
55.18,2.92
55.74,2.90
56.29,2.88
56.86,2.86
57.42,2.84
58.00,2.81
58.58,2.78
59.16,2.75
59.76,2.72
60.35,2.69
60.96,2.67
61.57,2.64
62.18,2.61
62.80,2.59
63.43,2.57
64.07,2.55
64.71,2.53
65.35,2.50
66.01,2.47
66.67,2.43
67.33,2.40
68.01,2.37
68.69,2.34
69.37,2.30
70.07,2.25
70.77,2.21
71.48,2.18
72.19,2.16
72.91,2.13
73.64,2.11
74.38,2.07
75.12,2.03
75.87,1.99
76.63,1.94
77.40,1.91
78.17,1.88
78.95,1.86
79.74,1.83
80.54,1.80
81.35,1.78
82.16,1.75
82.98,1.72
83.81,1.70
84.65,1.67
85.50,1.64
86.35,1.60
87.22,1.57
88.09,1.53
88.97,1.49
89.86,1.46
90.76,1.42
91.66,1.38
92.58,1.34
93.51,1.31
94.44,1.27
95.39,1.24
96.34,1.20
97.30,1.16
98.28,1.12
99.26,1.08
100.25,1.03
101.25,0.98
102.27,0.94
103.29,0.90
104.32,0.86
105.37,0.82
106.42,0.78
107.48,0.75
