frequency,raw
20.00,4.25
20.20,4.25
20.40,4.24
20.61,4.23
20.81,4.23
21.02,4.23
21.23,4.22
21.44,4.22
21.66,4.22
21.87,4.21
22.09,4.21
22.31,4.21
22.54,4.21
22.76,4.21
22.99,4.21
23.22,4.21
23.45,4.22
23.69,4.22
23.92,4.23
24.16,4.23
24.40,4.24
24.65,4.25
24.89,4.25
25.14,4.26
25.39,4.26
25.65,4.26
25.91,4.26
26.16,4.26
26.43,4.26
26.69,4.25
26.96,4.25
27.23,4.24
27.50,4.23
27.77,4.21
28.05,4.20
28.33,4.19
28.62,4.17
28.90,4.16
29.19,4.15
29.48,4.13
29.78,4.12
30.08,4.11
30.38,4.10
30.68,4.09
30.99,4.08
31.30,4.07
31.61,4.06
31.93,4.05
32.24,4.04
32.57,4.02
32.89,4.01
33.22,4.00
33.55,3.98
33.89,3.97
34.23,3.96
34.57,3.95
34.92,3.94
35.27,3.94
35.62,3.93
35.97,3.92
36.33,3.90
36.70,3.88
37.06,3.86
37.43,3.83
37.81,3.81
38.19,3.79
38.57,3.77
38.95,3.75
39.34,3.73
39.74,3.71
40.14,3.71
40.54,3.70
40.94,3.68
41.35,3.66
41.76,3.62
42.18,3.59
42.60,3.56
43.03,3.54
43.46,3.52
43.90,3.50
44.33,3.48
44.78,3.46
45.23,3.44
45.68,3.42
46.13,3.40
46.60,3.38
47.06,3.37
47.53,3.34
48.01,3.32
48.49,3.30
48.97,3.28
49.46,3.26
49.96,3.24
50.46,3.21
50.96,3.18
51.47,3.15
51.99,3.12
52.51,3.09
53.03,3.06
53.56,3.03
54.10,3.01
54.64,2.98
55.18,2.95
55.74,2.92
56.29,2.89
56.86,2.86
57.42,2.83
58.00,2.79
58.58,2.76
59.16,2.73
59.76,2.69
60.35,2.66
60.96,2.62
61.57,2.59
62.18,2.55
62.80,2.52
63.43,2.48
64.07,2.45
64.71,2.42
65.35,2.38
66.01,2.35
66.67,2.32
67.33,2.28
68.01,2.25
68.69,2.21
69.37,2.18
70.07,2.15
70.77,2.11
71.48,2.08
72.19,2.04
72.91,2.01
73.64,1.98
74.38,1.94
75.12,1.91
75.87,1.87
76.63,1.84
77.40,1.80
78.17,1.77
78.95,1.73
79.74,1.69
80.54,1.65
81.35,1.61
82.16,1.57
82.98,1.53
83.81,1.49
84.65,1.45
85.50,1.41
86.35,1.38
87.22,1.34
88.09,1.30
88.97,1.26
89.86,1.23
90.76,1.19
91.66,1.15
92.58,1.10
93.51,1.06
94.44,1.02
95.39,0.98
96.34,0.93
97.30,0.89
98.28,0.84
99.26,0.80
100.25,0.75
101.25,0.71
102.27,0.66
103.29,0.62
104.32,0.58
105.37,0.53
106.42,0.49
107.48,0.45
108.56,0.40
109.64,0.36
110.74,0.31
111.85,0.27
112.97,0.23
114.10,0.18
115.24,0.14
116.39,0.10
117.55,0.06
118.73,0.01
119.92,-0.03
121.12,-0.08
122.33,-0.13
