frequency,raw
20.00,7.71
20.20,7.69
20.40,7.67
20.61,7.65
20.81,7.62
21.02,7.59
21.23,7.56
21.44,7.52
21.66,7.48
21.87,7.43
22.09,7.38
22.31,7.33
22.54,7.28
22.76,7.23
22.99,7.17
23.22,7.12
23.45,7.06
23.69,7.00
23.92,6.95
24.16,6.89
24.40,6.83
24.65,6.78
24.89,6.72
25.14,6.66
25.39,6.60
25.65,6.54
25.91,6.49
26.16,6.43
26.43,6.38
26.69,6.32
26.96,6.26
27.23,6.20
27.50,6.15
27.77,6.10
28.05,6.05
28.33,6.00
28.62,5.96
28.90,5.91
29.19,5.87
29.48,5.83
29.78,5.78
30.08,5.74
30.38,5.69
30.68,5.65
30.99,5.61
31.30,5.57
31.61,5.53
31.93,5.50
32.24,5.47
32.57,5.45
32.89,5.43
33.22,5.41
33.55,5.40
33.89,5.39
34.23,5.38
34.57,5.38
34.92,5.37
35.27,5.36
35.62,5.34
35.97,5.33
36.33,5.32
36.70,5.32
37.06,5.32
37.43,5.32
37.81,5.32
38.19,5.33
38.57,5.34
38.95,5.35
39.34,5.35
39.74,5.36
40.14,5.37
40.54,5.38
40.94,5.39
41.35,5.40
41.76,5.41
42.18,5.41
42.60,5.42
43.03,5.42
43.46,5.41
43.90,5.41
44.33,5.41
44.78,5.41
45.23,5.40
45.68,5.40
46.13,5.40
46.60,5.40
47.06,5.39
47.53,5.39
48.01,5.38
48.49,5.37
48.97,5.36
49.46,5.34
49.96,5.32
50.46,5.30
50.96,5.28
51.47,5.26
51.99,5.23
52.51,5.20
53.03,5.17
53.56,5.13
54.10,5.10
54.64,5.07
55.18,5.03
55.74,5.00
56.29,4.97
56.86,4.93
57.42,4.90
58.00,4.87
58.58,4.84
59.16,4.81
59.76,4.78
60.35,4.75
60.96,4.72
61.57,4.69
62.18,4.66
62.80,4.63
63.43,4.60
64.07,4.57
64.71,4.55
65.35,4.52
66.01,4.49
66.67,4.46
67.33,4.44
68.01,4.41
68.69,4.38
69.37,4.35
70.07,4.33
70.77,4.30
71.48,4.28
72.19,4.25
72.91,4.23
73.64,4.21
74.38,4.18
75.12,4.16
75.87,4.13
76.63,4.11
77.40,4.08
78.17,4.05
78.95,4.02
79.74,3.99
80.54,3.96
81.35,3.93
82.16,3.90
82.98,3.87
83.81,3.84
84.65,3.80
85.50,3.77
86.35,3.74
87.22,3.71
88.09,3.68
88.97,3.65
89.86,3.61
90.76,3.58
91.66,3.54
92.58,3.51
93.51,3.47
94.44,3.43
95.39,3.39
96.34,3.36
97.30,3.32
98.28,3.28
99.26,3.24
100.25,3.20
101.25,3.16
102.27,3.12
103.29,3.08
104.32,3.03
105.37,2.99
106.42,2.95
107.48,2.91
108.56,2.87
109.64,2.82
110.74,2.78
111.85,2.73
112.97,2.69
114.10,2.64
115.24,2.60
116.39,2.55
117.55,2.50
118.73,2.46
119.92,2.41
121.12,2.36
122.33,2.31
123.55,2.27
124.79,2.22
126.03,2.17
127.29,2.12
128.57,2.07
129.85,2.02
131.15,1.97
132.46,1.92
133.79,1.86
135.12,1.81
136.48,1.76
137.84,1.71
139.22,1.66
140.61,1.61
142.02,1.55
143.44,1.50
144.87,1.45
146.32,1.40
147.78,1.34
149.26,1.29
150.75,1.24
152.26,1.19
153.78,1.13
155.32,1.08
156.88,1.02
158.44,0.97
160.03,0.91
161.63,0.85
163.24,0.80
164.88,0.75
166.53,0.69
168.19,0.64
169.87,0.59
171.57,0.54
173.29,0.48
175.02,0.43
176.77,0.37
178.54,0.32
180.32,0.26
182.13,0.20
183.95,0.15
185.79,0.09
187.65,0.03
189.52,-0.02
191.42,-0.08
193.33,-0.13
195.27,-0.19
197.22,-0.24
199.19,-0.30
201.18,-0.35
203.19,-0.40
205.23,-0.45
207.28,-0.50
209.35,-0.55
211.44,-0.60
213.56,-0.65
215.69,-0.70
217.85,-0.75
220.03,-0.79
222.23,-0.84
224.45,-0.89
226.70,-0.93
228.96,-0.97
231.25,-1.00
233.57,-1.04
235.90,-1.06
238.26,-1.08
240.64,-1.10
243.05,-1.12
245.48,-1.14
247.93,-1.15
250.41,-1.16
252.92,-1.17
255.45,-1.17
258.00,-1.17
260.58,-1.16
263.19,-1.15
265.82,-1.14
268.48,-1.12
271.16,-1.11
273.87,-1.10
276.61,-1.08
279.38,-1.06
282.17,-1.03
284.99,-1.01
287.84,-0.97
290.72,-0.94
293.63,-0.90
296.57,-0.86
299.53,-0.82
302.53,-0.77
305.55,-0.73
308.61,-0.68
311.69,-0.63
314.81,-0.57
317.96,-0.52
321.14,-0.47
324.35,-0.41
327.59,-0.35
330.87,-0.29
334.18,-0.24
337.52,-0.18
340.90,-0.12
344.30,-0.06
347.75,0.00
351.23,0.06
354.74,0.12
358.28,0.18
361.87,0.24
365.49,0.30
369.14,0.36
372.83,0.42
376.56,0.47
380.33,0.53
384.13,0.58
387.97,0.64
391.85,0.69
395.77,0.74
399.73,0.78
403.72,0.82
407.76,0.87
411.84,0.90
415.96,0.94
420.12,0.97
424.32,1.00
428.56,1.03
432.85,1.06
437.18,1.09
441.55,1.11
445.96,1.13
450.42,1.15
454.93,1.17
459.48,1.18
464.07,1.19
468.71,1.21
473.40,1.22
478.13,1.23
482.91,1.24
487.74,1.25
492.62,1.26
497.55,1.26
502.52,1.27
507.55,1.28
512.62,1.28
517.75,1.29
522.93,1.29
528.16,1.29
533.44,1.30
538.77,1.30
544.16,1.29
549.60,1.29
555.10,1.28
560.65,1.26
566.25,1.26
571.92,1.25
577.64,1.25
583.41,1.25
589.25,1.24
595.14,1.23
601.09,1.22
607.10,1.21
613.17,1.20
619.30,1.19
625.50,1.18
631.75,1.16
638.07,1.14
644.45,1.12
650.89,1.10
657.40,1.08
663.98,1.05
670.62,1.02
677.32,1.00
684.10,0.96
690.94,0.93
697.85,0.90
704.83,0.87
711.87,0.84
718.99,0.80
726.18,0.77
733.44,0.74
740.78,0.71
748.19,0.68
755.67,0.65
763.23,0.62
770.86,0.59
778.57,0.55
786.35,0.51
794.22,0.48
802.16,0.44
810.18,0.41
818.28,0.37
826.46,0.33
834.73,0.30
843.08,0.26
851.51,0.22
860.02,0.19
868.62,0.16
877.31,0.13
886.08,0.10
894.94,0.08
903.89,0.06
912.93,0.05
922.06,0.04
931.28,0.02
940.59,-0.00
950.00,-0.02
959.50,-0.02
969.09,-0.02
978.78,-0.02
988.57,-0.01
998.46,-0.00
1008.44,0.01
1018.53,0.03
1028.71,0.05
1039.00,0.08
1049.39,0.10
1059.88,0.13
1070.48,0.16
1081.19,0.19
1092.00,0.22
1102.92,0.26
1113.95,0.30
1125.09,0.34
1136.34,0.38
1147.70,0.42
1159.18,0.46
1170.77,0.50
1182.48,0.54
1194.30,0.58
1206.25,0.62
1218.31,0.67
1230.49,0.71
1242.80,0.76
1255.22,0.81
1267.78,0.85
1280.45,0.90
1293.26,0.95
1306.19,1.01
1319.25,1.06
1332.45,1.11
1345.77,1.16
1359.23,1.22
1372.82,1.27
1386.55,1.33
1400.41,1.38
1414.42,1.44
1428.56,1.49
1442.85,1.55
1457.28,1.60
1471.85,1.65
1486.57,1.71
1501.43,1.77
1516.45,1.83
1531.61,1.90
1546.93,1.96
1562.40,2.03
1578.02,2.10
1593.80,2.17
1609.74,2.24
1625.84,2.32
1642.10,2.40
1658.52,2.49
1675.10,2.57
1691.85,2.66
1708.77,2.76
1725.86,2.86
1743.12,2.96
1760.55,3.07
1778.15,3.18
1795.94,3.29
1813.90,3.41
1832.03,3.53
1850.36,3.65
1868.86,3.77
1887.55,3.89
1906.42,4.01
1925.49,4.13
1944.74,4.25
1964.19,4.38
1983.83,4.51
2003.67,4.65
2023.71,4.77
2043.94,4.90
2064.38,5.02
2085.03,5.14
2105.88,5.26
2126.94,5.38
2148.20,5.50
2169.69,5.62
2191.38,5.73
2213.30,5.84
2235.43,5.95
2257.78,6.05
2280.36,6.16
2303.17,6.26
2326.20,6.36
2349.46,6.46
2372.95,6.56
2396.68,6.65
2420.65,6.74
2444.86,6.82
2469.31,6.91
2494.00,6.99
2518.94,7.06
2544.13,7.14
2569.57,7.20
2595.27,7.27
2621.22,7.33
2647.43,7.38
2673.90,7.42
2700.64,7.46
2727.65,7.50
2754.93,7.53
2782.48,7.55
2810.30,7.56
2838.40,7.58
2866.79,7.58
2895.46,7.58
2924.41,7.57
2953.65,7.56
2983.19,7.55
3013.02,7.53
3043.15,7.50
3073.58,7.48
3104.32,7.46
3135.36,7.44
3166.72,7.41
3198.38,7.39
3230.37,7.34
3262.67,7.31
3295.30,7.27
3328.25,7.25
3361.53,7.22
3395.15,7.19
3429.10,7.17
3463.39,7.15
3498.03,7.13
3533.01,7.11
3568.34,7.10
3604.02,7.08
3640.06,7.07
3676.46,7.05
3713.22,7.04
3750.36,7.02
3787.86,7.00
3825.74,6.98
3864.00,6.97
3902.64,6.95
3941.66,6.94
3981.08,6.92
4020.89,6.90
4061.10,6.89
4101.71,6.87
4142.73,6.86
4184.15,6.84
4226.00,6.82
4268.26,6.80
4310.94,6.78
4354.05,6.75
4397.59,6.73
4441.56,6.69
4485.98,6.66
4530.84,6.62
4576.15,6.58
4621.91,6.53
4668.13,6.47
4714.81,6.40
4761.96,6.33
4809.58,6.26
4857.67,6.19
4906.25,6.12
4955.31,6.06
5004.87,6.01
5054.91,5.99
5105.46,5.97
5156.52,5.96
5208.08,5.97
5260.16,5.97
5312.77,5.97
5365.89,5.95
5419.55,5.92
5473.75,5.86
5528.49,5.77
5583.77,5.66
5639.61,5.54
5696.00,5.40
5752.96,5.24
5810.49,5.07
5868.60,4.90
5927.28,4.74
5986.56,4.58
6046.42,4.43
6106.89,4.30
6167.96,4.19
6229.64,4.10
6291.93,4.04
6354.85,4.00
6418.40,3.97
6482.58,3.95
6547.41,3.95
6612.88,3.95
6679.01,3.96
6745.80,3.99
6813.26,4.02
6881.39,4.07
6950.21,4.12
7019.71,4.17
7089.91,4.23
7160.81,4.28
7232.41,4.33
7304.74,4.37
7377.79,4.36
7451.56,4.28
7526.08,4.11
7601.34,3.83
7677.35,3.40
7754.13,2.90
7831.67,2.24
7909.98,1.55
7989.08,0.81
8068.98,0.08
8149.67,-0.63
8231.16,-1.32
8313.47,-1.94
8396.61,-2.54
8480.57,-3.08
8565.38,-3.59
8651.03,-4.06
8737.54,-4.51
8824.92,-4.93
8913.17,-5.31
9002.30,-5.68
9092.32,-6.01
9183.25,-6.33
9275.08,-6.62
9367.83,-6.89
9461.51,-7.13
9556.12,-7.35
9651.68,-7.54
9748.20,-7.71
