frequency,raw
20.00,-0.27
20.20,-0.28
20.40,-0.28
20.61,-0.28
20.81,-0.29
21.02,-0.29
21.23,-0.29
21.44,-0.29
21.66,-0.28
21.87,-0.28
22.09,-0.27
22.31,-0.27
22.54,-0.26
22.76,-0.25
22.99,-0.24
23.22,-0.22
23.45,-0.21
23.69,-0.20
23.92,-0.18
24.16,-0.17
24.40,-0.15
24.65,-0.13
24.89,-0.11
25.14,-0.09
25.39,-0.07
25.65,-0.05
25.91,-0.03
26.16,-0.00
26.43,0.02
26.69,0.04
26.96,0.06
27.23,0.08
27.50,0.10
27.77,0.12
28.05,0.13
28.33,0.15
28.62,0.17
28.90,0.19
29.19,0.21
29.48,0.23
29.78,0.24
30.08,0.26
30.38,0.28
30.68,0.31
30.99,0.33
31.30,0.35
31.61,0.37
31.93,0.39
32.24,0.41
32.57,0.43
32.89,0.45
33.22,0.47
33.55,0.49
33.89,0.50
34.23,0.52
34.57,0.54
34.92,0.56
35.27,0.58
35.62,0.60
35.97,0.61
36.33,0.63
36.70,0.65
37.06,0.66
37.43,0.68
37.81,0.69
38.19,0.70
38.57,0.71
38.95,0.72
39.34,0.73
39.74,0.73
40.14,0.73
40.54,0.73
40.94,0.73
41.35,0.73
41.76,0.73
42.18,0.73
42.60,0.73
43.03,0.73
43.46,0.73
43.90,0.74
44.33,0.74
44.78,0.75
45.23,0.75
45.68,0.75
46.13,0.76
46.60,0.76
47.06,0.76
47.53,0.77
48.01,0.77
48.49,0.77
48.97,0.78
49.46,0.78
49.96,0.77
50.46,0.75
50.96,0.74
51.47,0.74
51.99,0.74
52.51,0.73
53.03,0.73
53.56,0.72
54.10,0.71
54.64,0.70
55.18,0.69
55.74,0.68
56.29,0.67
56.86,0.66
57.42,0.64
58.00,0.63
58.58,0.62
59.16,0.61
59.76,0.60
60.35,0.58
60.96,0.57
61.57,0.55
62.18,0.53
62.80,0.52
63.43,0.51
64.07,0.49
64.71,0.48
65.35,0.46
66.01,0.45
66.67,0.44
67.33,0.42
68.01,0.41
68.69,0.39
69.37,0.37
70.07,0.36
70.77,0.34
71.48,0.33
72.19,0.31
72.91,0.29
73.64,0.27
74.38,0.24
75.12,0.22
75.87,0.21
76.63,0.19
77.40,0.16
78.17,0.14
78.95,0.12
79.74,0.10
80.54,0.08
81.35,0.06
82.16,0.03
82.98,0.01
83.81,-0.01
84.65,-0.03
85.50,-0.05
86.35,-0.07
87.22,-0.08
88.09,-0.10
88.97,-0.12
89.86,-0.14
90.76,-0.16
91.66,-0.18
92.58,-0.20
93.51,-0.22
94.44,-0.25
95.39,-0.27
96.34,-0.29
97.30,-0.31
98.28,-0.33
99.26,-0.35
100.25,-0.38
101.25,-0.40
102.27,-0.42
103.29,-0.45
104.32,-0.47
105.37,-0.50
106.42,-0.52
107.48,-0.54
108.56,-0.56
109.64,-0.58
110.74,-0.61
111.85,-0.63
112.97,-0.65
114.10,-0.67
115.24,-0.70
116.39,-0.72
117.55,-0.74
118.73,-0.77
119.92,-0.79
121.12,-0.81
122.33,-0.84
123.55,-0.86
124.79,-0.88
126.03,-0.91
127.29,-0.93
128.57,-0.96
129.85,-0.99
131.15,-1.01
132.46,-1.04
133.79,-1.06
135.12,-1.09
136.48,-1.11
137.84,-1.14
139.22,-1.16
140.61,-1.19
142.02,-1.22
143.44,-1.25
144.87,-1.28
146.32,-1.31
147.78,-1.33
149.26,-1.36
150.75,-1.38
152.26,-1.40
153.78,-1.42
155.32,-1.44
156.88,-1.47
158.44,-1.49
160.03,-1.51
161.63,-1.53
163.24,-1.55
164.88,-1.57
166.53,-1.59
168.19,-1.60
169.87,-1.62
171.57,-1.65
173.29,-1.67
175.02,-1.70
176.77,-1.72
178.54,-1.75
180.32,-1.77
182.13,-1.80
183.95,-1.82
185.79,-1.85
187.65,-1.87
189.52,-1.90
191.42,-1.92
193.33,-1.94
195.27,-1.96
197.22,-1.98
199.19,-2.00
201.18,-2.01
203.19,-2.02
205.23,-2.04
207.28,-2.05
209.35,-2.07
211.44,-2.09
213.56,-2.10
215.69,-2.12
217.85,-2.14
220.03,-2.16
222.23,-2.19
224.45,-2.21
226.70,-2.22
228.96,-2.24
231.25,-2.24
233.57,-2.24
235.90,-2.24
238.26,-2.24
240.64,-2.24
243.05,-2.26
245.48,-2.28
247.93,-2.30
250.41,-2.33
252.92,-2.35
255.45,-2.36
258.00,-2.37
260.58,-2.37
263.19,-2.37
265.82,-2.38
268.48,-2.38
271.16,-2.38
273.87,-2.37
276.61,-2.36
279.38,-2.35
282.17,-2.33
284.99,-2.31
287.84,-2.30
290.72,-2.29
293.63,-2.28
296.57,-2.27
299.53,-2.27
302.53,-2.26
305.55,-2.26
308.61,-2.26
311.69,-2.25
314.81,-2.25
317.96,-2.25
321.14,-2.25
324.35,-2.24
327.59,-2.24
330.87,-2.24
334.18,-2.24
337.52,-2.24
340.90,-2.24
344.30,-2.24
347.75,-2.24
351.23,-2.24
354.74,-2.24
358.28,-2.24
361.87,-2.24
365.49,-2.24
369.14,-2.23
372.83,-2.23
376.56,-2.23
380.33,-2.22
384.13,-2.22
387.97,-2.21
391.85,-2.21
395.77,-2.20
399.73,-2.19
403.72,-2.18
407.76,-2.17
411.84,-2.16
415.96,-2.14
420.12,-2.13
424.32,-2.11
428.56,-2.10
432.85,-2.08
437.18,-2.06
441.55,-2.04
445.96,-2.02
450.42,-1.99
454.93,-1.97
459.48,-1.95
464.07,-1.92
468.71,-1.89
473.40,-1.87
478.13,-1.84
482.91,-1.81
487.74,-1.79
492.62,-1.76
497.55,-1.74
502.52,-1.72
507.55,-1.70
512.62,-1.67
517.75,-1.64
522.93,-1.60
528.16,-1.56
533.44,-1.53
538.77,-1.50
544.16,-1.48
549.60,-1.46
555.10,-1.43
560.65,-1.39
566.25,-1.35
571.92,-1.30
577.64,-1.26
583.41,-1.22
589.25,-1.18
595.14,-1.14
601.09,-1.09
607.10,-1.04
613.17,-0.99
619.30,-0.94
625.50,-0.89
631.75,-0.83
638.07,-0.78
644.45,-0.73
650.89,-0.68
657.40,-0.62
663.98,-0.57
670.62,-0.52
677.32,-0.47
684.10,-0.43
690.94,-0.38
697.85,-0.34
704.83,-0.29
711.87,-0.25
718.99,-0.21
726.18,-0.16
733.44,-0.13
740.78,-0.09
748.19,-0.06
755.67,-0.03
763.23,0.00
770.86,0.02
778.57,0.04
786.35,0.06
794.22,0.08
802.16,0.09
810.18,0.11
818.28,0.12
826.46,0.13
834.73,0.14
843.08,0.13
851.51,0.13
860.02,0.11
868.62,0.11
877.31,0.10
886.08,0.11
894.94,0.11
903.89,0.10
912.93,0.09
922.06,0.07
931.28,0.05
940.59,0.03
950.00,0.02
959.50,0.02
969.09,0.01
978.78,0.01
988.57,0.00
998.46,0.00
1008.44,-0.00
1018.53,-0.00
1028.71,-0.01
1039.00,-0.01
1049.39,-0.01
1059.88,-0.02
1070.48,-0.02
1081.19,-0.02
1092.00,-0.02
1102.92,-0.01
1113.95,0.00
1125.09,0.01
1136.34,0.03
1147.70,0.04
1159.18,0.06
1170.77,0.07
1182.48,0.09
1194.30,0.10
1206.25,0.12
1218.31,0.14
1230.49,0.16
1242.80,0.18
1255.22,0.21
1267.78,0.23
1280.45,0.26
1293.26,0.29
1306.19,0.32
1319.25,0.36
1332.45,0.39
1345.77,0.42
1359.23,0.45
1372.82,0.48
1386.55,0.52
1400.41,0.56
1414.42,0.61
1428.56,0.66
1442.85,0.72
1457.28,0.78
1471.85,0.84
1486.57,0.91
1501.43,0.97
1516.45,1.05
1531.61,1.12
1546.93,1.20
1562.40,1.28
1578.02,1.37
1593.80,1.46
1609.74,1.55
1625.84,1.64
1642.10,1.73
1658.52,1.83
1675.10,1.92
1691.85,2.01
1708.77,2.10
1725.86,2.19
1743.12,2.27
1760.55,2.36
1778.15,2.45
1795.94,2.55
1813.90,2.64
1832.03,2.73
1850.36,2.81
1868.86,2.87
1887.55,2.93
1906.42,2.99
1925.49,3.06
1944.74,3.14
1964.19,3.20
1983.83,3.27
2003.67,3.32
2023.71,3.38
2043.94,3.43
2064.38,3.49
2085.03,3.56
2105.88,3.62
2126.94,3.69
2148.20,3.77
2169.69,3.85
2191.38,3.94
2213.30,4.04
2235.43,4.14
2257.78,4.25
2280.36,4.37
2303.17,4.49
2326.20,4.62
2349.46,4.75
2372.95,4.89
2396.68,5.04
2420.65,5.19
2444.86,5.34
2469.31,5.49
2494.00,5.65
2518.94,5.81
2544.13,5.96
2569.57,6.13
2595.27,6.29
2621.22,6.45
2647.43,6.60
2673.90,6.75
2700.64,6.89
2727.65,7.03
2754.93,7.16
2782.48,7.29
2810.30,7.41
2838.40,7.52
2866.79,7.62
2895.46,7.71
2924.41,7.78
2953.65,7.84
2983.19,7.89
3013.02,7.94
3043.15,7.98
3073.58,8.03
3104.32,8.06
3135.36,8.07
3166.72,8.07
3198.38,8.06
3230.37,8.06
3262.67,8.05
3295.30,8.04
3328.25,8.03
3361.53,8.01
3395.15,8.00
3429.10,7.99
3463.39,7.98
3498.03,7.97
3533.01,7.97
3568.34,7.97
3604.02,7.97
3640.06,7.97
3676.46,7.98
3713.22,7.99
3750.36,8.01
3787.86,8.03
3825.74,8.05
3864.00,8.07
3902.64,8.09
3941.66,8.11
3981.08,8.14
4020.89,8.17
4061.10,8.20
4101.71,8.23
4142.73,8.25
4184.15,8.26
4226.00,8.26
4268.26,8.24
4310.94,8.21
4354.05,8.13
4397.59,8.00
4441.56,7.86
4485.98,7.64
4530.84,7.37
4576.15,7.04
4621.91,6.67
4668.13,6.22
4714.81,5.70
4761.96,5.15
4809.58,4.55
4857.67,3.92
4906.25,3.28
4955.31,2.64
5004.87,2.01
5054.91,1.45
5105.46,0.94
5156.52,0.50
5208.08,0.18
5260.16,-0.02
5312.77,-0.14
5365.89,-0.13
5419.55,-0.01
5473.75,0.20
5528.49,0.50
5583.77,0.89
5639.61,1.29
5696.00,1.71
5752.96,2.00
5810.49,2.23
5868.60,2.27
5927.28,2.25
5986.56,2.14
6046.42,2.05
6106.89,1.97
6167.96,1.94
6229.64,1.97
6291.93,2.02
6354.85,2.11
6418.40,2.21
6482.58,2.33
6547.41,2.48
6612.88,2.66
6679.01,2.89
6745.80,3.16
6813.26,3.46
6881.39,3.81
6950.21,4.21
7019.71,4.65
7089.91,5.13
7160.81,5.65
7232.41,6.18
7304.74,6.70
7377.79,7.16
7451.56,7.49
7526.08,7.66
7601.34,7.62
7677.35,7.24
7754.13,6.72
7831.67,5.78
7909.98,4.73
7989.08,3.48
8068.98,2.12
8149.67,0.73
8231.16,-0.68
8313.47,-2.01
8396.61,-3.25
8480.57,-4.29
8565.38,-5.07
8651.03,-5.65
8737.54,-6.04
8824.92,-6.30
8913.17,-6.49
9002.30,-6.67
9092.32,-6.87
9183.25,-7.08
9275.08,-7.31
9367.83,-7.55
9461.51,-7.80
9556.12,-8.05
9651.68,-8.30
9748.20,-8.54
9845.68,-8.76
9944.14,-8.95
10043.58,-9.13
10144.02,-9.29
10245.46,-9.42
10347.91,-9.53
10451.39,-9.61
10555.91,-9.65
10661.46,-9.66
10768.08,-9.64
10875.76,-9.59
10984.52,-9.50
11094.36,-9.37
11205.31,-9.19
11317.36,-8.94
11430.53,-8.66
11544.84,-8.29
11660.29,-7.85
11776.89,-7.37
11894.66,-6.73
12013.60,-6.07
12133.74,-5.29
12255.08,-4.34
12377.63,-3.29
12501.41,-2.13
12626.42,-0.97
12752.68,-0.04
12880.21,0.16
13009.01,-0.04
13139.10,-0.24
13270.49,-1.50
13403.20,-3.00
13537.23,-4.70
13672.60,-6.33
13809.33,-7.88
13947.42,-9.22
14086.90,-10.36
14227.77,-11.37
14370.04,-12.19
14513.74,-12.77
14658.88,-12.98
14805.47,-13.01
14953.52,-12.76
15103.06,-12.20
15254.09,-11.49
15406.63,-10.46
15560.70,-9.35
15716.30,-8.14
15873.47,-7.02
16032.20,-6.06
16192.52,-5.60
16354.45,-5.68
16517.99,-6.12
16683.17,-7.07
16850.01,-8.05
17018.51,-9.03
17188.69,-9.78
17360.58,-10.31
17534.18,-10.66
17709.53,-10.78
17886.62,-10.71
18065.49,-10.51
18246.14,-10.16
18428.60,-9.63
18612.89,-9.03
18799.02,-8.36
18987.01,-7.62
19176.88,-6.88
19368.65,-6.49
19562.33,-6.61
19757.96,-7.40
19955.54,-9.09
