frequency,raw
20.00,8.51
20.20,8.54
20.40,8.57
20.61,8.60
20.81,8.63
21.02,8.66
21.23,8.69
21.44,8.73
21.66,8.76
21.87,8.79
22.09,8.82
22.31,8.85
22.54,8.88
22.76,8.91
22.99,8.94
23.22,8.97
23.45,9.00
23.69,9.03
23.92,9.06
24.16,9.09
24.40,9.12
24.65,9.14
24.89,9.17
25.14,9.21
25.39,9.24
25.65,9.27
25.91,9.29
26.16,9.32
26.43,9.35
26.69,9.37
26.96,9.39
27.23,9.41
27.50,9.43
27.77,9.45
28.05,9.47
28.33,9.48
28.62,9.50
28.90,9.52
29.19,9.53
29.48,9.55
29.78,9.56
30.08,9.58
30.38,9.60
30.68,9.61
30.99,9.63
31.30,9.64
31.61,9.65
31.93,9.67
32.24,9.68
32.57,9.69
32.89,9.71
33.22,9.72
33.55,9.73
33.89,9.75
34.23,9.76
34.57,9.77
34.92,9.78
35.27,9.79
35.62,9.80
35.97,9.81
36.33,9.83
36.70,9.84
37.06,9.85
37.43,9.85
37.81,9.86
38.19,9.87
38.57,9.87
38.95,9.88
39.34,9.89
39.74,9.90
40.14,9.90
40.54,9.90
40.94,9.89
41.35,9.88
41.76,9.88
42.18,9.88
42.60,9.89
43.03,9.89
43.46,9.90
43.90,9.90
44.33,9.90
44.78,9.91
45.23,9.91
45.68,9.91
46.13,9.91
46.60,9.91
47.06,9.91
47.53,9.91
48.01,9.90
48.49,9.91
48.97,9.91
49.46,9.92
49.96,9.93
50.46,9.93
50.96,9.92
51.47,9.91
51.99,9.90
52.51,9.89
53.03,9.88
53.56,9.87
54.10,9.86
54.64,9.85
55.18,9.84
55.74,9.83
56.29,9.82
56.86,9.81
57.42,9.80
58.00,9.79
58.58,9.77
59.16,9.76
59.76,9.75
60.35,9.73
60.96,9.72
61.57,9.71
62.18,9.70
62.80,9.68
63.43,9.67
64.07,9.65
64.71,9.63
65.35,9.61
66.01,9.59
66.67,9.58
67.33,9.56
68.01,9.54
68.69,9.52
69.37,9.50
70.07,9.48
70.77,9.46
71.48,9.44
72.19,9.42
72.91,9.39
73.64,9.37
74.38,9.35
75.12,9.32
75.87,9.30
76.63,9.28
77.40,9.25
78.17,9.23
78.95,9.20
79.74,9.17
80.54,9.15
81.35,9.12
82.16,9.09
82.98,9.06
83.81,9.04
84.65,9.01
85.50,8.98
86.35,8.95
87.22,8.92
88.09,8.89
88.97,8.86
89.86,8.84
90.76,8.81
91.66,8.77
92.58,8.74
93.51,8.71
94.44,8.68
95.39,8.64
96.34,8.61
97.30,8.57
98.28,8.54
99.26,8.50
100.25,8.47
101.25,8.43
102.27,8.39
103.29,8.35
104.32,8.31
105.37,8.27
106.42,8.24
107.48,8.20
108.56,8.16
109.64,8.12
110.74,8.08
111.85,8.04
112.97,8.00
114.10,7.97
115.24,7.92
116.39,7.88
117.55,7.84
118.73,7.80
119.92,7.76
121.12,7.72
122.33,7.68
123.55,7.63
124.79,7.59
126.03,7.55
127.29,7.50
128.57,7.46
129.85,7.41
131.15,7.37
132.46,7.32
133.79,7.28
135.12,7.23
136.48,7.19
137.84,7.14
139.22,7.09
140.61,7.04
142.02,7.00
143.44,6.95
144.87,6.90
146.32,6.85
147.78,6.80
149.26,6.75
150.75,6.70
152.26,6.65
153.78,6.60
155.32,6.55
156.88,6.50
158.44,6.45
160.03,6.39
161.63,6.34
163.24,6.29
164.88,6.23
166.53,6.18
168.19,6.13
169.87,6.07
171.57,6.01
173.29,5.96
175.02,5.90
176.77,5.84
178.54,5.78
180.32,5.72
182.13,5.66
183.95,5.60
185.79,5.54
187.65,5.48
189.52,5.42
191.42,5.36
193.33,5.30
195.27,5.24
197.22,5.18
199.19,5.12
201.18,5.06
203.19,4.99
205.23,4.93
207.28,4.87
209.35,4.80
211.44,4.73
213.56,4.66
215.69,4.60
217.85,4.53
220.03,4.46
222.23,4.39
224.45,4.33
226.70,4.26
228.96,4.20
231.25,4.15
233.57,4.10
235.90,4.06
238.26,4.04
240.64,4.03
243.05,4.02
245.48,4.02
247.93,4.02
250.41,4.02
252.92,4.00
255.45,3.98
258.00,3.95
260.58,3.90
263.19,3.85
265.82,3.79
268.48,3.73
271.16,3.67
273.87,3.60
276.61,3.54
279.38,3.48
282.17,3.42
284.99,3.36
287.84,3.31
290.72,3.26
293.63,3.21
296.57,3.16
299.53,3.11
302.53,3.05
305.55,2.99
308.61,2.94
311.69,2.88
314.81,2.82
317.96,2.76
321.14,2.71
324.35,2.65
327.59,2.59
330.87,2.54
334.18,2.48
337.52,2.42
340.90,2.37
344.30,2.31
347.75,2.25
351.23,2.19
354.74,2.14
358.28,2.08
361.87,2.02
365.49,1.96
369.14,1.91
372.83,1.85
376.56,1.80
380.33,1.74
384.13,1.68
387.97,1.63
391.85,1.57
395.77,1.52
399.73,1.46
403.72,1.41
407.76,1.35
411.84,1.30
415.96,1.24
420.12,1.19
424.32,1.13
428.56,1.08
432.85,1.03
437.18,0.98
441.55,0.93
445.96,0.88
450.42,0.84
454.93,0.79
459.48,0.74
464.07,0.70
468.71,0.65
473.40,0.61
478.13,0.56
482.91,0.52
487.74,0.47
492.62,0.42
497.55,0.38
502.52,0.34
507.55,0.29
512.62,0.25
517.75,0.20
522.93,0.16
528.16,0.12
533.44,0.08
538.77,0.04
544.16,-0.00
549.60,-0.04
555.10,-0.08
560.65,-0.12
566.25,-0.16
571.92,-0.20
577.64,-0.24
583.41,-0.27
589.25,-0.31
595.14,-0.34
601.09,-0.38
607.10,-0.41
613.17,-0.44
619.30,-0.47
625.50,-0.50
631.75,-0.53
638.07,-0.56
644.45,-0.59
650.89,-0.61
657.40,-0.64
663.98,-0.66
670.62,-0.68
677.32,-0.70
684.10,-0.73
690.94,-0.75
697.85,-0.76
704.83,-0.78
711.87,-0.80
718.99,-0.81
726.18,-0.83
733.44,-0.84
740.78,-0.85
748.19,-0.85
755.67,-0.86
763.23,-0.86
770.86,-0.86
778.57,-0.86
786.35,-0.86
794.22,-0.86
802.16,-0.85
810.18,-0.84
818.28,-0.83
826.46,-0.82
834.73,-0.80
843.08,-0.78
851.51,-0.76
860.02,-0.73
868.62,-0.70
877.31,-0.67
886.08,-0.64
894.94,-0.60
903.89,-0.57
912.93,-0.52
922.06,-0.48
931.28,-0.43
940.59,-0.38
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.28
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.59
1092.00,0.68
1102.92,0.77
1113.95,0.87
1125.09,0.97
1136.34,1.06
1147.70,1.15
1159.18,1.20
1170.77,1.24
1182.48,1.26
1194.30,1.31
1206.25,1.36
1218.31,1.42
1230.49,1.44
1242.80,1.45
1255.22,1.49
1267.78,1.59
1280.45,1.73
1293.26,1.88
1306.19,2.02
1319.25,2.15
1332.45,2.25
1345.77,2.33
1359.23,2.41
1372.82,2.48
1386.55,2.55
1400.41,2.63
1414.42,2.71
1428.56,2.78
1442.85,2.86
1457.28,2.94
1471.85,3.02
1486.57,3.10
1501.43,3.19
1516.45,3.27
1531.61,3.35
1546.93,3.43
1562.40,3.52
1578.02,3.60
1593.80,3.69
1609.74,3.78
1625.84,3.87
1642.10,3.97
1658.52,4.07
1675.10,4.16
1691.85,4.27
1708.77,4.37
1725.86,4.48
1743.12,4.59
1760.55,4.70
1778.15,4.82
1795.94,4.93
1813.90,5.06
1832.03,5.18
1850.36,5.31
1868.86,5.44
1887.55,5.58
1906.42,5.72
1925.49,5.86
1944.74,6.01
1964.19,6.16
1983.83,6.31
2003.67,6.47
2023.71,6.63
2043.94,6.79
2064.38,6.96
2085.03,7.13
2105.88,7.30
2126.94,7.48
2148.20,7.66
2169.69,7.85
2191.38,8.03
2213.30,8.22
2235.43,8.40
2257.78,8.59
2280.36,8.78
2303.17,8.97
2326.20,9.15
2349.46,9.34
2372.95,9.52
2396.68,9.69
2420.65,9.86
2444.86,10.03
2469.31,10.19
2494.00,10.33
2518.94,10.46
2544.13,10.58
2569.57,10.69
2595.27,10.78
2621.22,10.86
2647.43,10.91
2673.90,10.94
2700.64,10.96
2727.65,10.96
2754.93,10.94
2782.48,10.89
2810.30,10.83
2838.40,10.75
2866.79,10.65
2895.46,10.54
2924.41,10.41
2953.65,10.27
2983.19,10.11
3013.02,9.95
3043.15,9.79
3073.58,9.61
3104.32,9.43
3135.36,9.24
3166.72,9.05
3198.38,8.86
3230.37,8.66
3262.67,8.47
3295.30,8.27
3328.25,8.08
3361.53,7.89
3395.15,7.70
3429.10,7.54
3463.39,7.39
3498.03,7.26
