frequency,raw
20.00,6.33
20.20,6.37
20.40,6.41
20.61,6.45
20.81,6.49
21.02,6.52
21.23,6.56
21.44,6.60
21.66,6.63
21.87,6.67
22.09,6.70
22.31,6.74
22.54,6.77
22.76,6.80
22.99,6.83
23.22,6.86
23.45,6.89
23.69,6.92
23.92,6.95
24.16,6.98
24.40,7.01
24.65,7.04
24.89,7.07
25.14,7.09
25.39,7.12
25.65,7.15
25.91,7.17
26.16,7.20
26.43,7.22
26.69,7.24
26.96,7.26
27.23,7.28
27.50,7.29
27.77,7.31
28.05,7.32
28.33,7.33
28.62,7.34
28.90,7.35
29.19,7.37
29.48,7.38
29.78,7.39
30.08,7.40
30.38,7.41
30.68,7.42
30.99,7.43
31.30,7.44
31.61,7.44
31.93,7.45
32.24,7.46
32.57,7.47
32.89,7.47
33.22,7.48
33.55,7.48
33.89,7.49
34.23,7.49
34.57,7.50
34.92,7.50
35.27,7.50
35.62,7.51
35.97,7.51
36.33,7.51
36.70,7.51
37.06,7.51
37.43,7.51
37.81,7.51
38.19,7.51
38.57,7.50
38.95,7.49
39.34,7.49
39.74,7.48
40.14,7.47
40.54,7.46
40.94,7.45
41.35,7.44
41.76,7.43
42.18,7.42
42.60,7.41
43.03,7.40
43.46,7.39
43.90,7.39
44.33,7.38
44.78,7.37
45.23,7.36
45.68,7.35
46.13,7.33
46.60,7.32
47.06,7.31
47.53,7.30
48.01,7.29
48.49,7.27
48.97,7.26
49.46,7.24
49.96,7.23
50.46,7.21
50.96,7.19
51.47,7.17
51.99,7.15
52.51,7.13
53.03,7.11
53.56,7.09
54.10,7.07
54.64,7.05
55.18,7.02
55.74,7.00
56.29,6.97
56.86,6.95
57.42,6.92
58.00,6.90
58.58,6.87
59.16,6.85
59.76,6.82
60.35,6.79
60.96,6.76
61.57,6.73
62.18,6.70
62.80,6.67
63.43,6.64
64.07,6.61
64.71,6.58
65.35,6.55
66.01,6.51
66.67,6.48
67.33,6.45
68.01,6.41
68.69,6.38
69.37,6.35
70.07,6.31
70.77,6.28
71.48,6.24
72.19,6.21
72.91,6.17
73.64,6.13
74.38,6.10
75.12,6.06
75.87,6.02
76.63,5.98
77.40,5.94
78.17,5.91
78.95,5.87
79.74,5.83
80.54,5.79
81.35,5.75
82.16,5.71
82.98,5.67
83.81,5.63
84.65,5.59
85.50,5.55
86.35,5.51
87.22,5.47
88.09,5.43
88.97,5.39
89.86,5.34
90.76,5.30
91.66,5.26
92.58,5.22
93.51,5.17
94.44,5.13
95.39,5.09
96.34,5.04
97.30,5.00
98.28,4.95
99.26,4.90
100.25,4.85
101.25,4.80
102.27,4.76
103.29,4.71
104.32,4.67
105.37,4.63
106.42,4.58
107.48,4.54
108.56,4.50
109.64,4.45
110.74,4.40
111.85,4.35
112.97,4.30
114.10,4.25
115.24,4.21
116.39,4.16
117.55,4.11
118.73,4.07
119.92,4.02
121.12,3.97
122.33,3.93
123.55,3.88
124.79,3.83
126.03,3.79
127.29,3.74
128.57,3.69
129.85,3.65
131.15,3.60
132.46,3.55
133.79,3.50
135.12,3.46
136.48,3.41
137.84,3.36
139.22,3.31
140.61,3.26
142.02,3.22
143.44,3.17
144.87,3.12
146.32,3.07
147.78,3.02
149.26,2.98
150.75,2.93
152.26,2.88
153.78,2.83
155.32,2.78
156.88,2.73
158.44,2.68
160.03,2.63
161.63,2.58
163.24,2.54
164.88,2.49
166.53,2.44
168.19,2.39
169.87,2.34
171.57,2.29
173.29,2.24
175.02,2.19
176.77,2.14
178.54,2.09
180.32,2.04
182.13,1.99
183.95,1.95
185.79,1.90
187.65,1.85
189.52,1.80
191.42,1.75
193.33,1.71
195.27,1.66
197.22,1.61
199.19,1.57
201.18,1.52
203.19,1.48
205.23,1.43
207.28,1.38
209.35,1.34
211.44,1.29
213.56,1.25
215.69,1.20
217.85,1.16
220.03,1.11
222.23,1.07
224.45,1.02
226.70,0.98
228.96,0.93
231.25,0.89
233.57,0.84
235.90,0.80
238.26,0.75
240.64,0.71
243.05,0.66
245.48,0.62
247.93,0.57
250.41,0.52
252.92,0.48
255.45,0.43
258.00,0.38
260.58,0.34
263.19,0.29
265.82,0.25
268.48,0.21
271.16,0.17
273.87,0.13
276.61,0.10
279.38,0.07
282.17,0.04
284.99,0.01
287.84,-0.01
290.72,-0.03
293.63,-0.05
296.57,-0.08
299.53,-0.10
302.53,-0.12
305.55,-0.15
308.61,-0.17
311.69,-0.20
314.81,-0.22
317.96,-0.24
321.14,-0.26
324.35,-0.29
327.59,-0.32
330.87,-0.34
334.18,-0.37
337.52,-0.39
340.90,-0.42
344.30,-0.44
347.75,-0.47
351.23,-0.50
354.74,-0.53
358.28,-0.56
361.87,-0.58
365.49,-0.61
369.14,-0.64
372.83,-0.67
376.56,-0.69
380.33,-0.72
384.13,-0.75
387.97,-0.78
391.85,-0.81
395.77,-0.84
399.73,-0.88
403.72,-0.91
407.76,-0.94
411.84,-0.97
415.96,-0.99
420.12,-1.02
424.32,-1.04
428.56,-1.06
432.85,-1.08
437.18,-1.10
441.55,-1.11
445.96,-1.13
450.42,-1.14
454.93,-1.16
459.48,-1.17
464.07,-1.19
468.71,-1.20
473.40,-1.22
478.13,-1.24
482.91,-1.26
487.74,-1.27
492.62,-1.29
497.55,-1.31
502.52,-1.33
507.55,-1.34
512.62,-1.36
517.75,-1.37
522.93,-1.38
528.16,-1.40
533.44,-1.41
538.77,-1.42
544.16,-1.44
549.60,-1.45
555.10,-1.46
560.65,-1.47
566.25,-1.49
571.92,-1.50
577.64,-1.51
583.41,-1.52
589.25,-1.53
595.14,-1.54
601.09,-1.54
607.10,-1.55
613.17,-1.55
619.30,-1.56
625.50,-1.56
631.75,-1.56
638.07,-1.56
644.45,-1.56
650.89,-1.57
657.40,-1.57
663.98,-1.56
670.62,-1.56
677.32,-1.56
684.10,-1.55
690.94,-1.55
697.85,-1.54
704.83,-1.53
711.87,-1.52
718.99,-1.51
726.18,-1.49
733.44,-1.47
740.78,-1.45
748.19,-1.43
755.67,-1.41
763.23,-1.39
770.86,-1.37
778.57,-1.35
786.35,-1.32
794.22,-1.30
802.16,-1.27
810.18,-1.23
818.28,-1.20
826.46,-1.16
834.73,-1.12
843.08,-1.08
851.51,-1.04
860.02,-0.99
868.62,-0.94
877.31,-0.89
886.08,-0.84
894.94,-0.78
903.89,-0.72
912.93,-0.66
922.06,-0.60
931.28,-0.53
940.59,-0.46
950.00,-0.38
959.50,-0.31
969.09,-0.23
978.78,-0.16
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.27
1049.39,0.36
1059.88,0.47
1070.48,0.65
1081.19,0.83
1092.00,0.98
1102.92,1.05
1113.95,1.04
1125.09,1.02
1136.34,1.02
1147.70,1.07
1159.18,1.17
1170.77,1.27
1182.48,1.37
1194.30,1.47
1206.25,1.56
1218.31,1.65
1230.49,1.74
1242.80,1.83
1255.22,1.92
1267.78,2.01
1280.45,2.09
1293.26,2.18
1306.19,2.26
1319.25,2.34
1332.45,2.42
1345.77,2.49
1359.23,2.55
1372.82,2.61
1386.55,2.68
1400.41,2.75
1414.42,2.82
1428.56,2.90
1442.85,2.97
1457.28,3.04
1471.85,3.12
1486.57,3.19
1501.43,3.26
1516.45,3.34
1531.61,3.41
1546.93,3.48
1562.40,3.56
1578.02,3.63
1593.80,3.70
1609.74,3.78
1625.84,3.85
1642.10,3.93
1658.52,4.00
1675.10,4.08
1691.85,4.16
1708.77,4.24
1725.86,4.32
1743.12,4.40
1760.55,4.48
1778.15,4.56
1795.94,4.65
1813.90,4.74
1832.03,4.83
1850.36,4.92
1868.86,5.01
1887.55,5.10
1906.42,5.20
1925.49,5.29
1944.74,5.39
1964.19,5.48
1983.83,5.57
2003.67,5.67
2023.71,5.76
2043.94,5.85
2064.38,5.94
2085.03,6.02
2105.88,6.10
2126.94,6.19
2148.20,6.26
2169.69,6.34
2191.38,6.41
2213.30,6.48
2235.43,6.54
2257.78,6.61
2280.36,6.67
2303.17,6.72
2326.20,6.78
2349.46,6.83
2372.95,6.87
2396.68,6.91
2420.65,6.95
2444.86,6.98
2469.31,7.01
2494.00,7.03
2518.94,7.05
2544.13,7.06
2569.57,7.06
2595.27,7.06
2621.22,7.05
2647.43,7.04
2673.90,7.02
2700.64,7.00
2727.65,6.98
2754.93,6.95
2782.48,6.92
2810.30,6.88
2838.40,6.84
2866.79,6.80
2895.46,6.75
2924.41,6.70
2953.65,6.65
2983.19,6.60
3013.02,6.54
3043.15,6.49
3073.58,6.43
3104.32,6.37
3135.36,6.32
3166.72,6.26
3198.38,6.20
3230.37,6.14
3262.67,6.09
3295.30,6.03
3328.25,5.97
3361.53,5.92
3395.15,5.86
3429.10,5.81
3463.39,5.76
3498.03,5.72
3533.01,5.68
3568.34,5.64
3604.02,5.61
3640.06,5.57
3676.46,5.54
3713.22,5.51
3750.36,5.48
3787.86,5.46
3825.74,5.44
3864.00,5.41
3902.64,5.39
3941.66,5.37
3981.08,5.35
4020.89,5.34
4061.10,5.33
4101.71,5.32
4142.73,5.31
4184.15,5.31
4226.00,5.31
4268.26,5.31
4310.94,5.30
4354.05,5.30
4397.59,5.29
4441.56,5.28
4485.98,5.26
4530.84,5.25
4576.15,5.23
4621.91,5.21
4668.13,5.19
4714.81,5.17
4761.96,5.15
4809.58,5.12
4857.67,5.08
4906.25,5.05
4955.31,5.01
5004.87,4.97
5054.91,4.92
5105.46,4.87
5156.52,4.81
5208.08,4.75
5260.16,4.68
5312.77,4.60
5365.89,4.52
5419.55,4.43
5473.75,4.33
5528.49,4.23
5583.77,4.12
5639.61,4.00
5696.00,3.88
5752.96,3.75
5810.49,3.62
5868.60,3.49
5927.28,3.39
5986.56,3.29
6046.42,3.21
6106.89,3.14
6167.96,3.06
6229.64,2.96
6291.93,2.85
6354.85,2.74
6418.40,2.63
6482.58,2.53
6547.41,2.44
6612.88,2.36
6679.01,2.30
6745.80,2.25
6813.26,2.21
6881.39,2.20
6950.21,2.21
7019.71,2.24
7089.91,2.30
7160.81,2.38
7232.41,2.47
7304.74,2.58
7377.79,2.71
7451.56,2.85
7526.08,3.01
7601.34,3.19
7677.35,3.39
7754.13,3.59
7831.67,3.77
7909.98,3.94
7989.08,4.09
8068.98,4.21
8149.67,4.32
8231.16,4.39
8313.47,4.40
8396.61,4.37
8480.57,4.25
8565.38,4.05
8651.03,3.76
8737.54,3.39
8824.92,2.91
8913.17,2.32
9002.30,1.70
9092.32,0.99
9183.25,0.26
9275.08,-0.47
9367.83,-1.19
9461.51,-1.88
9556.12,-2.54
9651.68,-3.16
9748.20,-3.75
9845.68,-4.28
9944.14,-4.78
10043.58,-5.23
10144.02,-5.64
10245.46,-5.94
10347.91,-6.16
10451.39,-6.26
10555.91,-6.12
10661.46,-5.77
10768.08,-5.23
10875.76,-4.43
10984.52,-3.52
11094.36,-2.59
11205.31,-1.70
11317.36,-0.95
11430.53,-0.25
11544.84,0.39
11660.29,1.01
11776.89,1.66
11894.66,2.40
12013.60,3.15
12133.74,3.85
12255.08,4.35
12377.63,4.65
12501.41,4.60
12626.42,4.02
12752.68,3.09
12880.21,1.88
13009.01,0.55
13139.10,-0.78
13270.49,-2.11
13403.20,-3.41
13537.23,-4.59
13672.60,-5.69
13809.33,-6.71
13947.42,-7.62
14086.90,-8.43
14227.77,-9.19
14370.04,-9.88
14513.74,-10.48
14658.88,-10.99
14805.47,-11.44
14953.52,-11.82
15103.06,-12.13
15254.09,-12.39
15406.63,-12.54
15560.70,-12.66
15716.30,-12.74
15873.47,-12.86
16032.20,-13.00
16192.52,-13.16
16354.45,-13.35
16517.99,-13.56
16683.17,-13.82
16850.01,-14.12
17018.51,-14.45
17188.69,-14.86
17360.58,-15.30
17534.18,-15.77
17709.53,-16.29
17886.62,-16.85
18065.49,-17.42
18246.14,-18.00
18428.60,-18.58
18612.89,-19.17
18799.02,-19.77
18987.01,-20.41
19176.88,-21.17
19368.65,-22.04
19562.33,-23.02
19757.96,-24.10
19955.54,-25.29
