frequency,raw
20.00,3.05
20.20,3.09
20.40,3.13
20.61,3.18
20.81,3.22
21.02,3.26
21.23,3.30
21.44,3.34
21.66,3.38
21.87,3.41
22.09,3.45
22.31,3.49
22.54,3.53
22.76,3.56
22.99,3.60
23.22,3.63
23.45,3.67
23.69,3.70
23.92,3.73
24.16,3.77
24.40,3.80
24.65,3.83
24.89,3.86
25.14,3.89
25.39,3.92
25.65,3.95
25.91,3.98
26.16,4.00
26.43,4.03
26.69,4.05
26.96,4.08
27.23,4.10
27.50,4.11
27.77,4.13
28.05,4.14
28.33,4.16
28.62,4.17
28.90,4.19
29.19,4.20
29.48,4.22
29.78,4.23
30.08,4.24
30.38,4.25
30.68,4.26
30.99,4.27
31.30,4.28
31.61,4.29
31.93,4.31
32.24,4.32
32.57,4.33
32.89,4.33
33.22,4.34
33.55,4.34
33.89,4.35
34.23,4.36
34.57,4.37
34.92,4.37
35.27,4.37
35.62,4.37
35.97,4.37
36.33,4.38
36.70,4.38
37.06,4.38
37.43,4.38
37.81,4.38
38.19,4.38
38.57,4.38
38.95,4.38
39.34,4.37
39.74,4.37
40.14,4.36
40.54,4.35
40.94,4.34
41.35,4.34
41.76,4.33
42.18,4.32
42.60,4.31
43.03,4.31
43.46,4.30
43.90,4.29
44.33,4.28
44.78,4.27
45.23,4.26
45.68,4.25
46.13,4.24
46.60,4.23
47.06,4.22
47.53,4.20
48.01,4.19
48.49,4.18
48.97,4.17
49.46,4.15
49.96,4.13
50.46,4.12
50.96,4.10
51.47,4.09
51.99,4.07
52.51,4.06
53.03,4.04
53.56,4.02
54.10,4.00
54.64,3.98
55.18,3.95
55.74,3.93
56.29,3.91
56.86,3.88
57.42,3.86
58.00,3.84
58.58,3.81
59.16,3.79
59.76,3.76
60.35,3.73
60.96,3.71
61.57,3.68
62.18,3.65
62.80,3.63
63.43,3.60
64.07,3.57
64.71,3.54
65.35,3.51
66.01,3.49
66.67,3.46
67.33,3.43
68.01,3.40
68.69,3.37
69.37,3.34
70.07,3.31
70.77,3.28
71.48,3.25
72.19,3.21
72.91,3.18
73.64,3.15
74.38,3.11
75.12,3.08
75.87,3.05
76.63,3.01
77.40,2.98
78.17,2.95
78.95,2.91
79.74,2.88
80.54,2.85
81.35,2.81
82.16,2.78
82.98,2.74
83.81,2.71
84.65,2.67
85.50,2.64
86.35,2.61
87.22,2.57
88.09,2.54
88.97,2.50
89.86,2.47
90.76,2.43
91.66,2.40
92.58,2.36
93.51,2.33
94.44,2.29
95.39,2.26
96.34,2.22
97.30,2.18
98.28,2.14
99.26,2.11
100.25,2.07
101.25,2.03
102.27,1.99
103.29,1.95
104.32,1.92
105.37,1.88
106.42,1.84
107.48,1.80
108.56,1.76
109.64,1.73
110.74,1.69
111.85,1.66
112.97,1.62
114.10,1.58
115.24,1.55
116.39,1.51
117.55,1.48
118.73,1.44
119.92,1.40
121.12,1.37
122.33,1.33
123.55,1.30
124.79,1.26
126.03,1.23
127.29,1.19
128.57,1.16
129.85,1.12
131.15,1.08
132.46,1.05
133.79,1.01
135.12,0.98
136.48,0.94
137.84,0.91
139.22,0.88
140.61,0.84
142.02,0.81
143.44,0.77
144.87,0.74
146.32,0.71
147.78,0.67
149.26,0.64
150.75,0.61
152.26,0.57
153.78,0.54
155.32,0.51
156.88,0.47
158.44,0.44
160.03,0.41
161.63,0.37
163.24,0.34
164.88,0.31
166.53,0.28
168.19,0.24
169.87,0.21
171.57,0.18
173.29,0.14
175.02,0.11
176.77,0.08
178.54,0.05
180.32,0.02
182.13,-0.02
183.95,-0.05
185.79,-0.08
187.65,-0.11
189.52,-0.14
191.42,-0.17
193.33,-0.20
195.27,-0.23
197.22,-0.25
199.19,-0.28
201.18,-0.31
203.19,-0.33
205.23,-0.36
207.28,-0.38
209.35,-0.41
211.44,-0.44
213.56,-0.46
215.69,-0.49
217.85,-0.51
220.03,-0.54
222.23,-0.56
224.45,-0.59
226.70,-0.61
228.96,-0.64
231.25,-0.66
233.57,-0.69
235.90,-0.71
238.26,-0.74
240.64,-0.76
243.05,-0.78
245.48,-0.81
247.93,-0.83
250.41,-0.86
252.92,-0.88
255.45,-0.91
258.00,-0.93
260.58,-0.95
263.19,-0.97
265.82,-1.00
268.48,-1.02
271.16,-1.04
273.87,-1.05
276.61,-1.07
279.38,-1.09
282.17,-1.10
284.99,-1.12
287.84,-1.13
290.72,-1.15
293.63,-1.16
296.57,-1.18
299.53,-1.19
302.53,-1.21
305.55,-1.22
308.61,-1.23
311.69,-1.24
314.81,-1.26
317.96,-1.27
321.14,-1.28
324.35,-1.29
327.59,-1.30
330.87,-1.31
334.18,-1.32
337.52,-1.33
340.90,-1.35
344.30,-1.36
347.75,-1.37
351.23,-1.38
354.74,-1.39
358.28,-1.41
361.87,-1.42
365.49,-1.43
369.14,-1.44
372.83,-1.45
376.56,-1.46
380.33,-1.47
384.13,-1.48
387.97,-1.50
391.85,-1.51
395.77,-1.52
399.73,-1.53
403.72,-1.54
407.76,-1.55
411.84,-1.56
415.96,-1.57
420.12,-1.58
424.32,-1.59
428.56,-1.60
432.85,-1.61
437.18,-1.61
441.55,-1.62
445.96,-1.62
450.42,-1.62
