frequency,raw
20.00,2.82
20.20,2.87
20.40,2.92
20.61,2.97
20.81,3.02
21.02,3.07
21.23,3.11
21.44,3.16
21.66,3.20
21.87,3.25
22.09,3.29
22.31,3.34
22.54,3.38
22.76,3.42
22.99,3.46
23.22,3.50
23.45,3.54
23.69,3.57
23.92,3.61
24.16,3.65
24.40,3.69
24.65,3.72
24.89,3.76
25.14,3.79
25.39,3.83
25.65,3.86
25.91,3.89
26.16,3.92
26.43,3.95
26.69,3.98
26.96,4.01
27.23,4.03
27.50,4.06
27.77,4.08
28.05,4.10
28.33,4.12
28.62,4.13
28.90,4.15
29.19,4.17
29.48,4.18
29.78,4.19
30.08,4.21
30.38,4.22
30.68,4.24
30.99,4.25
31.30,4.27
31.61,4.28
31.93,4.29
32.24,4.30
32.57,4.31
32.89,4.32
33.22,4.32
33.55,4.32
33.89,4.32
34.23,4.32
34.57,4.33
34.92,4.35
35.27,4.38
35.62,4.40
35.97,4.42
36.33,4.41
36.70,4.39
37.06,4.37
37.43,4.36
37.81,4.36
38.19,4.37
38.57,4.37
38.95,4.37
39.34,4.36
39.74,4.35
40.14,4.35
40.54,4.34
40.94,4.34
41.35,4.32
41.76,4.30
42.18,4.28
42.60,4.27
43.03,4.26
43.46,4.26
43.90,4.25
44.33,4.24
44.78,4.22
45.23,4.20
45.68,4.19
46.13,4.17
46.60,4.15
47.06,4.13
47.53,4.11
48.01,4.09
48.49,4.07
48.97,4.05
49.46,4.02
49.96,3.99
50.46,3.97
50.96,3.95
51.47,3.93
51.99,3.90
52.51,3.88
53.03,3.84
53.56,3.82
54.10,3.79
54.64,3.75
55.18,3.72
55.74,3.68
56.29,3.65
56.86,3.63
57.42,3.60
58.00,3.56
58.58,3.52
59.16,3.48
59.76,3.44
60.35,3.39
60.96,3.35
61.57,3.31
62.18,3.27
62.80,3.23
63.43,3.19
64.07,3.14
64.71,3.10
65.35,3.05
66.01,3.01
66.67,2.97
67.33,2.93
68.01,2.89
68.69,2.82
69.37,2.76
70.07,2.68
70.77,2.62
71.48,2.56
72.19,2.51
72.91,2.47
73.64,2.43
74.38,2.39
75.12,2.34
75.87,2.28
76.63,2.22
77.40,2.15
78.17,2.10
78.95,2.04
79.74,1.97
80.54,1.90
81.35,1.83
82.16,1.77
82.98,1.70
83.81,1.63
84.65,1.57
85.50,1.51
86.35,1.45
87.22,1.39
88.09,1.32
88.97,1.26
89.86,1.19
90.76,1.13
91.66,1.06
92.58,0.99
93.51,0.92
94.44,0.85
95.39,0.78
96.34,0.71
97.30,0.64
98.28,0.56
99.26,0.49
100.25,0.41
101.25,0.34
102.27,0.26
103.29,0.19
104.32,0.10
105.37,0.02
106.42,-0.05
107.48,-0.13
108.56,-0.21
109.64,-0.29
