frequency,raw
20.00,2.46
20.20,2.54
20.40,2.62
20.61,2.70
20.81,2.78
21.02,2.85
21.23,2.93
21.44,3.01
21.66,3.08
21.87,3.16
22.09,3.23
22.31,3.31
22.54,3.38
22.76,3.45
22.99,3.52
23.22,3.58
23.45,3.65
23.69,3.72
23.92,3.78
24.16,3.85
24.40,3.91
24.65,3.98
24.89,4.04
25.14,4.10
25.39,4.17
25.65,4.23
25.91,4.29
26.16,4.35
26.43,4.40
26.69,4.46
26.96,4.51
27.23,4.56
27.50,4.60
27.77,4.65
28.05,4.69
28.33,4.74
28.62,4.78
28.90,4.82
29.19,4.87
29.48,4.91
29.78,4.95
30.08,4.99
30.38,5.03
30.68,5.07
30.99,5.10
31.30,5.14
31.61,5.18
31.93,5.21
32.24,5.25
32.57,5.28
32.89,5.31
33.22,5.34
33.55,5.38
33.89,5.41
34.23,5.43
34.57,5.46
34.92,5.49
35.27,5.51
35.62,5.54
35.97,5.57
36.33,5.59
36.70,5.62
37.06,5.64
37.43,5.66
37.81,5.68
38.19,5.69
38.57,5.71
38.95,5.72
39.34,5.74
39.74,5.75
40.14,5.76
40.54,5.77
40.94,5.78
41.35,5.79
41.76,5.80
42.18,5.81
42.60,5.82
43.03,5.83
43.46,5.84
43.90,5.84
44.33,5.85
44.78,5.86
45.23,5.86
45.68,5.87
46.13,5.87
46.60,5.87
47.06,5.88
47.53,5.88
48.01,5.88
48.49,5.88
48.97,5.87
49.46,5.87
49.96,5.87
50.46,5.86
50.96,5.86
51.47,5.85
51.99,5.85
52.51,5.84
53.03,5.83
53.56,5.81
54.10,5.80
54.64,5.79
55.18,5.77
55.74,5.76
56.29,5.74
56.86,5.72
57.42,5.70
58.00,5.68
58.58,5.66
59.16,5.64
59.76,5.61
60.35,5.59
60.96,5.57
61.57,5.54
62.18,5.51
62.80,5.48
63.43,5.45
64.07,5.42
64.71,5.39
65.35,5.36
66.01,5.33
66.67,5.29
67.33,5.26
68.01,5.22
68.69,5.19
69.37,5.15
70.07,5.11
70.77,5.07
71.48,5.03
72.19,4.99
72.91,4.94
73.64,4.90
74.38,4.85
75.12,4.80
75.87,4.76
76.63,4.71
77.40,4.66
78.17,4.61
78.95,4.56
79.74,4.51
80.54,4.45
81.35,4.40
82.16,4.34
82.98,4.29
83.81,4.23
84.65,4.17
85.50,4.11
86.35,4.05
87.22,4.00
88.09,3.94
88.97,3.87
89.86,3.81
90.76,3.75
91.66,3.69
92.58,3.62
93.51,3.56
94.44,3.49
95.39,3.42
96.34,3.35
97.30,3.29
98.28,3.21
99.26,3.14
100.25,3.07
101.25,3.00
102.27,2.92
103.29,2.85
104.32,2.78
105.37,2.70
106.42,2.63
107.48,2.55
108.56,2.48
109.64,2.40
110.74,2.33
111.85,2.25
112.97,2.18
114.10,2.10
115.24,2.03
116.39,1.95
117.55,1.87
118.73,1.80
119.92,1.72
121.12,1.65
122.33,1.57
123.55,1.49
124.79,1.42
126.03,1.34
127.29,1.27
128.57,1.20
129.85,1.12
131.15,1.05
132.46,0.98
133.79,0.91
135.12,0.84
136.48,0.77
137.84,0.71
139.22,0.64
140.61,0.58
142.02,0.52
143.44,0.45
144.87,0.39
146.32,0.33
147.78,0.28
149.26,0.22
150.75,0.17
152.26,0.12
153.78,0.07
155.32,0.02
156.88,-0.03
158.44,-0.07
160.03,-0.11
161.63,-0.15
163.24,-0.19
164.88,-0.23
166.53,-0.26
168.19,-0.29
169.87,-0.32
171.57,-0.35
173.29,-0.37
175.02,-0.39
176.77,-0.41
178.54,-0.43
180.32,-0.45
182.13,-0.46
183.95,-0.47
185.79,-0.48
187.65,-0.49
189.52,-0.49
191.42,-0.49
193.33,-0.50
195.27,-0.50
197.22,-0.50
199.19,-0.49
201.18,-0.49
203.19,-0.48
205.23,-0.47
207.28,-0.46
209.35,-0.45
211.44,-0.45
213.56,-0.44
215.69,-0.43
217.85,-0.42
220.03,-0.42
222.23,-0.41
224.45,-0.40
226.70,-0.39
228.96,-0.37
231.25,-0.36
233.57,-0.35
235.90,-0.34
238.26,-0.34
240.64,-0.33
243.05,-0.34
245.48,-0.35
247.93,-0.36
250.41,-0.37
252.92,-0.37
255.45,-0.36
258.00,-0.34
260.58,-0.30
263.19,-0.26
265.82,-0.21
268.48,-0.15
271.16,-0.08
273.87,-0.02
276.61,0.03
279.38,0.09
282.17,0.13
284.99,0.17
287.84,0.21
290.72,0.25
293.63,0.28
296.57,0.31
299.53,0.34
302.53,0.36
305.55,0.39
308.61,0.41
311.69,0.43
314.81,0.46
317.96,0.48
321.14,0.50
324.35,0.51
327.59,0.53
330.87,0.54
334.18,0.56
337.52,0.57
340.90,0.57
344.30,0.58
347.75,0.58
351.23,0.59
