frequency,raw
20.00,7.32
20.20,7.49
20.40,7.65
20.61,7.81
20.81,7.97
21.02,8.14
21.23,8.30
21.44,8.47
21.66,8.63
21.87,8.80
22.09,8.96
22.31,9.11
22.54,9.26
22.76,9.41
22.99,9.55
23.22,9.68
23.45,9.80
23.69,9.93
23.92,10.04
24.16,10.16
24.40,10.27
24.65,10.38
24.89,10.48
25.14,10.58
25.39,10.69
25.65,10.78
25.91,10.87
26.16,10.96
26.43,11.04
26.69,11.12
26.96,11.19
27.23,11.26
27.50,11.33
27.77,11.39
28.05,11.46
28.33,11.52
28.62,11.57
28.90,11.62
29.19,11.67
29.48,11.70
29.78,11.73
30.08,11.76
30.38,11.78
30.68,11.80
30.99,11.82
31.30,11.83
31.61,11.85
31.93,11.86
32.24,11.87
32.57,11.89
32.89,11.91
33.22,11.94
33.55,11.99
33.89,12.03
34.23,12.07
34.57,12.10
34.92,12.10
35.27,12.09
35.62,12.06
35.97,12.02
36.33,11.97
36.70,11.92
37.06,11.87
37.43,11.81
37.81,11.74
38.19,11.67
38.57,11.60
38.95,11.53
39.34,11.46
39.74,11.38
40.14,11.31
40.54,11.24
40.94,11.17
41.35,11.10
41.76,11.03
42.18,10.96
42.60,10.89
43.03,10.83
43.46,10.77
43.90,10.71
44.33,10.65
44.78,10.59
45.23,10.53
45.68,10.48
46.13,10.43
46.60,10.37
47.06,10.32
47.53,10.28
48.01,10.24
48.49,10.19
48.97,10.13
49.46,10.06
49.96,9.99
50.46,9.96
50.96,9.94
51.47,9.94
51.99,9.92
52.51,9.89
53.03,9.86
53.56,9.82
54.10,9.77
54.64,9.71
55.18,9.64
55.74,9.57
56.29,9.48
56.86,9.40
57.42,9.32
58.00,9.25
58.58,9.18
59.16,9.12
59.76,9.06
60.35,9.00
60.96,8.94
61.57,8.88
62.18,8.80
62.80,8.72
63.43,8.63
64.07,8.54
64.71,8.44
65.35,8.34
66.01,8.24
66.67,8.15
67.33,8.05
68.01,7.96
68.69,7.88
69.37,7.80
70.07,7.73
70.77,7.67
71.48,7.61
72.19,7.54
72.91,7.48
73.64,7.44
74.38,7.40
75.12,7.37
75.87,7.34
76.63,7.31
77.40,7.28
78.17,7.24
78.95,7.20
79.74,7.16
80.54,7.10
81.35,7.05
82.16,6.98
82.98,6.92
83.81,6.86
84.65,6.79
85.50,6.72
86.35,6.65
87.22,6.58
88.09,6.50
88.97,6.43
89.86,6.36
90.76,6.29
91.66,6.21
92.58,6.14
93.51,6.06
94.44,5.98
95.39,5.89
96.34,5.81
97.30,5.72
98.28,5.63
99.26,5.54
100.25,5.44
