frequency,raw
20.00,-6.39
20.20,-6.26
20.40,-6.12
20.61,-5.99
20.81,-5.84
21.02,-5.69
21.23,-5.54
21.44,-5.38
21.66,-5.22
21.87,-5.06
22.09,-4.90
22.31,-4.75
22.54,-4.60
22.76,-4.45
22.99,-4.31
23.22,-4.17
23.45,-4.03
23.69,-3.90
23.92,-3.76
24.16,-3.62
24.40,-3.48
24.65,-3.35
24.89,-3.21
25.14,-3.08
25.39,-2.95
25.65,-2.82
25.91,-2.70
26.16,-2.58
26.43,-2.45
26.69,-2.33
26.96,-2.21
27.23,-2.09
27.50,-1.96
27.77,-1.84
28.05,-1.73
28.33,-1.61
28.62,-1.50
28.90,-1.39
29.19,-1.28
29.48,-1.17
29.78,-1.07
30.08,-0.96
30.38,-0.86
30.68,-0.76
30.99,-0.67
31.30,-0.57
31.61,-0.48
31.93,-0.39
32.24,-0.29
32.57,-0.20
32.89,-0.11
33.22,-0.02
33.55,0.06
33.89,0.14
34.23,0.22
34.57,0.30
34.92,0.37
35.27,0.44
35.62,0.52
35.97,0.59
36.33,0.66
36.70,0.73
37.06,0.81
37.43,0.88
37.81,0.95
38.19,1.03
38.57,1.10
38.95,1.18
39.34,1.26
39.74,1.34
40.14,1.42
40.54,1.50
40.94,1.57
41.35,1.63
41.76,1.69
42.18,1.74
42.60,1.80
43.03,1.85
43.46,1.90
43.90,1.95
44.33,2.00
44.78,2.05
45.23,2.09
45.68,2.12
46.13,2.15
46.60,2.18
47.06,2.20
47.53,2.22
48.01,2.24
48.49,2.25
48.97,2.26
49.46,2.26
49.96,2.26
50.46,2.25
50.96,2.23
51.47,2.21
51.99,2.18
52.51,2.15
53.03,2.13
53.56,2.11
54.10,2.09
54.64,2.07
55.18,2.06
55.74,2.05
56.29,2.06
56.86,2.07
57.42,2.10
58.00,2.14
58.58,2.20
59.16,2.26
59.76,2.34
60.35,2.41
60.96,2.47
61.57,2.53
62.18,2.58
62.80,2.61
63.43,2.63
64.07,2.65
64.71,2.65
65.35,2.64
66.01,2.62
66.67,2.60
67.33,2.58
68.01,2.56
68.69,2.54
