frequency,raw
20.00,-5.27
20.20,-5.17
20.40,-5.07
20.61,-4.97
20.81,-4.87
21.02,-4.77
21.23,-4.67
21.44,-4.57
21.66,-4.47
21.87,-4.37
22.09,-4.27
22.31,-4.18
22.54,-4.08
22.76,-3.98
22.99,-3.89
23.22,-3.79
23.45,-3.70
23.69,-3.60
23.92,-3.50
24.16,-3.40
24.40,-3.31
24.65,-3.21
24.89,-3.11
25.14,-3.02
25.39,-2.93
25.65,-2.83
25.91,-2.74
26.16,-2.65
26.43,-2.57
26.69,-2.48
26.96,-2.40
27.23,-2.32
27.50,-2.25
27.77,-2.17
28.05,-2.09
28.33,-2.02
28.62,-1.94
28.90,-1.87
29.19,-1.80
29.48,-1.73
29.78,-1.66
30.08,-1.59
30.38,-1.52
30.68,-1.45
30.99,-1.38
31.30,-1.32
31.61,-1.25
31.93,-1.18
32.24,-1.12
32.57,-1.06
32.89,-1.00
33.22,-0.94
33.55,-0.88
33.89,-0.82
34.23,-0.76
34.57,-0.70
34.92,-0.64
35.27,-0.59
35.62,-0.53
35.97,-0.48
36.33,-0.42
36.70,-0.37
37.06,-0.32
37.43,-0.27
37.81,-0.23
38.19,-0.18
38.57,-0.14
38.95,-0.10
39.34,-0.06
39.74,-0.02
40.14,0.02
40.54,0.06
40.94,0.09
41.35,0.13
41.76,0.17
42.18,0.20
42.60,0.23
43.03,0.27
43.46,0.30
43.90,0.33
44.33,0.36
44.78,0.39
45.23,0.42
45.68,0.45
46.13,0.48
46.60,0.51
47.06,0.53
47.53,0.55
48.01,0.58
48.49,0.60
48.97,0.62
49.46,0.64
49.96,0.66
50.46,0.68
50.96,0.69
51.47,0.71
51.99,0.72
52.51,0.73
53.03,0.75
53.56,0.76
54.10,0.77
54.64,0.79
55.18,0.80
55.74,0.81
56.29,0.81
56.86,0.82
57.42,0.82
58.00,0.83
58.58,0.83
59.16,0.83
59.76,0.84
60.35,0.84
60.96,0.85
61.57,0.85
62.18,0.86
62.80,0.86
63.43,0.87
64.07,0.87
64.71,0.88
65.35,0.89
66.01,0.90
66.67,0.91
67.33,0.92
68.01,0.92
68.69,0.93
69.37,0.93
70.07,0.93
70.77,0.93
71.48,0.93
72.19,0.93
72.91,0.93
73.64,0.93
74.38,0.94
75.12,0.94
75.87,0.94
76.63,0.94
77.40,0.94
78.17,0.93
78.95,0.92
79.74,0.91
80.54,0.90
81.35,0.89
82.16,0.88
82.98,0.87
83.81,0.85
84.65,0.83
85.50,0.82
86.35,0.80
87.22,0.78
88.09,0.77
88.97,0.75
89.86,0.73
90.76,0.71
91.66,0.69
92.58,0.68
93.51,0.67
94.44,0.66
95.39,0.64
96.34,0.62
97.30,0.59
98.28,0.57
99.26,0.56
100.25,0.54
101.25,0.52
102.27,0.51
103.29,0.50
104.32,0.48
105.37,0.46
106.42,0.45
