frequency,raw
20.00,5.60
20.20,5.63
20.40,5.66
20.61,5.70
20.81,5.73
21.02,5.76
21.23,5.80
21.44,5.83
21.66,5.87
21.87,5.91
22.09,5.95
22.31,5.98
22.54,6.01
22.76,6.04
22.99,6.07
23.22,6.10
23.45,6.13
23.69,6.16
23.92,6.19
24.16,6.22
24.40,6.26
24.65,6.29
24.89,6.33
25.14,6.36
25.39,6.39
25.65,6.42
25.91,6.45
26.16,6.48
26.43,6.51
26.69,6.54
26.96,6.57
27.23,6.60
27.50,6.63
27.77,6.67
28.05,6.70
28.33,6.73
28.62,6.76
28.90,6.79
29.19,6.82
29.48,6.85
29.78,6.88
30.08,6.91
30.38,6.94
30.68,6.97
30.99,7.00
31.30,7.03
31.61,7.06
31.93,7.08
32.24,7.11
32.57,7.14
32.89,7.17
33.22,7.20
33.55,7.22
33.89,7.25
34.23,7.27
34.57,7.29
34.92,7.32
35.27,7.34
35.62,7.36
35.97,7.39
36.33,7.41
36.70,7.44
37.06,7.46
37.43,7.49
37.81,7.51
38.19,7.53
38.57,7.55
38.95,7.57
39.34,7.59
39.74,7.62
40.14,7.64
40.54,7.66
40.94,7.68
41.35,7.70
41.76,7.71
42.18,7.73
42.60,7.74
43.03,7.76
43.46,7.78
43.90,7.80
44.33,7.82
44.78,7.84
45.23,7.86
45.68,7.88
46.13,7.90
46.60,7.92
47.06,7.94
47.53,7.96
48.01,7.99
48.49,8.00
48.97,8.01
49.46,8.01
49.96,8.01
50.46,8.02
50.96,8.02
51.47,8.03
51.99,8.03
52.51,8.04
53.03,8.04
53.56,8.04
54.10,8.04
54.64,8.04
55.18,8.04
55.74,8.05
56.29,8.05
56.86,8.05
57.42,8.05
58.00,8.05
58.58,8.05
59.16,8.05
59.76,8.05
60.35,8.05
60.96,8.05
61.57,8.05
62.18,8.04
62.80,8.04
63.43,8.03
64.07,8.02
64.71,8.01
65.35,8.00
66.01,7.99
66.67,7.98
67.33,7.98
68.01,7.97
68.69,7.95
69.37,7.94
70.07,7.93
70.77,7.92
71.48,7.90
72.19,7.88
72.91,7.86
73.64,7.85
74.38,7.83
75.12,7.80
75.87,7.78
76.63,7.76
