frequency,raw
20.00,4.14
20.20,4.17
20.40,4.20
20.61,4.23
20.81,4.27
21.02,4.30
21.23,4.33
21.44,4.37
21.66,4.41
21.87,4.44
22.09,4.48
22.31,4.51
22.54,4.54
22.76,4.58
22.99,4.61
23.22,4.64
23.45,4.67
23.69,4.70
23.92,4.73
24.16,4.76
24.40,4.79
24.65,4.82
24.89,4.84
25.14,4.87
25.39,4.90
25.65,4.94
25.91,4.97
26.16,5.01
26.43,5.04
26.69,5.08
26.96,5.11
27.23,5.14
27.50,5.17
27.77,5.19
28.05,5.21
28.33,5.24
28.62,5.26
28.90,5.29
29.19,5.31
29.48,5.34
29.78,5.37
30.08,5.39
30.38,5.42
30.68,5.45
30.99,5.48
31.30,5.51
31.61,5.53
31.93,5.56
32.24,5.59
32.57,5.62
32.89,5.64
33.22,5.66
33.55,5.69
33.89,5.71
34.23,5.73
34.57,5.76
34.92,5.78
35.27,5.81
35.62,5.83
35.97,5.86
36.33,5.89
36.70,5.91
37.06,5.93
37.43,5.96
37.81,5.98
38.19,6.00
38.57,6.02
38.95,6.03
39.34,6.05
39.74,6.07
40.14,6.09
40.54,6.11
40.94,6.13
41.35,6.15
41.76,6.17
42.18,6.19
42.60,6.21
43.03,6.23
43.46,6.25
43.90,6.26
44.33,6.28
44.78,6.30
45.23,6.32
45.68,6.34
46.13,6.35
46.60,6.37
47.06,6.39
47.53,6.40
48.01,6.42
48.49,6.44
48.97,6.46
49.46,6.47
49.96,6.47
50.46,6.46
50.96,6.46
51.47,6.45
51.99,6.45
52.51,6.45
53.03,6.46
53.56,6.46
54.10,6.47
54.64,6.47
55.18,6.47
55.74,6.47
56.29,6.48
56.86,6.48
57.42,6.48
58.00,6.48
58.58,6.48
59.16,6.48
59.76,6.47
60.35,6.47
60.96,6.46
61.57,6.46
62.18,6.45
62.80,6.45
63.43,6.44
64.07,6.43
64.71,6.42
65.35,6.40
66.01,6.39
66.67,6.39
67.33,6.38
68.01,6.37
68.69,6.36
69.37,6.34
70.07,6.32
70.77,6.30
71.48,6.28
72.19,6.26
72.91,6.24
73.64,6.22
74.38,6.20
75.12,6.18
75.87,6.16
76.63,6.14
77.40,6.12
78.17,6.09
78.95,6.07
79.74,6.05
80.54,6.02
81.35,5.99
82.16,5.96
82.98,5.93
83.81,5.90
84.65,5.86
85.50,5.83
86.35,5.80
87.22,5.76
88.09,5.73
88.97,5.69
89.86,5.65
90.76,5.61
91.66,5.57
92.58,5.52
93.51,5.48
94.44,5.44
95.39,5.39
96.34,5.35
97.30,5.31
98.28,5.26
99.26,5.21
100.25,5.16
101.25,5.11
102.27,5.06
103.29,5.01
104.32,4.95
105.37,4.90
106.42,4.85
107.48,4.79
108.56,4.74
109.64,4.68
110.74,4.63
111.85,4.57
112.97,4.51
114.10,4.45
115.24,4.39
116.39,4.33
117.55,4.27
118.73,4.20
119.92,4.14
121.12,4.07
122.33,4.00
123.55,3.94
124.79,3.87
126.03,3.80
127.29,3.73
128.57,3.65
129.85,3.58
131.15,3.51
132.46,3.44
133.79,3.37
135.12,3.29
