frequency,raw
20.00,8.65
20.20,8.66
20.40,8.68
20.61,8.71
20.81,8.73
21.02,8.75
21.23,8.76
21.44,8.78
21.66,8.79
21.87,8.81
22.09,8.82
22.31,8.83
22.54,8.84
22.76,8.86
22.99,8.87
23.22,8.89
23.45,8.91
23.69,8.92
23.92,8.94
24.16,8.96
24.40,8.98
24.65,8.99
24.89,9.01
25.14,9.02
25.39,9.03
25.65,9.04
25.91,9.05
26.16,9.07
26.43,9.08
26.69,9.10
26.96,9.11
27.23,9.13
27.50,9.14
27.77,9.15
28.05,9.16
28.33,9.17
28.62,9.18
28.90,9.18
29.19,9.19
29.48,9.20
29.78,9.21
30.08,9.22
30.38,9.23
30.68,9.24
30.99,9.25
31.30,9.27
31.61,9.28
31.93,9.29
32.24,9.30
32.57,9.31
32.89,9.32
33.22,9.33
33.55,9.34
33.89,9.35
34.23,9.35
34.57,9.35
34.92,9.36
35.27,9.36
35.62,9.37
35.97,9.37
36.33,9.37
36.70,9.37
37.06,9.38
37.43,9.38
37.81,9.38
38.19,9.39
38.57,9.40
38.95,9.40
39.34,9.40
39.74,9.39
40.14,9.38
40.54,9.37
40.94,9.37
41.35,9.37
41.76,9.37
42.18,9.38
42.60,9.38
43.03,9.39
43.46,9.39
43.90,9.39
44.33,9.39
44.78,9.38
45.23,9.37
45.68,9.36
46.13,9.35
46.60,9.34
47.06,9.32
47.53,9.30
48.01,9.28
48.49,9.25
48.97,9.23
49.46,9.21
49.96,9.21
50.46,9.22
50.96,9.22
51.47,9.22
51.99,9.22
52.51,9.21
53.03,9.21
53.56,9.20
54.10,9.19
54.64,9.18
55.18,9.16
55.74,9.15
56.29,9.14
56.86,9.12
57.42,9.11
58.00,9.09
58.58,9.07
59.16,9.04
59.76,9.02
60.35,9.00
60.96,8.98
61.57,8.96
62.18,8.94
62.80,8.92
63.43,8.89
64.07,8.87
64.71,8.84
65.35,8.81
66.01,8.78
66.67,8.75
67.33,8.72
68.01,8.69
68.69,8.66
69.37,8.63
70.07,8.60
70.77,8.56
71.48,8.53
72.19,8.50
72.91,8.47
73.64,8.43
74.38,8.40
75.12,8.36
75.87,8.32
76.63,8.28
77.40,8.24
78.17,8.20
78.95,8.15
79.74,8.11
80.54,8.06
81.35,8.02
82.16,7.97
82.98,7.92
83.81,7.87
84.65,7.82
85.50,7.77
86.35,7.73
87.22,7.68
88.09,7.63
88.97,7.58
89.86,7.53
90.76,7.47
91.66,7.42
92.58,7.36
93.51,7.30
94.44,7.25
95.39,7.19
96.34,7.14
97.30,7.08
98.28,7.02
99.26,6.96
100.25,6.89
101.25,6.82
102.27,6.75
103.29,6.68
104.32,6.61
105.37,6.54
106.42,6.47
107.48,6.40
108.56,6.33
109.64,6.26
110.74,6.19
111.85,6.11
112.97,6.04
114.10,5.96
115.24,5.89
116.39,5.81
117.55,5.74
118.73,5.66
119.92,5.59
121.12,5.51
122.33,5.43
123.55,5.34
124.79,5.26
126.03,5.18
127.29,5.09
128.57,5.01
129.85,4.92
131.15,4.84
132.46,4.75
133.79,4.67
135.12,4.58
136.48,4.49
137.84,4.40
139.22,4.32
140.61,4.23
142.02,4.14
143.44,4.05
144.87,3.96
146.32,3.87
147.78,3.78
149.26,3.69
150.75,3.60
152.26,3.51
153.78,3.42
155.32,3.33
