frequency,raw
20.00,9.16
20.20,9.15
20.40,9.14
20.61,9.14
20.81,9.13
21.02,9.12
21.23,9.11
21.44,9.10
21.66,9.08
21.87,9.07
22.09,9.06
22.31,9.05
22.54,9.04
22.76,9.03
22.99,9.01
23.22,9.00
23.45,8.99
23.69,8.98
23.92,8.97
24.16,8.95
24.40,8.94
24.65,8.92
24.89,8.91
25.14,8.89
25.39,8.88
25.65,8.86
25.91,8.85
26.16,8.83
26.43,8.82
26.69,8.80
26.96,8.79
27.23,8.77
27.50,8.75
27.77,8.73
28.05,8.72
28.33,8.70
28.62,8.68
28.90,8.66
29.19,8.65
29.48,8.63
29.78,8.61
30.08,8.59
30.38,8.57
30.68,8.55
30.99,8.53
31.30,8.51
31.61,8.49
31.93,8.47
32.24,8.45
32.57,8.42
32.89,8.40
33.22,8.38
33.55,8.36
33.89,8.33
34.23,8.31
34.57,8.29
34.92,8.27
35.27,8.24
35.62,8.22
35.97,8.19
36.33,8.17
36.70,8.14
37.06,8.12
37.43,8.09
37.81,8.06
38.19,8.04
38.57,8.01
38.95,7.98
39.34,7.96
39.74,7.93
40.14,7.90
40.54,7.88
40.94,7.85
41.35,7.82
41.76,7.79
42.18,7.76
42.60,7.73
43.03,7.70
43.46,7.67
43.90,7.64
44.33,7.61
44.78,7.58
45.23,7.55
45.68,7.52
46.13,7.49
46.60,7.45
47.06,7.42
47.53,7.39
48.01,7.36
48.49,7.32
48.97,7.29
49.46,7.25
49.96,7.22
50.46,7.18
50.96,7.15
51.47,7.11
51.99,7.08
52.51,7.04
53.03,7.01
53.56,6.97
54.10,6.93
54.64,6.90
55.18,6.86
55.74,6.82
56.29,6.78
56.86,6.74
57.42,6.71
58.00,6.67
58.58,6.63
59.16,6.59
59.76,6.55
60.35,6.51
60.96,6.47
61.57,6.43
62.18,6.39
62.80,6.35
63.43,6.30
64.07,6.26
64.71,6.22
65.35,6.18
66.01,6.14
66.67,6.09
67.33,6.05
68.01,6.01
68.69,5.97
69.37,5.92
70.07,5.88
70.77,5.84
71.48,5.79
72.19,5.75
72.91,5.70
73.64,5.66
74.38,5.61
75.12,5.57
75.87,5.52
76.63,5.48
77.40,5.43
78.17,5.38
78.95,5.34
79.74,5.29
80.54,5.25
81.35,5.20
82.16,5.15
82.98,5.11
83.81,5.06
84.65,5.01
85.50,4.96
86.35,4.92
87.22,4.87
88.09,4.82
88.97,4.77
89.86,4.72
90.76,4.67
91.66,4.62
92.58,4.57
93.51,4.53
94.44,4.48
95.39,4.43
96.34,4.38
97.30,4.33
98.28,4.28
99.26,4.23
100.25,4.18
101.25,4.13
102.27,4.08
103.29,4.03
104.32,3.98
105.37,3.93
106.42,3.88
107.48,3.83
108.56,3.78
109.64,3.73
110.74,3.68
111.85,3.63
112.97,3.58
114.10,3.53
115.24,3.48
116.39,3.43
117.55,3.37
118.73,3.32
119.92,3.27
121.12,3.22
122.33,3.17
123.55,3.12
124.79,3.08
126.03,3.03
127.29,2.98
128.57,2.93
129.85,2.88
131.15,2.83
132.46,2.78
133.79,2.73
135.12,2.68
136.48,2.63
137.84,2.58
139.22,2.53
140.61,2.48
142.02,2.43
143.44,2.38
144.87,2.33
146.32,2.28
147.78,2.23
149.26,2.18
150.75,2.13
152.26,2.08
153.78,2.03
155.32,1.98
156.88,1.93
158.44,1.89
160.03,1.84
161.63,1.79
163.24,1.74
164.88,1.70
166.53,1.65
168.19,1.60
169.87,1.55
171.57,1.51
173.29,1.46
175.02,1.41
176.77,1.37
178.54,1.32
180.32,1.27
182.13,1.23
183.95,1.18
185.79,1.14
187.65,1.09
189.52,1.05
191.42,1.01
193.33,0.96
195.27,0.92
197.22,0.87
199.19,0.83
201.18,0.79
203.19,0.74
205.23,0.70
207.28,0.66
209.35,0.61
211.44,0.57
213.56,0.53
215.69,0.49
217.85,0.44
220.03,0.40
222.23,0.36
224.45,0.32
226.70,0.28
228.96,0.24
231.25,0.20
233.57,0.16
235.90,0.13
238.26,0.09
240.64,0.05
243.05,0.01
245.48,-0.03
247.93,-0.07
250.41,-0.10
252.92,-0.14
255.45,-0.18
258.00,-0.21
260.58,-0.25
263.19,-0.28
265.82,-0.32
268.48,-0.35
271.16,-0.39
273.87,-0.42
276.61,-0.45
279.38,-0.49
282.17,-0.52
284.99,-0.55
287.84,-0.58
290.72,-0.62
293.63,-0.65
296.57,-0.68
299.53,-0.71
302.53,-0.74
305.55,-0.77
308.61,-0.80
311.69,-0.83
314.81,-0.86
317.96,-0.88
321.14,-0.91
324.35,-0.94
327.59,-0.97
330.87,-0.99
334.18,-1.02
337.52,-1.04
340.90,-1.07
344.30,-1.09
347.75,-1.12
351.23,-1.14
354.74,-1.17
358.28,-1.19
361.87,-1.21
365.49,-1.24
369.14,-1.26
372.83,-1.28
376.56,-1.30
380.33,-1.32
384.13,-1.34
387.97,-1.36
391.85,-1.38
395.77,-1.40
399.73,-1.42
403.72,-1.44
407.76,-1.45
411.84,-1.47
415.96,-1.49
420.12,-1.50
424.32,-1.52
428.56,-1.53
432.85,-1.55
437.18,-1.56
441.55,-1.58
445.96,-1.59
450.42,-1.61
454.93,-1.62
459.48,-1.63
464.07,-1.64
468.71,-1.65
473.40,-1.66
478.13,-1.67
482.91,-1.68
487.74,-1.69
492.62,-1.70
497.55,-1.71
502.52,-1.71
507.55,-1.72
512.62,-1.73
517.75,-1.73
522.93,-1.73
528.16,-1.74
533.44,-1.74
538.77,-1.74
544.16,-1.75
549.60,-1.75
555.10,-1.75
560.65,-1.75
566.25,-1.75
571.92,-1.75
577.64,-1.74
583.41,-1.74
589.25,-1.74
595.14,-1.73
601.09,-1.73
607.10,-1.73
613.17,-1.72
619.30,-1.71
625.50,-1.71
631.75,-1.70
638.07,-1.69
644.45,-1.68
650.89,-1.67
657.40,-1.66
663.98,-1.64
670.62,-1.63
677.32,-1.62
684.10,-1.60
690.94,-1.59
697.85,-1.57
704.83,-1.56
711.87,-1.54
718.99,-1.52
726.18,-1.50
733.44,-1.48
740.78,-1.46
748.19,-1.44
755.67,-1.42
763.23,-1.40
770.86,-1.37
778.57,-1.34
786.35,-1.32
794.22,-1.29
802.16,-1.26
810.18,-1.23
818.28,-1.19
826.46,-1.16
834.73,-1.13
843.08,-1.09
851.51,-1.05
860.02,-1.02
868.62,-0.97
877.31,-0.93
886.08,-0.88
894.94,-0.83
