frequency,raw
20.00,9.55
20.20,9.54
20.40,9.53
20.61,9.52
20.81,9.51
21.02,9.50
21.23,9.49
21.44,9.48
21.66,9.47
21.87,9.46
22.09,9.45
22.31,9.44
22.54,9.43
22.76,9.41
22.99,9.40
23.22,9.38
23.45,9.37
23.69,9.36
23.92,9.34
24.16,9.33
24.40,9.32
24.65,9.30
24.89,9.29
25.14,9.28
25.39,9.27
25.65,9.25
25.91,9.24
26.16,9.22
26.43,9.21
26.69,9.19
26.96,9.17
27.23,9.16
27.50,9.14
27.77,9.13
28.05,9.11
28.33,9.09
28.62,9.07
28.90,9.05
29.19,9.03
29.48,9.02
29.78,9.00
30.08,8.98
30.38,8.96
30.68,8.94
30.99,8.91
31.30,8.89
31.61,8.87
31.93,8.85
32.24,8.83
32.57,8.80
32.89,8.78
33.22,8.76
33.55,8.74
33.89,8.72
34.23,8.69
34.57,8.67
34.92,8.65
35.27,8.63
35.62,8.60
35.97,8.58
36.33,8.56
36.70,8.53
37.06,8.51
37.43,8.49
37.81,8.46
38.19,8.44
38.57,8.41
38.95,8.38
39.34,8.36
39.74,8.33
40.14,8.30
40.54,8.28
40.94,8.25
41.35,8.22
41.76,8.19
42.18,8.16
42.60,8.13
43.03,8.09
43.46,8.06
43.90,8.03
44.33,8.00
44.78,7.97
45.23,7.94
45.68,7.91
46.13,7.87
46.60,7.84
47.06,7.81
47.53,7.78
48.01,7.74
48.49,7.71
48.97,7.68
49.46,7.64
49.96,7.61
50.46,7.57
50.96,7.54
51.47,7.50
51.99,7.47
52.51,7.43
53.03,7.39
53.56,7.36
54.10,7.32
54.64,7.28
55.18,7.24
55.74,7.21
56.29,7.17
56.86,7.13
57.42,7.09
58.00,7.05
58.58,7.01
59.16,6.97
59.76,6.94
60.35,6.90
60.96,6.86
61.57,6.81
62.18,6.77
62.80,6.73
63.43,6.69
64.07,6.65
64.71,6.61
65.35,6.57
66.01,6.52
66.67,6.48
67.33,6.44
68.01,6.39
68.69,6.35
69.37,6.31
70.07,6.26
70.77,6.22
71.48,6.17
72.19,6.13
72.91,6.08
73.64,6.04
74.38,5.99
75.12,5.95
75.87,5.90
76.63,5.86
77.40,5.81
78.17,5.76
78.95,5.72
79.74,5.67
80.54,5.62
81.35,5.58
82.16,5.53
82.98,5.48
83.81,5.44
84.65,5.39
85.50,5.34
86.35,5.29
87.22,5.25
88.09,5.20
88.97,5.15
89.86,5.10
90.76,5.05
91.66,5.00
92.58,4.95
93.51,4.90
94.44,4.85
95.39,4.80
96.34,4.75
97.30,4.71
98.28,4.66
99.26,4.61
100.25,4.56
101.25,4.51
102.27,4.46
103.29,4.41
104.32,4.36
105.37,4.31
106.42,4.25
107.48,4.20
108.56,4.15
109.64,4.10
110.74,4.05
111.85,4.00
112.97,3.95
114.10,3.90
115.24,3.85
116.39,3.80
117.55,3.75
118.73,3.70
119.92,3.65
121.12,3.60
122.33,3.55
123.55,3.50
124.79,3.45
126.03,3.40
127.29,3.35
128.57,3.29
129.85,3.24
131.15,3.19
132.46,3.14
133.79,3.09
135.12,3.04
136.48,2.99
137.84,2.94
139.22,2.89
140.61,2.84
142.02,2.79
143.44,2.74
144.87,2.69
146.32,2.64
147.78,2.59
149.26,2.54
150.75,2.49
152.26,2.44
153.78,2.39
155.32,2.34
156.88,2.30
158.44,2.25
160.03,2.20
161.63,2.15
163.24,2.10
164.88,2.05
166.53,2.01
168.19,1.96
169.87,1.91
171.57,1.86
173.29,1.81
175.02,1.77
176.77,1.72
178.54,1.67
180.32,1.63
182.13,1.58
183.95,1.54
185.79,1.49
187.65,1.44
189.52,1.40
191.42,1.35
193.33,1.31
195.27,1.26
197.22,1.22
199.19,1.18
201.18,1.13
203.19,1.09
205.23,1.04
207.28,1.00
209.35,0.96
211.44,0.91
213.56,0.87
215.69,0.83
217.85,0.79
220.03,0.75
222.23,0.70
224.45,0.66
226.70,0.62
228.96,0.58
231.25,0.54
233.57,0.50
235.90,0.46
238.26,0.42
240.64,0.38
243.05,0.35
245.48,0.31
247.93,0.27
250.41,0.23
252.92,0.19
255.45,0.16
258.00,0.12
260.58,0.08
263.19,0.05
265.82,0.01
268.48,-0.02
271.16,-0.06
273.87,-0.09
276.61,-0.13
279.38,-0.16
282.17,-0.19
284.99,-0.23
287.84,-0.26
290.72,-0.29
293.63,-0.32
296.57,-0.36
299.53,-0.39
302.53,-0.42
305.55,-0.45
308.61,-0.48
311.69,-0.51
314.81,-0.54
317.96,-0.57
321.14,-0.60
324.35,-0.63
327.59,-0.65
330.87,-0.68
334.18,-0.71
337.52,-0.74
340.90,-0.76
344.30,-0.79
347.75,-0.81
351.23,-0.84
354.74,-0.86
358.28,-0.88
361.87,-0.91
365.49,-0.93
369.14,-0.95
372.83,-0.98
376.56,-1.00
380.33,-1.02
384.13,-1.04
387.97,-1.06
391.85,-1.08
395.77,-1.10
399.73,-1.12
403.72,-1.14
407.76,-1.16
411.84,-1.18
415.96,-1.20
420.12,-1.21
424.32,-1.23
428.56,-1.25
432.85,-1.26
437.18,-1.28
441.55,-1.29
445.96,-1.31
450.42,-1.32
454.93,-1.34
459.48,-1.35
464.07,-1.36
468.71,-1.37
473.40,-1.39
478.13,-1.40
482.91,-1.41
487.74,-1.42
492.62,-1.43
497.55,-1.44
502.52,-1.44
507.55,-1.45
512.62,-1.46
517.75,-1.47
522.93,-1.47
528.16,-1.48
533.44,-1.49
538.77,-1.49
544.16,-1.49
549.60,-1.50
555.10,-1.50
560.65,-1.50
566.25,-1.50
571.92,-1.51
577.64,-1.51
583.41,-1.51
589.25,-1.51
595.14,-1.50
601.09,-1.50
607.10,-1.50
613.17,-1.49
619.30,-1.49
625.50,-1.48
631.75,-1.48
638.07,-1.47
644.45,-1.46
650.89,-1.46
657.40,-1.45
663.98,-1.44
670.62,-1.43
677.32,-1.42
684.10,-1.41
690.94,-1.39
697.85,-1.38
704.83,-1.37
711.87,-1.35
718.99,-1.34
726.18,-1.32
733.44,-1.31
740.78,-1.29
748.19,-1.27
755.67,-1.25
763.23,-1.23
770.86,-1.21
778.57,-1.19
786.35,-1.17
794.22,-1.15
802.16,-1.12
810.18,-1.10
818.28,-1.07
826.46,-1.04
834.73,-1.01
843.08,-0.98
851.51,-0.95
860.02,-0.92
868.62,-0.88
877.31,-0.84
886.08,-0.80
894.94,-0.76
903.89,-0.71
912.93,-0.66
922.06,-0.60
931.28,-0.54
940.59,-0.48
950.00,-0.41
959.50,-0.34
969.09,-0.26
978.78,-0.18
988.57,-0.10
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.27
1039.00,0.37
1049.39,0.47
1059.88,0.57
1070.48,0.68
1081.19,0.79
1092.00,0.89
1102.92,1.01
1113.95,1.12
1125.09,1.23
1136.34,1.34
1147.70,1.45
1159.18,1.56
1170.77,1.67
1182.48,1.77
1194.30,1.88
1206.25,1.98
1218.31,2.08
1230.49,2.18
1242.80,2.27
1255.22,2.37
1267.78,2.46
1280.45,2.55
1293.26,2.64
1306.19,2.73
1319.25,2.83
1332.45,2.93
1345.77,3.03
1359.23,3.13
1372.82,3.23
1386.55,3.34
1400.41,3.45
1414.42,3.55
1428.56,3.66
1442.85,3.77
1457.28,3.89
1471.85,4.00
1486.57,4.12
1501.43,4.25
1516.45,4.38
1531.61,4.51
1546.93,4.66
1562.40,4.81
1578.02,4.97
1593.80,5.14
1609.74,5.31
1625.84,5.48
1642.10,5.66
1658.52,5.83
1675.10,6.00
1691.85,6.15
1708.77,6.30
1725.86,6.44
1743.12,6.56
1760.55,6.67
1778.15,6.77
1795.94,6.85
1813.90,6.92
1832.03,6.99
1850.36,7.06
1868.86,7.13
1887.55,7.21
1906.42,7.31
1925.49,7.41
1944.74,7.54
1964.19,7.67
1983.83,7.80
2003.67,7.93
2023.71,8.06
2043.94,8.17
2064.38,8.27
2085.03,8.36
2105.88,8.43
2126.94,8.49
2148.20,8.53
2169.69,8.56
2191.38,8.58
2213.30,8.56
2235.43,8.53
2257.78,8.48
2280.36,8.41
2303.17,8.32
2326.20,8.21
2349.46,8.07
2372.95,7.92
2396.68,7.77
2420.65,7.59
2444.86,7.42
2469.31,7.25
2494.00,7.10
2518.94,6.97
2544.13,6.84
2569.57,6.74
