frequency,raw
20.00,10.16
20.20,10.15
20.40,10.14
20.61,10.13
20.81,10.12
21.02,10.11
21.23,10.10
21.44,10.09
21.66,10.08
21.87,10.06
22.09,10.05
22.31,10.04
22.54,10.03
22.76,10.02
22.99,10.01
23.22,9.99
23.45,9.98
23.69,9.97
23.92,9.95
24.16,9.94
24.40,9.93
24.65,9.91
24.89,9.90
25.14,9.88
25.39,9.87
25.65,9.85
25.91,9.84
26.16,9.82
26.43,9.80
26.69,9.79
26.96,9.77
27.23,9.75
27.50,9.74
27.77,9.72
28.05,9.70
28.33,9.69
28.62,9.67
28.90,9.65
29.19,9.63
29.48,9.61
29.78,9.59
30.08,9.57
30.38,9.55
30.68,9.53
30.99,9.51
31.30,9.49
31.61,9.47
31.93,9.45
32.24,9.43
32.57,9.41
32.89,9.39
33.22,9.36
33.55,9.34
33.89,9.32
34.23,9.29
34.57,9.27
34.92,9.24
35.27,9.22
35.62,9.19
35.97,9.17
36.33,9.14
36.70,9.11
37.06,9.09
37.43,9.06
37.81,9.03
38.19,9.01
38.57,8.98
38.95,8.95
39.34,8.93
39.74,8.90
40.14,8.87
40.54,8.84
40.94,8.81
41.35,8.78
41.76,8.75
42.18,8.72
42.60,8.69
43.03,8.66
43.46,8.63
43.90,8.60
44.33,8.57
44.78,8.54
45.23,8.51
45.68,8.47
46.13,8.44
46.60,8.41
47.06,8.37
47.53,8.34
48.01,8.31
48.49,8.27
48.97,8.24
49.46,8.20
49.96,8.17
50.46,8.13
50.96,8.10
51.47,8.06
51.99,8.02
52.51,7.99
53.03,7.95
53.56,7.91
54.10,7.88
54.64,7.84
55.18,7.80
55.74,7.76
56.29,7.72
56.86,7.68
57.42,7.65
58.00,7.61
58.58,7.57
59.16,7.52
59.76,7.48
60.35,7.44
60.96,7.40
61.57,7.36
62.18,7.32
62.80,7.28
63.43,7.24
64.07,7.19
64.71,7.15
65.35,7.11
66.01,7.07
66.67,7.02
67.33,6.98
68.01,6.94
68.69,6.89
69.37,6.85
70.07,6.80
70.77,6.76
71.48,6.71
72.19,6.67
72.91,6.62
73.64,6.58
74.38,6.53
75.12,6.48
75.87,6.44
76.63,6.39
77.40,6.34
78.17,6.30
78.95,6.25
79.74,6.20
80.54,6.16
81.35,6.11
82.16,6.06
82.98,6.01
83.81,5.96
84.65,5.92
85.50,5.87
86.35,5.82
87.22,5.77
88.09,5.72
88.97,5.67
89.86,5.62
90.76,5.57
91.66,5.52
92.58,5.47
93.51,5.42
94.44,5.37
95.39,5.32
96.34,5.27
97.30,5.22
98.28,5.17
99.26,5.12
100.25,5.07
101.25,5.02
102.27,4.97
103.29,4.92
104.32,4.87
105.37,4.82
106.42,4.77
107.48,4.72
108.56,4.67
109.64,4.61
110.74,4.56
111.85,4.51
112.97,4.46
114.10,4.41
115.24,4.36
116.39,4.31
117.55,4.26
118.73,4.21
119.92,4.16
121.12,4.10
122.33,4.05
123.55,4.00
124.79,3.95
126.03,3.90
127.29,3.85
128.57,3.80
129.85,3.75
131.15,3.69
132.46,3.64
133.79,3.59
135.12,3.54
136.48,3.49
137.84,3.44
139.22,3.39
140.61,3.34
142.02,3.29
143.44,3.24
144.87,3.19
146.32,3.14
147.78,3.09
149.26,3.04
150.75,2.99
152.26,2.94
153.78,2.89
155.32,2.84
156.88,2.80
158.44,2.75
160.03,2.70
161.63,2.65
163.24,2.60
164.88,2.55
166.53,2.50
168.19,2.45
169.87,2.40
171.57,2.36
173.29,2.31
