frequency,raw
20.00,8.95
20.20,8.97
20.40,8.99
20.61,9.01
20.81,9.03
21.02,9.05
21.23,9.07
21.44,9.09
21.66,9.11
21.87,9.12
22.09,9.14
22.31,9.15
22.54,9.17
22.76,9.18
22.99,9.20
23.22,9.21
23.45,9.22
23.69,9.24
23.92,9.25
24.16,9.26
24.40,9.27
24.65,9.28
24.89,9.29
25.14,9.30
25.39,9.31
25.65,9.31
25.91,9.32
26.16,9.33
26.43,9.33
26.69,9.34
26.96,9.34
27.23,9.35
27.50,9.35
27.77,9.35
28.05,9.36
28.33,9.36
28.62,9.36
28.90,9.36
29.19,9.36
29.48,9.36
29.78,9.36
30.08,9.36
30.38,9.35
30.68,9.35
30.99,9.35
31.30,9.34
31.61,9.34
31.93,9.33
32.24,9.33
32.57,9.32
32.89,9.32
33.22,9.31
33.55,9.30
33.89,9.29
34.23,9.28
34.57,9.27
34.92,9.26
35.27,9.25
35.62,9.24
35.97,9.23
36.33,9.22
36.70,9.20
37.06,9.19
37.43,9.18
37.81,9.16
38.19,9.15
38.57,9.13
38.95,9.11
39.34,9.10
39.74,9.08
40.14,9.06
40.54,9.04
40.94,9.03
41.35,9.01
41.76,8.99
42.18,8.97
42.60,8.94
43.03,8.92
43.46,8.90
43.90,8.88
44.33,8.86
44.78,8.83
45.23,8.81
45.68,8.78
46.13,8.76
46.60,8.73
47.06,8.71
47.53,8.68
48.01,8.65
48.49,8.63
48.97,8.60
49.46,8.57
49.96,8.54
50.46,8.51
50.96,8.48
51.47,8.45
51.99,8.42
52.51,8.39
53.03,8.36
53.56,8.32
54.10,8.29
54.64,8.26
55.18,8.22
55.74,8.19
56.29,8.15
56.86,8.12
57.42,8.08
58.00,8.05
58.58,8.01
59.16,7.97
59.76,7.94
60.35,7.90
60.96,7.86
61.57,7.82
62.18,7.79
62.80,7.75
63.43,7.71
64.07,7.67
64.71,7.63
65.35,7.59
66.01,7.54
66.67,7.50
67.33,7.46
68.01,7.42
68.69,7.37
69.37,7.33
70.07,7.29
70.77,7.24
71.48,7.20
72.19,7.16
72.91,7.11
