frequency,raw
20.00,23.98
20.20,23.94
20.40,23.90
20.61,23.86
20.81,23.82
21.02,23.77
21.23,23.73
21.44,23.69
21.66,23.65
21.87,23.60
22.09,23.56
22.31,23.52
22.54,23.47
22.76,23.43
22.99,23.38
23.22,23.34
23.45,23.29
23.69,23.25
23.92,23.20
24.16,23.15
24.40,23.10
24.65,23.06
24.89,23.01
25.14,22.96
25.39,22.91
25.65,22.85
25.91,22.80
26.16,22.75
26.43,22.70
26.69,22.65
26.96,22.59
27.23,22.54
27.50,22.49
27.77,22.44
28.05,22.38
28.33,22.33
28.62,22.28
28.90,22.22
29.19,22.17
29.48,22.11
29.78,22.06
30.08,22.00
30.38,21.95
30.68,21.89
30.99,21.84
31.30,21.78
31.61,21.73
31.93,21.67
32.24,21.61
32.57,21.56
32.89,21.50
33.22,21.44
33.55,21.38
33.89,21.32
34.23,21.26
34.57,21.20
34.92,21.14
35.27,21.08
35.62,21.02
35.97,20.96
36.33,20.90
36.70,20.83
37.06,20.77
37.43,20.71
37.81,20.65
38.19,20.58
38.57,20.52
38.95,20.46
39.34,20.40
39.74,20.33
40.14,20.27
40.54,20.20
40.94,20.14
41.35,20.07
41.76,20.01
42.18,19.94
42.60,19.88
43.03,19.81
43.46,19.74
43.90,19.68
44.33,19.61
44.78,19.54
45.23,19.47
45.68,19.40
46.13,19.34
46.60,19.27
47.06,19.20
47.53,19.13
48.01,19.06
48.49,18.99
48.97,18.92
49.46,18.85
49.96,18.78
50.46,18.71
50.96,18.64
51.47,18.57
51.99,18.49
52.51,18.42
53.03,18.35
53.56,18.28
54.10,18.21
54.64,18.13
55.18,18.06
55.74,17.99
56.29,17.91
56.86,17.84
57.42,17.77
58.00,17.69
58.58,17.62
59.16,17.54
59.76,17.47
60.35,17.39
60.96,17.32
61.57,17.24
62.18,17.16
62.80,17.09
63.43,17.01
64.07,16.93
64.71,16.86
65.35,16.78
66.01,16.70
66.67,16.62
67.33,16.55
68.01,16.47
68.69,16.39
69.37,16.31
70.07,16.23
70.77,16.15
71.48,16.07
72.19,15.99
