frequency,raw
20.00,13.42
20.20,13.42
20.40,13.42
20.61,13.41
20.81,13.41
21.02,13.41
21.23,13.40
21.44,13.40
21.66,13.39
21.87,13.39
22.09,13.39
22.31,13.39
22.54,13.39
22.76,13.38
22.99,13.38
23.22,13.37
23.45,13.35
23.69,13.34
23.92,13.32
24.16,13.30
24.40,13.29
24.65,13.27
24.89,13.26
25.14,13.26
25.39,13.26
25.65,13.26
25.91,13.26
26.16,13.26
26.43,13.26
26.69,13.25
26.96,13.24
27.23,13.22
27.50,13.20
27.77,13.18
28.05,13.17
28.33,13.15
28.62,13.13
28.90,13.12
29.19,13.11
29.48,13.10
29.78,13.09
30.08,13.08
30.38,13.07
30.68,13.05
30.99,13.04
31.30,13.02
31.61,13.01
31.93,12.99
32.24,12.98
32.57,12.97
32.89,12.95
33.22,12.93
33.55,12.91
33.89,12.89
34.23,12.87
34.57,12.85
34.92,12.83
35.27,12.81
35.62,12.79
35.97,12.77
36.33,12.75
36.70,12.73
37.06,12.71
37.43,12.69
37.81,12.67
38.19,12.65
38.57,12.63
38.95,12.61
39.34,12.59
39.74,12.57
40.14,12.55
40.54,12.53
40.94,12.51
41.35,12.49
41.76,12.46
42.18,12.44
42.60,12.41
43.03,12.39
43.46,12.37
43.90,12.34
44.33,12.32
44.78,12.29
45.23,12.27
45.68,12.24
46.13,12.21
46.60,12.19
47.06,12.16
47.53,12.13
48.01,12.10
48.49,12.07
48.97,12.04
49.46,12.01
49.96,11.98
50.46,11.95
50.96,11.92
51.47,11.89
51.99,11.86
52.51,11.82
53.03,11.79
53.56,11.76
54.10,11.73
54.64,11.70
55.18,11.67
55.74,11.64
56.29,11.61
56.86,11.58
57.42,11.54
58.00,11.50
58.58,11.47
59.16,11.43
59.76,11.39
60.35,11.36
60.96,11.32
61.57,11.29
62.18,11.25
62.80,11.21
63.43,11.17
64.07,11.13
64.71,11.09
65.35,11.05
66.01,11.00
66.67,10.96
67.33,10.92
68.01,10.88
68.69,10.84
69.37,10.80
