frequency,raw
20.00,9.02
20.20,9.03
20.40,9.04
20.61,9.05
20.81,9.05
21.02,9.06
21.23,9.07
21.44,9.07
21.66,9.08
21.87,9.08
22.09,9.09
22.31,9.10
22.54,9.10
22.76,9.11
22.99,9.11
23.22,9.12
23.45,9.12
23.69,9.13
23.92,9.13
24.16,9.13
24.40,9.13
24.65,9.14
24.89,9.14
25.14,9.14
25.39,9.14
25.65,9.14
25.91,9.14
26.16,9.14
26.43,9.14
26.69,9.13
26.96,9.13
27.23,9.13
27.50,9.13
27.77,9.12
28.05,9.12
28.33,9.12
28.62,9.11
28.90,9.10
29.19,9.10
29.48,9.09
29.78,9.08
30.08,9.07
30.38,9.06
30.68,9.05
30.99,9.05
31.30,9.04
31.61,9.03
31.93,9.02
32.24,9.01
32.57,9.00
32.89,8.99
33.22,8.97
33.55,8.96
33.89,8.95
34.23,8.94
34.57,8.92
34.92,8.91
35.27,8.90
35.62,8.88
35.97,8.86
36.33,8.85
36.70,8.83
37.06,8.81
37.43,8.79
37.81,8.77
38.19,8.75
38.57,8.74
38.95,8.72
39.34,8.70
39.74,8.69
40.14,8.67
40.54,8.65
40.94,8.63
41.35,8.61
41.76,8.58
42.18,8.56
42.60,8.54
43.03,8.52
43.46,8.49
43.90,8.47
44.33,8.45
44.78,8.42
45.23,8.40
45.68,8.38
46.13,8.35
46.60,8.33
47.06,8.30
47.53,8.27
48.01,8.24
48.49,8.21
48.97,8.18
49.46,8.15
49.96,8.12
50.46,8.09
50.96,8.06
51.47,8.03
51.99,8.00
52.51,7.97
53.03,7.94
53.56,7.91
54.10,7.88
54.64,7.84
55.18,7.81
55.74,7.78
56.29,7.74
56.86,7.71
57.42,7.68
58.00,7.64
58.58,7.61
59.16,7.57
59.76,7.54
60.35,7.50
60.96,7.47
61.57,7.43
62.18,7.39
62.80,7.36
63.43,7.32
64.07,7.28
64.71,7.24
65.35,7.20
66.01,7.17
66.67,7.13
67.33,7.09
68.01,7.05
68.69,7.01
69.37,6.97
70.07,6.92
70.77,6.88
71.48,6.84
72.19,6.80
72.91,6.76
73.64,6.72
74.38,6.68
75.12,6.63
75.87,6.59
76.63,6.55
77.40,6.50
78.17,6.46
78.95,6.42
79.74,6.37
80.54,6.33
81.35,6.28
82.16,6.24
82.98,6.19
83.81,6.15
84.65,6.10
85.50,6.05
86.35,6.01
87.22,5.96
88.09,5.92
88.97,5.87
89.86,5.82
90.76,5.77
91.66,5.73
92.58,5.68
93.51,5.63
94.44,5.58
95.39,5.53
96.34,5.48
97.30,5.43
98.28,5.38
99.26,5.33
100.25,5.29
101.25,5.24
102.27,5.19
103.29,5.14
104.32,5.09
105.37,5.04
106.42,4.99
107.48,4.94
108.56,4.89
109.64,4.84
110.74,4.79
111.85,4.74
112.97,4.69
114.10,4.64
115.24,4.59
116.39,4.54
117.55,4.49
118.73,4.43
119.92,4.38
121.12,4.33
122.33,4.28
123.55,4.23
124.79,4.18
126.03,4.13
127.29,4.08
128.57,4.03
129.85,3.98
131.15,3.92
132.46,3.87
133.79,3.82
135.12,3.77
136.48,3.72
137.84,3.67
139.22,3.62
140.61,3.56
142.02,3.51
143.44,3.46
144.87,3.41
146.32,3.36
147.78,3.31
149.26,3.26
150.75,3.20
152.26,3.15
153.78,3.10
155.32,3.05
156.88,3.00
158.44,2.95
160.03,2.90
161.63,2.85
163.24,2.80
164.88,2.75
166.53,2.70
