frequency,raw
20.00,0.46
20.20,0.49
20.40,0.52
20.61,0.55
20.81,0.57
21.02,0.60
21.23,0.63
21.44,0.66
21.66,0.69
21.87,0.73
22.09,0.76
22.31,0.79
22.54,0.82
22.76,0.85
22.99,0.88
23.22,0.91
23.45,0.94
23.69,0.97
23.92,1.00
24.16,1.03
24.40,1.06
24.65,1.09
24.89,1.12
25.14,1.15
25.39,1.18
25.65,1.21
25.91,1.24
26.16,1.28
26.43,1.31
26.69,1.34
26.96,1.37
27.23,1.40
27.50,1.43
27.77,1.46
28.05,1.49
28.33,1.52
28.62,1.55
28.90,1.58
29.19,1.60
29.48,1.63
29.78,1.66
30.08,1.69
30.38,1.71
30.68,1.74
30.99,1.77
31.30,1.80
31.61,1.83
31.93,1.86
32.24,1.89
32.57,1.92
32.89,1.95
33.22,1.98
33.55,2.00
33.89,2.03
34.23,2.07
34.57,2.10
34.92,2.13
35.27,2.15
35.62,2.18
35.97,2.20
36.33,2.23
36.70,2.25
37.06,2.28
37.43,2.30
37.81,2.32
38.19,2.34
38.57,2.36
38.95,2.39
39.34,2.41
39.74,2.44
40.14,2.46
40.54,2.48
40.94,2.50
41.35,2.52
41.76,2.55
42.18,2.57
42.60,2.59
43.03,2.61
43.46,2.63
43.90,2.65
44.33,2.67
44.78,2.69
45.23,2.71
45.68,2.73
46.13,2.75
46.60,2.77
47.06,2.79
47.53,2.80
48.01,2.82
48.49,2.84
48.97,2.85
49.46,2.87
49.96,2.88
50.46,2.90
50.96,2.91
51.47,2.93
51.99,2.94
52.51,2.96
53.03,2.97
53.56,2.98
54.10,2.99
54.64,3.01
55.18,3.02
55.74,3.03
56.29,3.04
56.86,3.04
57.42,3.05
58.00,3.06
58.58,3.07
59.16,3.08
59.76,3.08
60.35,3.09
60.96,3.10
61.57,3.10
62.18,3.11
62.80,3.11
63.43,3.12
64.07,3.12
64.71,3.12
65.35,3.13
66.01,3.13
66.67,3.13
67.33,3.13
68.01,3.13
68.69,3.13
69.37,3.13
70.07,3.13
70.77,3.13
71.48,3.12
72.19,3.12
72.91,3.12
73.64,3.11
74.38,3.11
75.12,3.11
75.87,3.10
76.63,3.09
77.40,3.09
78.17,3.08
78.95,3.07
79.74,3.06
80.54,3.06
81.35,3.05
82.16,3.04
82.98,3.03
83.81,3.02
84.65,3.01
85.50,2.99
86.35,2.98
87.22,2.96
88.09,2.95
88.97,2.94
89.86,2.92
90.76,2.91
91.66,2.89
92.58,2.88
93.51,2.86
94.44,2.84
95.39,2.83
96.34,2.81
97.30,2.79
98.28,2.77
99.26,2.75
100.25,2.73
101.25,2.71
102.27,2.69
103.29,2.67
104.32,2.65
105.37,2.62
106.42,2.60
107.48,2.57
108.56,2.55
109.64,2.52
110.74,2.50
111.85,2.47
112.97,2.45
114.10,2.42
115.24,2.40
116.39,2.37
117.55,2.34
118.73,2.32
119.92,2.29
121.12,2.26
122.33,2.23
123.55,2.20
124.79,2.17
126.03,2.14
127.29,2.11
128.57,2.08
129.85,2.05
131.15,2.02
132.46,1.98
133.79,1.95
135.12,1.92
136.48,1.89
137.84,1.85
139.22,1.82
140.61,1.79
142.02,1.75
143.44,1.72
144.87,1.68
146.32,1.65
147.78,1.61
149.26,1.58
150.75,1.54
152.26,1.51
153.78,1.47
155.32,1.44
156.88,1.40
158.44,1.37
160.03,1.33
161.63,1.29
163.24,1.25
164.88,1.22
166.53,1.18
168.19,1.14
169.87,1.10
171.57,1.07
173.29,1.03
175.02,0.99
176.77,0.95
178.54,0.91
180.32,0.87
182.13,0.83
183.95,0.80
185.79,0.76
187.65,0.72
189.52,0.68
191.42,0.64
193.33,0.60
195.27,0.56
197.22,0.52
199.19,0.48
201.18,0.44
203.19,0.40
205.23,0.36
207.28,0.33
209.35,0.29
211.44,0.25
213.56,0.21
215.69,0.17
217.85,0.13
220.03,0.10
222.23,0.06
224.45,0.02
226.70,-0.02
228.96,-0.06
231.25,-0.10
233.57,-0.13
235.90,-0.17
238.26,-0.21
240.64,-0.25
243.05,-0.29
245.48,-0.32
247.93,-0.36
250.41,-0.40
252.92,-0.43
255.45,-0.47
258.00,-0.50
260.58,-0.54
263.19,-0.57
265.82,-0.61
268.48,-0.64
271.16,-0.68
273.87,-0.71
276.61,-0.75
279.38,-0.78
282.17,-0.81
284.99,-0.85
287.84,-0.88
290.72,-0.91
293.63,-0.94
296.57,-0.98
299.53,-1.01
302.53,-1.04
305.55,-1.07
308.61,-1.10
311.69,-1.13
314.81,-1.16
317.96,-1.19
321.14,-1.22
324.35,-1.25
327.59,-1.28
330.87,-1.31
334.18,-1.33
337.52,-1.36
340.90,-1.39
344.30,-1.41
347.75,-1.44
351.23,-1.46
354.74,-1.49
358.28,-1.51
361.87,-1.54
365.49,-1.56
369.14,-1.58
372.83,-1.60
376.56,-1.63
380.33,-1.65
384.13,-1.67
387.97,-1.69
391.85,-1.71
395.77,-1.73
399.73,-1.75
403.72,-1.77
407.76,-1.79
411.84,-1.80
415.96,-1.82
420.12,-1.84
424.32,-1.85
428.56,-1.87
432.85,-1.88
437.18,-1.90
441.55,-1.91
445.96,-1.93
450.42,-1.94
454.93,-1.95
459.48,-1.96
464.07,-1.97
468.71,-1.98
473.40,-1.99
478.13,-2.00
482.91,-2.01
487.74,-2.02
492.62,-2.02
497.55,-2.03
502.52,-2.04
507.55,-2.04
512.62,-2.05
517.75,-2.05
522.93,-2.06
528.16,-2.06
533.44,-2.07
538.77,-2.07
544.16,-2.07
549.60,-2.07
555.10,-2.07
560.65,-2.07
566.25,-2.07
571.92,-2.07
577.64,-2.07
583.41,-2.07
589.25,-2.06
595.14,-2.06
601.09,-2.06
607.10,-2.05
613.17,-2.05
619.30,-2.05
625.50,-2.05
631.75,-2.05
638.07,-2.05
644.45,-2.04
650.89,-2.04
657.40,-2.02
663.98,-2.01
670.62,-1.99
677.32,-1.96
684.10,-1.94
690.94,-1.92
697.85,-1.90
704.83,-1.88
711.87,-1.86
718.99,-1.84
726.18,-1.82
733.44,-1.79
740.78,-1.77
748.19,-1.75
755.67,-1.72
763.23,-1.69
770.86,-1.66
778.57,-1.63
786.35,-1.59
794.22,-1.56
802.16,-1.52
810.18,-1.48
818.28,-1.44
826.46,-1.40
834.73,-1.35
843.08,-1.30
851.51,-1.25
860.02,-1.20
868.62,-1.14
877.31,-1.08
886.08,-1.02
894.94,-0.95
903.89,-0.88
912.93,-0.81
922.06,-0.73
931.28,-0.65
940.59,-0.57
950.00,-0.48
959.50,-0.39
969.09,-0.30
978.78,-0.21
988.57,-0.11
998.46,-0.02
1008.44,0.08
1018.53,0.19
1028.71,0.29
1039.00,0.39
1049.39,0.50
1059.88,0.61
1070.48,0.72
1081.19,0.83
1092.00,0.95
1102.92,1.06
1113.95,1.18
1125.09,1.30
1136.34,1.42
1147.70,1.54
1159.18,1.67
1170.77,1.79
1182.48,1.92
1194.30,2.05
1206.25,2.17
1218.31,2.30
1230.49,2.42
1242.80,2.54
1255.22,2.66
1267.78,2.79
1280.45,2.90
1293.26,3.02
1306.19,3.14
1319.25,3.25
1332.45,3.36
1345.77,3.47
1359.23,3.58
1372.82,3.69
1386.55,3.79
1400.41,3.90
1414.42,4.00
1428.56,4.10
1442.85,4.20
1457.28,4.30
1471.85,4.40
1486.57,4.50
1501.43,4.59
1516.45,4.69
1531.61,4.78
1546.93,4.88
1562.40,4.97
1578.02,5.07
1593.80,5.16
1609.74,5.26
1625.84,5.35
1642.10,5.45
1658.52,5.55
1675.10,5.64
1691.85,5.74
1708.77,5.84
1725.86,5.93
1743.12,6.03
1760.55,6.13
1778.15,6.23
1795.94,6.33
1813.90,6.43
1832.03,6.53
1850.36,6.63
1868.86,6.73
1887.55,6.83
1906.42,6.94
1925.49,7.04
1944.74,7.15
1964.19,7.25
1983.83,7.36
2003.67,7.47
2023.71,7.58
2043.94,7.68
2064.38,7.79
2085.03,7.90
2105.88,8.01
2126.94,8.12
2148.20,8.23
2169.69,8.34
2191.38,8.45
2213.30,8.56
2235.43,8.67
2257.78,8.77
2280.36,8.88
2303.17,8.99
2326.20,9.09
2349.46,9.20
2372.95,9.30
2396.68,9.41
2420.65,9.51
2444.86,9.61
2469.31,9.71
2494.00,9.80
2518.94,9.90
2544.13,9.99
2569.57,10.08
2595.27,10.17
2621.22,10.25
2647.43,10.33
2673.90,10.41
2700.64,10.49
2727.65,10.56
2754.93,10.63
2782.48,10.70
2810.30,10.76
2838.40,10.82
2866.79,10.87
2895.46,10.93
2924.41,10.97
2953.65,11.02
2983.19,11.05
3013.02,11.09
3043.15,11.12
3073.58,11.15
3104.32,11.17
3135.36,11.19
3166.72,11.21
3198.38,11.22
3230.37,11.22
3262.67,11.23
3295.30,11.23
3328.25,11.22
3361.53,11.22
3395.15,11.20
3429.10,11.19
3463.39,11.17
3498.03,11.15
3533.01,11.12
3568.34,11.09
3604.02,11.05
3640.06,11.01
3676.46,10.97
3713.22,10.92
3750.36,10.86
3787.86,10.80
3825.74,10.73
3864.00,10.66
3902.64,10.58
3941.66,10.50
3981.08,10.40
4020.89,10.31
4061.10,10.20
4101.71,10.09
4142.73,9.98
4184.15,9.85
4226.00,9.72
4268.26,9.59
4310.94,9.45
4354.05,9.31
4397.59,9.16
4441.56,9.01
4485.98,8.86
4530.84,8.71
4576.15,8.55
4621.91,8.40
4668.13,8.26
4714.81,8.12
4761.96,7.99
4809.58,7.88
4857.67,7.77
4906.25,7.69
4955.31,7.62
5004.87,7.57
5054.91,7.53
5105.46,7.50
5156.52,7.47
5208.08,7.43
5260.16,7.35
5312.77,7.26
5365.89,7.14
5419.55,7.00
5473.75,6.85
5528.49,6.70
5583.77,6.55
5639.61,6.42
5696.00,6.28
5752.96,6.15
5810.49,6.02
5868.60,5.88
5927.28,5.74
5986.56,5.61
6046.42,5.48
