frequency,raw
20.00,2.76
20.20,2.77
20.40,2.79
20.61,2.80
20.81,2.82
21.02,2.84
21.23,2.87
21.44,2.89
21.66,2.91
21.87,2.94
22.09,2.96
22.31,2.98
22.54,3.00
22.76,3.01
22.99,3.03
23.22,3.04
23.45,3.05
23.69,3.06
23.92,3.08
24.16,3.09
24.40,3.11
24.65,3.13
24.89,3.14
25.14,3.15
25.39,3.17
25.65,3.18
25.91,3.20
26.16,3.21
26.43,3.23
26.69,3.25
26.96,3.26
27.23,3.28
27.50,3.30
27.77,3.31
28.05,3.32
28.33,3.34
28.62,3.35
28.90,3.36
29.19,3.37
29.48,3.38
29.78,3.40
30.08,3.41
30.38,3.42
30.68,3.43
30.99,3.44
31.30,3.46
31.61,3.47
31.93,3.48
32.24,3.49
32.57,3.50
32.89,3.51
33.22,3.52
33.55,3.53
33.89,3.54
34.23,3.55
34.57,3.56
34.92,3.57
35.27,3.58
35.62,3.59
35.97,3.59
36.33,3.60
36.70,3.61
37.06,3.62
37.43,3.62
37.81,3.63
38.19,3.64
38.57,3.64
38.95,3.65
39.34,3.66
39.74,3.66
40.14,3.67
40.54,3.68
40.94,3.68
41.35,3.68
41.76,3.69
42.18,3.69
42.60,3.69
43.03,3.70
43.46,3.70
43.90,3.70
44.33,3.70
44.78,3.70
45.23,3.71
45.68,3.71
46.13,3.71
46.60,3.71
47.06,3.71
47.53,3.71
48.01,3.70
48.49,3.70
48.97,3.70
49.46,3.70
49.96,3.70
50.46,3.70
50.96,3.70
51.47,3.70
51.99,3.69
52.51,3.69
53.03,3.68
53.56,3.68
54.10,3.67
54.64,3.67
55.18,3.66
55.74,3.66
56.29,3.65
56.86,3.64
57.42,3.64
58.00,3.63
58.58,3.62
59.16,3.62
59.76,3.61
60.35,3.60
60.96,3.59
61.57,3.59
62.18,3.58
62.80,3.57
63.43,3.56
64.07,3.55
64.71,3.54
65.35,3.53
66.01,3.51
66.67,3.50
67.33,3.49
68.01,3.48
68.69,3.47
69.37,3.45
70.07,3.44
70.77,3.42
71.48,3.41
72.19,3.39
72.91,3.38
73.64,3.36
74.38,3.35
75.12,3.33
75.87,3.31
76.63,3.30
77.40,3.28
78.17,3.26
78.95,3.24
79.74,3.23
80.54,3.21
81.35,3.19
82.16,3.17
82.98,3.15
83.81,3.13
84.65,3.11
85.50,3.09
86.35,3.07
87.22,3.05
88.09,3.03
88.97,3.00
89.86,2.98
90.76,2.96
91.66,2.93
92.58,2.91
93.51,2.89
94.44,2.86
95.39,2.84
96.34,2.82
97.30,2.79
98.28,2.77
99.26,2.74
100.25,2.71
101.25,2.69
102.27,2.66
103.29,2.63
104.32,2.61
105.37,2.58
106.42,2.55
107.48,2.53
108.56,2.50
109.64,2.47
110.74,2.44
111.85,2.41
112.97,2.38
114.10,2.35
115.24,2.32
116.39,2.29
117.55,2.26
118.73,2.23
119.92,2.20
121.12,2.17
122.33,2.14
123.55,2.10
124.79,2.07
126.03,2.04
127.29,2.00
128.57,1.97
129.85,1.94
131.15,1.90
132.46,1.87
133.79,1.84
135.12,1.80
136.48,1.77
137.84,1.74
139.22,1.70
140.61,1.67
142.02,1.63
143.44,1.60
144.87,1.56
146.32,1.52
147.78,1.49
149.26,1.45
150.75,1.42
152.26,1.38
153.78,1.35
155.32,1.31
156.88,1.27
158.44,1.24
160.03,1.20
161.63,1.16
163.24,1.13
164.88,1.09
166.53,1.05
168.19,1.02
169.87,0.98
171.57,0.94
173.29,0.90
175.02,0.86
176.77,0.83
178.54,0.79
180.32,0.75
182.13,0.71
183.95,0.68
185.79,0.64
187.65,0.60
189.52,0.56
191.42,0.53
193.33,0.49
195.27,0.45
197.22,0.41
199.19,0.37
201.18,0.33
203.19,0.30
205.23,0.26
207.28,0.22
209.35,0.18
211.44,0.15
213.56,0.11
215.69,0.07
217.85,0.03
220.03,-0.00
222.23,-0.04
224.45,-0.08
226.70,-0.11
228.96,-0.15
231.25,-0.19
233.57,-0.22
235.90,-0.26
238.26,-0.30
240.64,-0.33
243.05,-0.37
245.48,-0.41
247.93,-0.44
250.41,-0.48
252.92,-0.51
255.45,-0.55
258.00,-0.58
260.58,-0.62
263.19,-0.65
265.82,-0.68
268.48,-0.72
271.16,-0.75
273.87,-0.78
276.61,-0.82
279.38,-0.85
282.17,-0.88
284.99,-0.91
287.84,-0.94
290.72,-0.98
293.63,-1.01
296.57,-1.04
299.53,-1.07
302.53,-1.10
305.55,-1.13
308.61,-1.16
