frequency,raw
20.00,3.55
20.20,3.57
20.40,3.59
20.61,3.61
20.81,3.63
21.02,3.65
21.23,3.67
21.44,3.69
21.66,3.71
21.87,3.73
22.09,3.75
22.31,3.76
22.54,3.78
22.76,3.79
22.99,3.81
23.22,3.82
23.45,3.84
23.69,3.86
23.92,3.87
24.16,3.89
24.40,3.91
24.65,3.92
24.89,3.94
25.14,3.95
25.39,3.97
25.65,3.98
25.91,4.00
26.16,4.01
26.43,4.02
26.69,4.04
26.96,4.05
27.23,4.06
27.50,4.08
27.77,4.09
28.05,4.10
28.33,4.12
28.62,4.13
28.90,4.14
29.19,4.15
29.48,4.16
29.78,4.17
30.08,4.18
30.38,4.18
30.68,4.19
30.99,4.21
31.30,4.22
31.61,4.24
31.93,4.25
32.24,4.26
32.57,4.27
32.89,4.28
33.22,4.29
33.55,4.30
33.89,4.30
34.23,4.31
34.57,4.31
34.92,4.32
35.27,4.33
35.62,4.34
35.97,4.35
36.33,4.35
36.70,4.36
37.06,4.36
37.43,4.37
37.81,4.37
38.19,4.38
38.57,4.39
38.95,4.39
39.34,4.39
39.74,4.40
40.14,4.40
40.54,4.40
40.94,4.40
41.35,4.40
41.76,4.40
42.18,4.40
42.60,4.40
43.03,4.40
43.46,4.41
43.90,4.41
44.33,4.42
44.78,4.42
45.23,4.43
45.68,4.43
46.13,4.43
46.60,4.43
47.06,4.43
47.53,4.42
48.01,4.42
48.49,4.41
48.97,4.41
49.46,4.41
49.96,4.40
50.46,4.39
50.96,4.39
51.47,4.38
51.99,4.37
52.51,4.36
53.03,4.35
53.56,4.34
54.10,4.32
54.64,4.31
55.18,4.30
55.74,4.29
56.29,4.28
56.86,4.27
57.42,4.27
58.00,4.26
58.58,4.26
59.16,4.25
59.76,4.25
60.35,4.24
60.96,4.23
61.57,4.23
62.18,4.22
62.80,4.21
63.43,4.19
64.07,4.18
64.71,4.16
65.35,4.14
66.01,4.12
66.67,4.10
67.33,4.08
68.01,4.05
68.69,4.03
69.37,4.00
70.07,3.98
70.77,3.95
71.48,3.92
72.19,3.90
72.91,3.87
73.64,3.85
74.38,3.83
75.12,3.81
75.87,3.79
76.63,3.77
77.40,3.75
78.17,3.73
78.95,3.70
79.74,3.68
80.54,3.66
81.35,3.63
82.16,3.61
82.98,3.58
83.81,3.56
84.65,3.53
85.50,3.50
86.35,3.48
87.22,3.45
88.09,3.42
88.97,3.40
89.86,3.37
90.76,3.34
91.66,3.31
92.58,3.28
93.51,3.25
94.44,3.22
95.39,3.18
96.34,3.15
97.30,3.12
98.28,3.08
99.26,3.05
100.25,3.01
101.25,2.97
102.27,2.94
103.29,2.90
104.32,2.86
105.37,2.83
106.42,2.80
107.48,2.77
108.56,2.73
109.64,2.70
110.74,2.67
111.85,2.64
112.97,2.61
114.10,2.57
115.24,2.53
116.39,2.50
117.55,2.46
118.73,2.43
119.92,2.39
121.12,2.36
122.33,2.32
123.55,2.29
124.79,2.25
126.03,2.22
127.29,2.18
128.57,2.15
129.85,2.11
131.15,2.07
132.46,2.03
133.79,1.99
135.12,1.95
136.48,1.91
137.84,1.88
139.22,1.84
140.61,1.80
142.02,1.76
143.44,1.72
144.87,1.68
146.32,1.63
147.78,1.59
149.26,1.55
150.75,1.51
152.26,1.47
153.78,1.43
155.32,1.39
156.88,1.35
158.44,1.30
160.03,1.26
161.63,1.22
163.24,1.18
164.88,1.13
166.53,1.09
168.19,1.04
169.87,1.00
171.57,0.96
173.29,0.91
175.02,0.87
176.77,0.83
178.54,0.79
180.32,0.74
182.13,0.70
183.95,0.66
185.79,0.62
187.65,0.58
189.52,0.53
191.42,0.49
193.33,0.45
195.27,0.41
197.22,0.36
199.19,0.32
201.18,0.28
203.19,0.24
205.23,0.20
207.28,0.15
209.35,0.11
211.44,0.07
213.56,0.03
215.69,-0.01
217.85,-0.05
220.03,-0.09
222.23,-0.13
224.45,-0.18
226.70,-0.22
228.96,-0.26
231.25,-0.30
233.57,-0.34
235.90,-0.37
238.26,-0.41
240.64,-0.45
243.05,-0.49
245.48,-0.53
247.93,-0.57
250.41,-0.61
252.92,-0.65
255.45,-0.68
258.00,-0.72
260.58,-0.76
263.19,-0.80
265.82,-0.83
268.48,-0.87
271.16,-0.91
273.87,-0.94
276.61,-0.98
279.38,-1.01
282.17,-1.05
284.99,-1.08
287.84,-1.11
290.72,-1.15
