frequency,raw
20.00,6.63
20.20,6.63
20.40,6.63
20.61,6.62
20.81,6.62
21.02,6.61
21.23,6.61
21.44,6.60
21.66,6.59
21.87,6.59
22.09,6.58
22.31,6.57
22.54,6.56
22.76,6.56
22.99,6.55
23.22,6.54
23.45,6.53
23.69,6.52
23.92,6.51
24.16,6.50
24.40,6.49
24.65,6.48
24.89,6.46
25.14,6.45
25.39,6.44
25.65,6.43
25.91,6.42
26.16,6.40
26.43,6.39
26.69,6.37
26.96,6.36
27.23,6.34
27.50,6.32
27.77,6.31
28.05,6.29
28.33,6.27
28.62,6.26
28.90,6.24
29.19,6.22
29.48,6.20
29.78,6.19
30.08,6.17
30.38,6.14
30.68,6.12
30.99,6.10
31.30,6.09
31.61,6.07
31.93,6.05
32.24,6.02
32.57,6.00
32.89,5.98
33.22,5.96
33.55,5.93
33.89,5.91
34.23,5.89
34.57,5.86
34.92,5.84
35.27,5.82
35.62,5.79
35.97,5.77
36.33,5.74
36.70,5.72
37.06,5.69
37.43,5.66
37.81,5.64
38.19,5.61
38.57,5.58
38.95,5.55
39.34,5.52
39.74,5.49
40.14,5.47
40.54,5.44
40.94,5.41
41.35,5.38
41.76,5.35
42.18,5.32
42.60,5.29
43.03,5.26
43.46,5.23
43.90,5.20
44.33,5.16
44.78,5.13
45.23,5.10
45.68,5.07
46.13,5.03
46.60,5.00
47.06,4.97
47.53,4.93
48.01,4.90
48.49,4.87
48.97,4.83
49.46,4.80
49.96,4.76
50.46,4.73
50.96,4.69
51.47,4.66
51.99,4.62
52.51,4.59
53.03,4.55
53.56,4.52
54.10,4.48
54.64,4.44
55.18,4.41
55.74,4.37
56.29,4.33
56.86,4.30
57.42,4.26
58.00,4.22
58.58,4.18
59.16,4.15
59.76,4.11
60.35,4.07
60.96,4.03
61.57,3.99
62.18,3.96
62.80,3.92
63.43,3.88
64.07,3.84
64.71,3.80
65.35,3.76
66.01,3.73
66.67,3.69
67.33,3.65
68.01,3.61
68.69,3.57
69.37,3.53
70.07,3.49
70.77,3.45
71.48,3.41
72.19,3.37
72.91,3.34
73.64,3.30
74.38,3.26
75.12,3.22
75.87,3.18
76.63,3.14
77.40,3.10
78.17,3.06
78.95,3.02
79.74,2.98
80.54,2.94
81.35,2.90
82.16,2.86
82.98,2.82
83.81,2.78
84.65,2.74
85.50,2.70
86.35,2.66
87.22,2.62
88.09,2.59
88.97,2.55
89.86,2.51
90.76,2.47
91.66,2.43
92.58,2.39
93.51,2.35
94.44,2.31
95.39,2.28
96.34,2.24
97.30,2.20
98.28,2.16
99.26,2.12
100.25,2.08
101.25,2.05
102.27,2.01
103.29,1.97
104.32,1.93
105.37,1.89
106.42,1.85
107.48,1.82
108.56,1.78
109.64,1.74
110.74,1.71
111.85,1.67
